$\alpha$,$\beta$,$\gamma$,$\delta$
0.8397903,0.09639613,0.5981249,0.1202992
0.83763546,0.09301057,0.6032745,0.12160018
0.83384305,0.088589914,0.60977125,0.12171548
0.8279019,0.09013782,0.61414105,0.123374574
0.84002095,0.092532806,0.60069156,0.12034459
0.8582839,0.099581875,0.59042275,0.12101567
0.8491713,0.0997284,0.5878131,0.118291035
0.84694374,0.10512913,0.5909659,0.12057118
0.8467816,0.09994739,0.59422964,0.12043822
0.8443372,0.09473215,0.59467334,0.11840325
0.85507953,0.10366207,0.5848388,0.11863281
0.8374312,0.09798505,0.60082334,0.1217046
0.8518101,0.098207444,0.5929735,0.11993687
0.84682566,0.10155019,0.58693594,0.11722825
0.8465831,0.09434735,0.59698284,0.11997616
0.8380304,0.09613694,0.5991052,0.120542206
0.83478516,0.09653751,0.6021673,0.121406816
0.84721404,0.093400784,0.6008157,0.12177632
0.8422411,0.09183929,0.5974527,0.118323386
0.83709085,0.10104723,0.5999559,0.12258032
0.8482037,0.09871702,0.5912635,0.119903505
0.8457278,0.097128,0.595664,0.11979321
0.83868986,0.09601032,0.59929705,0.12024033
0.85592926,0.1043968,0.58160424,0.11705531
0.85220796,0.09793675,0.5922429,0.11968649
0.8397763,0.089087345,0.6042167,0.12096334
0.84702575,0.09724014,0.59840006,0.121538736
0.83806366,0.09357419,0.6043132,0.12119925
0.84759754,0.099417716,0.5889915,0.11852704
0.8515263,0.10408524,0.5853979,0.1188196
0.8587421,0.11198342,0.5758319,0.11796773
0.8518304,0.10041101,0.5838107,0.11694139
0.8509177,0.09809166,0.59817845,0.12181343
0.85143995,0.10282002,0.58955944,0.11976188
0.84059536,0.092184536,0.60140836,0.120667055
0.8377502,0.090237506,0.60945165,0.12243872
0.84624684,0.10057871,0.592371,0.11979018
0.8491431,0.09819712,0.59447527,0.12040514
0.848924,0.102977954,0.58656365,0.11824005
0.8329016,0.09444158,0.607302,0.12223717
0.8452979,0.106683925,0.5835635,0.11862746
0.8547106,0.1052789,0.5853051,0.11988309
0.828584,0.095788695,0.60973555,0.123287976
0.8414421,0.095917314,0.6029081,0.12215347
0.8371275,0.0951576,0.6028243,0.12182575
0.8493314,0.1018376,0.586792,0.119235
0.8575469,0.10536804,0.5818424,0.11841643
0.84567577,0.10022474,0.5978016,0.12107789
0.84046376,0.09976229,0.6004313,0.12260488
0.83931255,0.10239303,0.5881872,0.117824405
0.83682865,0.0947429,0.59980536,0.11974621
0.84741765,0.09629178,0.59195423,0.1189518
0.84991544,0.09592728,0.5927624,0.11898953
0.8414273,0.09495785,0.6037596,0.12197938
0.83626705,0.10116335,0.60055834,0.12196725
0.8399962,0.09767067,0.59970856,0.12093229
0.8486367,0.100979805,0.58987254,0.11949871
0.86529535,0.11475527,0.5628974,0.11416792
0.86602604,0.09923558,0.58823913,0.119679414
0.85470104,0.10932761,0.58155614,0.11876879
0.8530427,0.10161691,0.58899873,0.119349875
0.84155554,0.09956402,0.59471506,0.11903089
0.84492683,0.10412952,0.5921079,0.12119905
0.85502183,0.09880622,0.5952871,0.12138659
0.8488643,0.090149894,0.59570056,0.11838687
0.84608734,0.10199233,0.5873758,0.11856376
0.84814495,0.09962386,0.58772945,0.117808506
0.8436467,0.095419414,0.5936368,0.11851919
0.84470904,0.09202963,0.60267466,0.12098004
0.8333611,0.094190106,0.6095294,0.1236423
0.8546017,0.09998989,0.5864648,0.118032806
0.8502483,0.09894422,0.5903861,0.11885533
0.8353238,0.09122404,0.6089151,0.122305155
0.84079367,0.09630638,0.6053812,0.12369564
0.8477374,0.09242142,0.60178494,0.12161871
0.84705454,0.09439633,0.5966003,0.12010848
0.8521419,0.1051457,0.5910131,0.121203005
0.84135014,0.10021399,0.59904,0.12092216
0.85655403,0.112972766,0.5758127,0.11740365
0.8491501,0.10025318,0.59154457,0.11987292
0.85018057,0.09498738,0.6031634,0.12369069
0.8503471,0.101721846,0.58432406,0.11720335
0.84695476,0.08979702,0.60233665,0.1201945
0.8295251,0.09422539,0.6091449,0.12345034
0.84824395,0.098613374,0.5955652,0.1208855
0.835725,0.09866305,0.59975487,0.12130529
0.84851587,0.10263267,0.5919865,0.12164095
0.83744377,0.08955529,0.6081514,0.12149325
0.842769,0.09634689,0.59112155,0.116919726
0.83822596,0.08864155,0.6067133,0.12051746
0.8421924,0.09216012,0.604795,0.12175394
0.8406877,0.096753135,0.5972493,0.12025051
0.8502003,0.09923191,0.5879861,0.117724836
0.8371157,0.10391886,0.58906496,0.11847387
0.85304546,0.094954155,0.59064364,0.117862925
0.8535412,0.095055744,0.59136206,0.11840604
0.84657204,0.09417012,0.59608126,0.11969349
0.8359717,0.087758586,0.6092913,0.12115528
0.8487035,0.10242341,0.59271145,0.12119471
0.8417351,0.09296449,0.6014611,0.1215707
0.83875525,0.105004355,0.59253335,0.120955035
0.85489285,0.09798402,0.5850045,0.11661583
0.8522451,0.09724151,0.58759856,0.117372975
0.85118794,0.10124044,0.5902895,0.1191191
0.83832747,0.0958613,0.60131496,0.12157508
0.8445081,0.09408222,0.5999099,0.120704696
0.8553409,0.101689115,0.587447,0.11921621
0.8464504,0.09156462,0.5999664,0.12007503
0.8485957,0.09949943,0.5972004,0.12176686
0.84931105,0.0960004,0.5954075,0.12028578
0.84340894,0.090752535,0.60575175,0.1217012
0.848674,0.10032236,0.5899316,0.118922025
0.85464835,0.10124764,0.5878174,0.11899273
0.8540302,0.09763132,0.5899502,0.11874048
0.8372689,0.092673734,0.60244715,0.12018559
