parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10
0.4567843,-0.96703696,0.6984218,-0.18838471,-0.7906548,0.35293457,0.46719065,0.08031782,-0.58866394,-0.64084464
0.22376466,-0.9592576,0.3360016,0.4294042,-0.90188086,0.09411174,-0.20234662,-0.18160757,-0.39153096,-0.7104848
0.44805205,-0.9700537,0.70907515,0.3958551,-0.47426975,0.81544846,-0.705229,0.09844214,-0.54249114,-0.50738394
0.95276064,-0.88869107,0.8723419,0.13435099,-0.8576965,0.0048294663,-0.21781474,0.11619314,-0.648314,-0.81620944
0.7963,-0.7892562,0.6966762,0.798193,-0.51417685,0.05444008,-0.15304059,-0.08043849,-0.6558503,-0.71139514
0.7222801,-0.6432096,0.63182056,0.07530561,-0.36914587,0.500542,0.24182886,-0.002686318,-0.6305284,-0.14381164
0.5755356,-0.9859786,0.8222232,0.80904233,-0.2259362,0.5701661,-0.09147772,0.3001091,-0.4650704,-0.29830754
0.541388,-0.8101673,0.28366667,0.26262635,-0.77175534,0.5915965,-0.2053167,-0.19125026,-0.32661527,-0.49590355
0.58939785,-0.91206056,0.8652752,-0.66941434,-0.67915916,0.44892228,0.5442116,0.32483304,-0.8651449,-0.95931345
0.3639165,-0.9119048,0.8006878,0.7888739,-0.767248,0.8490747,0.21723208,-0.07203039,-0.95565045,-0.7333211
0.9378135,-0.9326352,0.1902493,0.8265753,-0.9852749,0.58614784,0.34555358,0.64306873,-0.8211559,-0.6384376
0.65733284,-0.9489645,0.7342266,-0.1617989,-0.2731591,0.6028147,0.088841334,0.16090572,-0.70161927,-0.17743981
0.45301038,-0.9487761,0.5957569,0.38942862,-0.9981315,0.36710122,0.38009498,0.44158837,-0.076839924,-0.7853725
0.10290569,-0.7897667,0.85173595,-0.10028145,-0.9996053,0.88404524,0.24708802,0.25751162,0.10846585,-0.23615825
0.09763008,-0.9169347,0.5332354,0.40377188,-0.60616493,0.64565027,0.6921972,0.08131868,-0.7219573,-0.33807808
-0.16309077,-0.80050635,0.2629619,0.16928495,-0.1287921,0.8497441,0.031499386,-0.16183206,-0.5448339,-0.58050144
0.5198174,-0.8624437,0.33201855,0.4556831,-0.9518956,0.97058976,0.32273155,0.46261188,-0.14889836,-0.86286694
0.73122025,-0.7989306,0.20524207,0.1985858,-0.48877972,0.25492662,0.18881868,-0.020888336,-0.5020707,-0.9198079
0.41355363,-0.79039675,0.95843786,-0.23330238,-0.97169155,0.55624616,0.2702147,-0.3176717,-0.37804386,-0.56495786
0.5809371,-0.8872458,0.14598483,0.4058379,-0.8061451,0.3376232,-0.40253878,0.29035017,-0.7830774,-0.94984406
0.851429,-0.8277576,0.8977238,0.40013802,-0.55347455,0.2871976,0.61895084,0.23145276,-0.46086428,-0.24655417
0.82524467,-0.74121803,0.48117757,-0.052374333,-0.46373922,0.23811433,0.12963392,0.10513823,-0.031002581,-0.6064286
0.45950255,-0.8975724,0.17340916,0.9486268,-0.6220551,0.90784335,-0.3898806,-0.38999125,-0.44123825,-0.42305225
0.3148838,-0.7271426,0.29322433,-0.012712166,-0.49950087,0.48825076,0.57663333,0.0045179203,-0.3464202,-0.7400616
0.0470891,-0.9111743,0.36237854,0.034866944,-0.55357075,0.8057797,0.17804842,-0.1683842,-0.64409435,-0.8826333
0.7086655,-0.85615814,0.42786038,-0.4772997,-0.8816695,0.119852066,0.063018195,0.28418237,-0.3182624,-0.5053704
0.60785884,-0.9194318,0.6946893,0.56112534,-0.2861738,0.96519583,0.19081685,-0.21547529,-0.73096174,-0.51087326
0.5395168,-0.7859928,0.53598183,0.6304984,-0.9700885,0.44588077,-0.19024721,-0.2951678,-0.6372024,-0.7112563
0.5045973,-0.8135048,0.44422185,-0.030198008,-0.75692624,0.91039413,0.5312276,-0.06691548,-0.36194494,-0.7803496
0.14466667,-0.8910359,-0.514917,0.685534,-0.7250364,0.910865,0.3684041,-0.15088484,-0.37750793,-0.67537254
0.9811349,-0.9964644,0.697859,0.5377387,-0.8702066,0.54414546,0.094030134,-0.57513916,-0.73158103,-0.77149034
0.99081165,-0.949635,0.64014107,0.5527451,-0.6660158,0.7206888,0.54980844,-0.09987957,-0.6697077,-0.7075621
0.4609041,-0.50897884,0.40211642,0.14359868,-0.83194065,0.040610135,-0.12286407,-0.15687072,-0.45147493,-0.20490232
0.7364261,-0.89821696,0.0054504275,0.21325189,-0.5836363,0.53855973,-0.04914649,-0.26779616,-0.5501165,-0.5445819
0.5992198,-0.9603284,0.93885016,0.22924507,-0.5937255,0.32181662,0.1779024,0.28541824,-0.9263441,-0.6745404
0.5019082,-0.7878348,0.57180786,0.86839694,-0.3448275,0.2784117,0.12990966,0.30187446,-0.9030411,-0.29986003
0.678518,-0.86188245,0.40354937,0.6093694,-0.17933947,0.91212845,0.797191,-0.30050135,-0.240558,-0.65329427
0.92785484,-0.92633903,0.95953226,0.2622181,-0.89751333,0.3989822,-0.35914165,0.23311377,-0.71566874,-0.21243224
0.43904436,-0.82963073,0.7095732,0.18235062,-0.7832216,0.042957067,0.004545659,0.12155548,-0.69369006,-0.499776
0.59940314,-0.9197992,0.8390514,0.3580038,-0.35774586,0.36983147,0.09937966,0.5319304,-0.022182167,-0.5713816
-0.105617225,-0.82983017,0.55281025,0.1051508,-0.40427566,0.21765465,0.05528503,0.31025246,-0.97110295,-0.78518283
0.4721043,-0.80926436,0.50135237,-0.5152757,-0.25426084,0.8780055,0.101411074,0.048570074,-0.60722566,-0.12188244
0.517376,-0.76621807,-0.09327656,0.16498241,-0.661769,0.9015245,0.20366624,0.3393139,-0.4957378,-0.9466023
0.5845795,-0.80997837,0.6966697,0.30481935,-0.72606707,0.25329596,0.0056988895,0.37483555,-0.3087896,-0.632699
0.6142729,-0.7275522,0.35835153,0.71482867,-0.87192464,0.8937392,0.39947498,-0.74127537,-0.7988286,-0.5132396
