$\alpha$,$\beta$,$\gamma$,$\delta$
0.8323052,0.05189115,1.0495012,0.099382736
0.83452785,0.054147884,1.0452513,0.10026571
0.83047473,0.052793555,1.0427725,0.09795396
0.8425349,0.05319133,1.0371675,0.0987178
0.8358266,0.052394714,1.0469891,0.09872785
0.8443326,0.04799827,1.0508292,0.09858552
0.8314821,0.050159242,1.0496486,0.09769605
0.83899516,0.051329013,1.0463914,0.09846419
0.83675534,0.0531829,1.039018,0.098021194
0.83030885,0.058200262,1.0260354,0.0976245
0.841551,0.05226293,1.0339994,0.097733885
0.8328269,0.052720223,1.0391656,0.09810567
0.8210821,0.052467756,1.0471528,0.09739272
0.8214268,0.04873233,1.0669255,0.10040905
0.81454086,0.043379582,1.1009338,0.10301094
0.82215095,0.050666247,1.0509489,0.097533695
0.8023592,0.047516987,1.0927132,0.104850784
0.81487846,0.047342457,1.0735824,0.10069344
0.84194845,0.052718524,1.0396549,0.096887276
0.83301806,0.05402341,1.0358037,0.09754265
0.8299435,0.05198027,1.0617054,0.10432402
0.82057106,0.04660839,1.0722502,0.09947462
0.8555302,0.0575657,1.0135646,0.09619316
0.81699437,0.048876148,1.056186,0.097799785
0.8353169,0.047576796,1.0556664,0.096370995
0.84256166,0.055726934,1.0257788,0.09756428
0.8291879,0.052260388,1.0433066,0.09933519
0.82946306,0.050178964,1.0617424,0.101597264
0.8092492,0.046602402,1.0858778,0.101933286
0.8230344,0.051688604,1.0492433,0.09809982
0.85819775,0.051816974,1.0299827,0.09629956
0.82792056,0.05508828,1.0418099,0.100986734
0.84434557,0.05858892,1.0181623,0.09731234
0.8217392,0.050554477,1.060338,0.10092923
0.8182208,0.05016224,1.0627047,0.10064439
0.8435596,0.049958922,1.0425925,0.096091844
0.82289076,0.051426165,1.0621454,0.10096825
0.82169455,0.047591556,1.0750031,0.10261643
0.8196711,0.0431026,1.0939971,0.10190709
0.8422839,0.052493654,1.0389599,0.098377466
0.79911137,0.048357647,1.0835028,0.10193148
0.8448885,0.053365573,1.0302742,0.09690479
0.83761746,0.0530508,1.0394068,0.097537376
0.8492937,0.052674226,1.0353397,0.09705179
0.82701045,0.048309017,1.0651513,0.10002222
0.8427119,0.050157744,1.0452867,0.097112626
0.81619054,0.048220884,1.0734115,0.10048885
0.8222928,0.04837972,1.0627599,0.09973922
0.8300859,0.050797846,1.0588292,0.100685164
0.81384677,0.054655228,1.0439608,0.09627851
0.8278122,0.048666622,1.0602335,0.09941658
0.8433171,0.054033972,1.0355633,0.09927141
0.84537697,0.056941085,1.0260589,0.09853279
0.8409934,0.056121416,1.0196049,0.09601096
0.84746766,0.05074179,1.0435861,0.097818345
0.82133204,0.049194902,1.068752,0.100635536
0.8160396,0.051128924,1.0690697,0.102642514
0.8458441,0.05330925,1.0292029,0.095110744
0.83302873,0.048928395,1.0623368,0.10041796
0.83199394,0.05412291,1.0359538,0.09634437
0.831423,0.05626898,1.0319042,0.09746515
0.83207905,0.049859516,1.0446075,0.095744446
0.8255305,0.05432184,1.0455112,0.09907672
0.84553456,0.05820569,1.0036242,0.0929258
0.84383804,0.05217187,1.0403712,0.098135285
0.8214632,0.051711235,1.0548772,0.099127494
0.8390441,0.053304296,1.0370804,0.09786974
0.8336118,0.054395895,1.0343941,0.09667223
0.8568965,0.0562147,1.0167305,0.09725862
0.8231609,0.047408387,1.0669376,0.09924843
0.832721,0.05036005,1.0485501,0.097129755
0.8185744,0.050890084,1.0619293,0.09963087
0.8274293,0.052142747,1.05182,0.10062018
0.8398109,0.051666204,1.0317849,0.094754174
0.84713507,0.051228628,1.0422243,0.09810015
0.8367085,0.050195526,1.0490383,0.09856444
0.8321278,0.04811898,1.0664582,0.10057559
0.85245353,0.05378569,1.0250585,0.096533254
0.8407613,0.05241543,1.0479319,0.10043345
0.82969064,0.04319901,1.0943882,0.10530596
0.8423628,0.053554326,1.0356542,0.09821934
0.8294064,0.051698387,1.045539,0.09685905
0.82418007,0.05057167,1.0668894,0.10194665
0.8212325,0.05029114,1.0648253,0.100580074
0.8389102,0.051824696,1.0469332,0.098545946
0.8366317,0.052212004,1.0399245,0.09769724
0.8559918,0.056150753,1.0171123,0.09636764
0.8531067,0.056022674,1.0143452,0.09594084
0.81240684,0.050849758,1.0609152,0.09934189
0.8311632,0.051149726,1.0582566,0.10038035
0.8162828,0.048897896,1.0790802,0.104029246
0.8208805,0.051734503,1.0637522,0.10220089
0.8396346,0.05703478,1.028157,0.097839735
0.8499278,0.055587683,1.021939,0.096699916
0.84136975,0.050847672,1.0399094,0.09810179
0.8355967,0.051016938,1.0518544,0.09939631
0.8273932,0.053813934,1.0441382,0.098324075
0.8200106,0.049219854,1.0708325,0.10180133
0.80283105,0.046171702,1.0981244,0.10405824
0.8410958,0.05511344,1.0265802,0.09658148
0.82088286,0.052303303,1.0642371,0.10212095
0.8463146,0.05663557,1.025192,0.097868316
0.84018654,0.050595306,1.0528102,0.0995079
0.8027365,0.050014865,1.0813446,0.10302683
0.8345574,0.05417956,1.0403652,0.098659284
0.8153056,0.049543355,1.065134,0.10028127
0.83315927,0.05135422,1.0514375,0.09971071
0.8455581,0.052845955,1.0352025,0.09765353
0.8353656,0.05112022,1.0528026,0.09920547
0.82776767,0.04817935,1.0646157,0.099581875
0.82484484,0.049371082,1.0718681,0.10358674
0.83695346,0.04994936,1.0520421,0.09917927
0.8235637,0.045447446,1.0798154,0.100747384
0.8375954,0.054546997,1.0320652,0.09597883
0.85190296,0.05360108,1.0261283,0.09642494
0.84437627,0.05066737,1.0478345,0.09948225
0.8522029,0.055578977,1.0125388,0.09290228
0.84234357,0.057642885,1.0249052,0.09622646
