$\alpha$,$\beta$,$\gamma$,$\delta$
1.5360304,0.0680225,0.5318357,0.024216171
1.5350565,0.06451421,0.5386471,0.02423577
1.5249659,0.066869944,0.53384626,0.023820003
1.5281696,0.06692896,0.5349069,0.024306772
1.5467876,0.071892,0.5270348,0.023981627
1.5492098,0.07149895,0.5249433,0.023384491
1.596663,0.08034005,0.51154655,0.021949414
1.5221881,0.06547266,0.5362571,0.02503371
1.5631533,0.07315741,0.5234384,0.023601845
1.5225829,0.06817793,0.5309827,0.02456783
1.5316725,0.06838462,0.53000337,0.024362894
1.5693767,0.073791616,0.52171266,0.02292681
1.5369152,0.06675366,0.5350186,0.024753818
1.5280557,0.063555695,0.5397126,0.024395868
1.5074931,0.06457701,0.53919613,0.025296416
1.5036744,0.064654656,0.53782666,0.02604512
1.5695945,0.0680164,0.53322405,0.022775482
1.5483782,0.071975864,0.52397233,0.023456601
1.5521568,0.071219385,0.52770287,0.02383366
1.5432706,0.06574037,0.53598875,0.023558736
1.5560472,0.066683196,0.53479034,0.02198657
1.5867612,0.08178504,0.50811774,0.022024509
1.5410788,0.06685058,0.53444266,0.023172969
1.571414,0.07144523,0.5271267,0.02216341
1.547748,0.06845721,0.53069055,0.023312036
1.5632445,0.070623554,0.5279934,0.022785747
1.5358566,0.06769466,0.5325669,0.02350692
1.5726663,0.07056126,0.5258936,0.023139268
1.559658,0.07118204,0.52486616,0.023269428
1.5571254,0.07307499,0.520594,0.02364726
1.555031,0.07170163,0.5252303,0.023809323
1.5551785,0.06932836,0.53039813,0.023169035
1.5878934,0.076865405,0.5173151,0.022131426
1.5306895,0.07050876,0.5255663,0.023746448
1.5362192,0.070361905,0.5278955,0.024282979
1.546389,0.071242414,0.5265164,0.023989443
1.5221658,0.068787076,0.5306432,0.024852883
1.5377138,0.06881023,0.5309937,0.02466775
1.5594517,0.07302121,0.5221317,0.02342907
1.5410937,0.07009342,0.52957374,0.0237451
1.5663251,0.070253715,0.5279406,0.022351703
1.5478907,0.071260765,0.5253794,0.023774557
1.5609723,0.069898054,0.52890617,0.02322625
1.5637977,0.07281376,0.52329737,0.023101471
1.5400076,0.06608764,0.5346713,0.023963496
1.5527111,0.07228557,0.52295977,0.023267658
1.5383977,0.0688009,0.5300623,0.02448867
1.5516478,0.07059503,0.52624065,0.02380405
1.5545428,0.070952676,0.5258111,0.023510704
