parameter_1,parameter_2,parameter_3,parameter_4,parameter_5
2.9364858,-1.0794405,-1.3132946,-1.2445306,-1.7598869
2.645226,-0.6536246,-1.2401841,-1.2427422,-2.18793
2.663908,-0.62680274,1.2084863,1.1079628,-1.8164612
1.810881,0.11911568,1.5067728,-1.4745638,-2.3017185
0.44103676,1.3869437,-1.3335359,-1.2994454,-2.1189997
1.957124,0.065416515,1.9178262,1.8666692,-2.8263378
2.1009164,0.1254637,1.6688714,1.662389,-2.7915285
2.713818,-0.96685576,1.7046036,-1.7688134,-2.804093
2.5720744,-0.49235708,1.673339,1.7724785,-2.8487976
1.2236373,1.1967242,-1.9135281,-1.9767894,-1.5622835
1.9410408,0.17254137,-1.4293588,-1.4432689,-2.9992323
1.6593225,0.16149084,-2.2317224,-2.2790065,-1.8203486
1.8886681,0.58589196,1.8766425,-1.7994224,-1.8374445
2.1322799,-0.35596153,-1.2829248,1.2911998,-2.7074194
2.1661997,-0.09027838,1.4389426,1.4421973,-1.8630233
2.0998733,0.29630125,2.2829514,2.132391,-2.5728524
2.8092299,-0.70707685,2.136059,2.0717015,-2.8389199
0.12774867,2.0528548,-1.968489,2.0523825,-2.2495449
-1.2627118,1.3534623,-1.7738646,1.4559023,-1.0715874
2.969202,-1.1076368,1.2987603,1.3256254,-2.8082051
0.9106663,1.5511013,-1.5971137,-1.7032642,-2.5152469
1.1623878,0.81641984,-2.2893903,2.3562217,-2.9480212
2.8416696,-0.89862835,1.687834,-1.8108932,-2.6690361
1.6582457,0.35474065,-1.5119413,1.4922866,-2.8722413
2.7215211,-0.27336103,-2.4528604,-2.4462113,-2.917762
2.8057265,-0.8999689,1.4406837,1.4192911,-2.3274384
1.7796403,0.14730427,-1.6186925,-1.569493,-2.7580452
2.894751,-0.5221712,-2.0563083,-1.7936468,-2.4983978
0.7740829,0.39650494,-2.4819162,2.2549996,-2.566296
1.4751427,0.23160355,-1.5170939,1.4517049,-2.641771
2.8568864,-0.9573631,1.631845,-1.5594728,-2.1797779
2.2967548,-0.57517743,-1.3793671,1.2804008,-2.6267939
2.6424086,-0.54316163,-1.5641112,-1.3944918,-1.7233486
2.2994637,-0.6703854,-1.978462,-2.1523147,-2.857568
2.7170758,-0.59881574,2.0703695,-2.006339,-2.7031696
2.562056,-0.841844,1.278177,1.3310344,-1.6064342
2.894141,-0.38220337,1.7400253,1.7172275,-1.8005223
2.5999413,-0.23106542,-1.4632227,-1.6114863,-2.020346
1.6451907,0.13477942,1.6415365,1.4630634,-2.1857147
2.5152402,-0.22717866,1.223632,1.3729211,-1.9038298
2.0195386,0.055290166,2.3451571,-2.3412907,-2.9217992
2.8484955,-0.677553,-1.2555712,-1.4036411,-1.622411
