$\beta$,$\gamma$
0.6267302,0.16149585
0.62799716,0.18960902
0.6350989,0.17937997
0.644429,0.16171063
0.6533629,0.14530186
0.6310321,0.17155427
0.62845737,0.16804881
0.65484923,0.15446983
0.6273133,0.17508687
0.62952685,0.17453882
0.630628,0.16977717
0.62140566,0.17382942
0.63459677,0.16691843
0.6220481,0.17250392
0.6297609,0.16956772
0.61411095,0.17785574
0.6376677,0.17934133
0.6172432,0.16308244
0.62110156,0.17196311
0.61631733,0.17738731
0.6494214,0.16936313
0.634342,0.17330118
0.62104553,0.17338635
0.64408875,0.15658185
0.6268568,0.179239
0.65538347,0.15545323
0.63932425,0.16380416
0.6544562,0.15701441
0.65260285,0.1585569
0.64036715,0.1807339
0.6575877,0.1520879
0.6416578,0.15412484
0.6515567,0.1616491
0.6237803,0.17723548
0.6291039,0.1776735
0.6056385,0.17713019
0.63351375,0.17720705
0.62411666,0.1663326
0.62780714,0.17526817
0.6283624,0.17294542
0.6416154,0.17241032
0.6194198,0.18685134
0.6346315,0.18007031
0.612949,0.17651099
0.63767284,0.1767865
0.64834976,0.15157385
0.6651935,0.1531611
0.61869884,0.18112479
0.6144764,0.17139065
0.63233966,0.17226729
0.630904,0.15273035
0.63138753,0.19006488
0.6154915,0.17289892
0.6286099,0.17929089
0.65480727,0.16733336
0.6121373,0.17382412
0.6201678,0.18041031
0.6510765,0.14644699
0.6382715,0.16404332
0.62131774,0.18408191
0.6224382,0.18045618
0.64361155,0.16892716
0.63164014,0.18337145
0.6330494,0.17017886
0.63080883,0.16614562
0.62162805,0.17943947
0.6333239,0.17471746
0.6368657,0.1675512
0.6193033,0.18082659
0.62762547,0.16386662
0.634474,0.15297855
0.6239605,0.18165714
0.64086795,0.15649599
0.612675,0.17828801
0.6165221,0.16793859
0.6355725,0.18055484
0.65309715,0.15637931
0.60357916,0.16747743
0.6382163,0.17104626
0.6491087,0.14709386
0.6237628,0.17679779
0.6144175,0.17677389
0.61536455,0.17416674
0.6542598,0.14849617
0.64146304,0.15005368
0.62859845,0.1595335
0.6189444,0.17677265
0.6510035,0.18251643
0.63375926,0.16562721
0.60283107,0.16833472
0.63649213,0.16467361
0.6382199,0.18888365
0.61771977,0.17821434
0.618114,0.18771614
0.6421593,0.16574699
0.62205637,0.17915426
0.60113245,0.1705237
0.6379218,0.16922802
0.6259172,0.17498745
0.6520734,0.15658548
0.6242074,0.18247429
0.6238708,0.17217724
0.63656247,0.1604162
0.632569,0.15162893
0.6387873,0.15648265
0.62279886,0.18259461
0.63728476,0.1594713
0.6240867,0.18044408
0.63836825,0.1560911
0.6257516,0.1757868
0.60674614,0.18037955
0.6127863,0.170021
0.6293377,0.18552469
0.6356739,0.17889385
0.62011397,0.17044741
0.6398738,0.17043735
0.64340925,0.18044168
0.6340044,0.1660391
0.64987344,0.14448732
0.6488904,0.14198849
0.61740065,0.1702971
0.6425655,0.15692283
0.62194544,0.15858276
0.6322562,0.1731012
0.6296435,0.15610234
0.61967516,0.17007107
0.6405522,0.1429764
0.647637,0.1651759
0.6202742,0.17384532
0.62503964,0.19150095
0.626647,0.16792771
0.6272411,0.18281959
0.6266269,0.15190668
0.62737834,0.16031344
0.63621897,0.1941493
0.64142525,0.15298976
0.6260042,0.17919947
0.6386918,0.16297914
0.62136567,0.17953469
0.6178646,0.18580675
0.6248241,0.15578184
0.63124996,0.17910387
0.6490673,0.16116165
0.6420016,0.17569889
0.64179784,0.16760029
0.63254565,0.16051808
0.6500193,0.18609285
0.63611156,0.1673321
0.63505954,0.15855925
0.62214816,0.1683133
0.6480733,0.15888137
0.6244509,0.17940497
0.6068131,0.18056403
0.6214772,0.16606626
0.62136304,0.18372251
0.6126492,0.16845338
0.62945276,0.18126208
0.6247523,0.17168622
0.6490153,0.15419315
0.6347923,0.17478105
0.62748873,0.17100184
0.63982695,0.15762363
0.64915687,0.14694376
0.63543695,0.17160177
0.6504961,0.14836031
0.60115725,0.16594584
0.6426393,0.1606333
0.64877087,0.15560152
0.6508336,0.15352257
0.63448304,0.16840366
0.64538956,0.16044676
0.62751454,0.17479455
0.6447416,0.17740023
0.6463429,0.1528441
0.65618724,0.1444493
0.6343379,0.19115683
0.65559673,0.1373552
0.63764346,0.17704628
0.66788244,0.12660733
0.62291664,0.17939276
0.61930436,0.18224064
0.6227862,0.18705533
0.6122948,0.17954645
0.60494906,0.17493291
0.6526664,0.18496133
0.6266778,0.17902213
0.6306403,0.17553483
0.63703865,0.18075764
0.64517766,0.14614181
0.61427253,0.17790155
0.6155391,0.18331525
0.6453479,0.16838996
0.6119909,0.18753615
0.632124,0.1680246
0.61747277,0.17904767
0.6265776,0.18430902
0.64561385,0.14703971
0.64391375,0.17739798
0.6491553,0.17020117
0.6417833,0.14562765
0.64706993,0.16956192
0.61527574,0.18594508
0.64060557,0.15438992
0.6228546,0.1860068
0.6656981,0.1423445
0.6300939,0.17815956
0.63230556,0.16794215
0.6463861,0.18033363
0.63074017,0.16832598
0.62905735,0.16697916
0.6277536,0.16879795
0.62105167,0.17589203
0.6418974,0.16050717
0.60144246,0.17383657
0.6545589,0.15837888
0.6646868,0.14314757
0.621092,0.16968094
0.615944,0.1738829
0.63491243,0.1606033
0.61538595,0.18296076
0.61980224,0.18211731
0.6244423,0.1763296
0.6373284,0.19402787
0.6353689,0.1542198
0.6197238,0.15495262
0.63127553,0.18012817
0.6157927,0.16772181
0.6472529,0.16647385
0.6264441,0.18021548
0.65154,0.14887057
0.64431816,0.15599674
0.6332347,0.16065587
0.6342323,0.16288589
0.6354454,0.16512734
0.6149216,0.16863194
0.6181702,0.16637813
0.6277718,0.15692192
0.636062,0.16381618
0.6216008,0.17830272
0.6268181,0.16622427
0.64088523,0.15139
0.6523661,0.14796224
0.65123045,0.14967582
0.6357583,0.16157682
0.6460482,0.15799513
0.6206209,0.17861149
0.632501,0.16034171
0.60054195,0.16990727
0.6614241,0.14971271
0.65241885,0.15603922
0.628945,0.16773982
0.6426939,0.16456401
0.6742842,0.13452098
0.64460003,0.15640205
0.64104736,0.15913038
0.6441794,0.16179484
0.6528117,0.15854979
0.6110449,0.17718849
0.6395278,0.16506433
0.6052948,0.16921598
0.65893996,0.14818245
0.62351704,0.1746914
0.6314039,0.1752961
0.64593446,0.1427388
0.6399202,0.17027374
0.6407566,0.18393937
0.63645494,0.17352384
0.6317622,0.17185782
0.6384382,0.1627109
0.649686,0.1540515
0.6411339,0.16088381
0.63585675,0.1719202
0.6662398,0.13750201
0.6596175,0.15011758
0.6515052,0.16234156
0.634516,0.16462237
0.62733006,0.1668201
0.6214832,0.17975152
0.61741894,0.16675241
0.6189458,0.16649021
0.63926214,0.18359552
0.6091413,0.17213975
0.64866334,0.14847432
0.64366347,0.15115172
0.6460923,0.17437394
0.6278139,0.18064155
0.6245922,0.16396357
0.6166274,0.17177032
0.6490192,0.15450881
0.62992734,0.17528962
0.6252083,0.17944837
0.6137899,0.16878185
0.62239695,0.17408603
0.6161772,0.17106211
0.6315271,0.14764965
0.6241843,0.18137266
0.6532639,0.161712
0.6316395,0.18306805
0.63185954,0.1650668
0.64883703,0.15548077
0.6306461,0.1643043
0.64469343,0.14820586
0.63810265,0.16295648
0.62300336,0.1763509
0.6425373,0.17033465
0.63888174,0.16406581
0.6303904,0.16474375
0.64361316,0.162122
0.63647014,0.16114075
0.6384185,0.16531394
0.6437389,0.17371982
0.6554438,0.15132564
0.6408017,0.16133289
0.64002985,0.15269269
0.6370098,0.1771601
0.64498574,0.1615013
0.6144083,0.16934273
0.62447095,0.17149298
