parameter_1,parameter_2
-2.8427582,-8.537793
-2.800948,-8.664717
-2.9356608,-8.7429905
-0.8047049,-8.715738
-2.6969004,-8.693613
-0.19552255,-8.789059
-0.8983147,-7.463594
-3.0805027,-8.862139
-2.8222122,-8.670396
-3.1148217,-8.569332
-2.9681768,-8.568818
-3.9775054,-7.7753687
-2.936784,-8.793603
-2.9168172,-8.513752
-0.93713045,-8.062605
-2.3426046,-8.181233
-2.5001607,-8.326669
-3.1674504,-8.620788
-2.839248,-8.740587
-3.3710952,-8.805597
-2.992293,-8.653219
-2.7862666,-8.74451
-2.0965104,-8.306583
-3.0768306,-8.595668
-3.1366172,-8.709237
-2.0567164,-9.348168
-2.9390712,-8.643239
-2.9635623,-8.63496
-3.021903,-8.679326
-2.971285,-9.219053
-3.5076752,-7.4632225
-2.9440813,-8.518557
-1.8495901,-7.6117177
-3.3749936,-9.637559
-2.8507326,-8.825263
-2.977645,-8.848714
-3.813789,-7.633374
-2.9983459,-8.754157
-2.2469351,-8.111434
-2.8277752,-8.751817
-2.9337575,-8.543559
-3.018005,-8.776652
-2.930045,-8.666108
-2.9626276,-8.741071
-2.2444725,-8.722241
-3.0732036,-8.870557
-2.2901971,-8.863261
-1.8292665,-8.633321
-3.0320203,-8.802861
-3.0562491,-8.6523075
-3.753335,-9.063928
-2.4024317,-8.493565
-3.1379898,-9.2178955
-2.9109068,-8.743641
-4.051788,-8.184011
-2.8751285,-8.792225
-1.6580185,-9.127466
-3.7662158,-8.286957
-4.1807837,-9.772057
-3.1866891,-8.73655
-2.0603395,-7.463267
-2.9730961,-8.619135
-3.0984154,-8.800425
-1.7886165,-8.834337
-2.9717047,-8.714058
-2.817727,-8.576859
-5.252449,-8.270319
-2.9973972,-8.520894
-2.9856758,-8.683141
-3.0280035,-7.5653133
-1.3397399,-8.512044
-2.9438415,-8.637211
-2.7404861,-8.029153
-2.4377053,-8.5347185
-2.8697777,-8.803702
-2.8769987,-8.724861
-3.018137,-8.678038
-2.3024912,-7.3153524
-2.7790332,-8.558006
-3.029027,-9.287468
-2.963495,-8.640901
-2.8664634,-8.749404
-4.3073177,-8.397426
-0.5418644,-9.583736
-2.991347,-7.6814837
-2.9536846,-8.7789755
-3.0225964,-8.659974
-3.2704775,-8.126626
-2.9450402,-8.719336
-3.0704863,-8.620973
-2.9257658,-8.478331
-2.7865574,-8.678944
-2.9969394,-8.643233
-3.025676,-8.635749
-4.9308367,-9.21007
-1.138043,-9.37238
-3.3895473,-7.322571
-1.4250062,-9.190533
-1.364275,-5.982136
-3.133179,-8.551896
-2.0001688,-9.198147
-3.9445379,-9.49819
-1.6247127,-8.920341
-1.9926159,-9.559975
-3.2740262,-8.040201
-2.9949276,-8.676295
-2.9283948,-8.797164
-3.0612686,-8.723132
-3.0336628,-8.707751
-3.1330974,-9.60114
-3.049418,-8.696745
-2.9699497,-8.883228
-4.3216496,-7.625001
-2.9470336,-8.5719385
-3.0156898,-8.669722
-4.087588,-9.888074
-2.1786306,-9.088432
-1.6973046,-9.747662
-2.9462662,-8.786461
-3.0553515,-9.810913
-2.9312975,-8.818263
-1.7035457,-8.757567
-3.859447,-8.434114
-2.8140445,-6.7294025
-2.8672101,-8.555926
-3.0355515,-8.7747555
-3.068862,-8.082851
-4.1905465,-9.610241
-2.180303,-9.081658
-2.8609545,-8.693507
-2.913977,-8.644179
-3.0020545,-8.829488
-3.0174048,-8.74319
-3.4304264,-9.4498625
-2.9114566,-8.650278
-3.4349074,-8.627033
-2.8068259,-9.357439
-3.0122292,-8.546167
-2.9474487,-8.762659
-3.1314557,-8.702613
-3.0207567,-8.694085
-3.0519946,-8.77842
-2.8289247,-8.508112
-1.2872694,-9.405334
-3.7037284,-9.280659
-2.846844,-8.744574
-3.7337363,-8.871943
-2.9522672,-8.627362
-3.1033897,-8.624097
-3.029518,-8.442404
-2.8180518,-8.656211
-2.9046967,-8.55559
-2.8875709,-8.671673
-3.1577542,-7.796304
-2.9063175,-8.723553
-2.8946707,-8.614189
-3.093817,-8.515896
-2.94014,-8.605887
-2.350659,-7.749091
-3.0524473,-8.631163
-3.0465872,-8.558717
-2.4578123,-8.976754
-2.9004564,-8.741381
-3.757835,-7.224249
-3.0066745,-8.778693
-2.8504689,-8.562246
-2.985845,-8.783045
-2.782212,-8.9478
-2.8697762,-8.824292
-2.0973227,-9.104803
-3.3806963,-8.634831
-3.137106,-8.669606
-2.7969718,-9.437683
-1.4803349,-9.139213
-2.9659705,-8.528946
-2.5040627,-7.8676248
-4.1804132,-8.975802
-2.8721917,-8.762739
-3.06912,-8.634523
-4.118609,-8.519912
-3.011934,-8.694427
-3.2658937,-9.75099
-2.695017,-9.681669
-3.0916378,-8.4695215
-3.459451,-9.509232
-3.1207,-8.723527
-1.5476962,-8.353394
-3.3327045,-7.985951
-2.8760664,-8.6838255
-3.0382278,-8.566099
-3.1678143,-8.844212
-3.050003,-8.635182
-2.6310368,-8.230275
-1.5015924,-8.022721
-4.2477264,-8.126383
-2.9870586,-8.592272
-2.9655952,-8.588041
-2.8373535,-8.878414
-3.0274456,-8.511968
-2.8240888,-8.593362
-3.0643535,-8.78171
-2.8509839,-8.5891905
-2.8518603,-8.543845
-3.064038,-8.771797
-2.8367128,-8.584155
-3.0466542,-8.498106
-2.7028012,-8.48606
-1.9790853,-9.135776
-3.0884533,-8.7508545
-3.0348003,-8.719284
-2.9598613,-8.648834
-1.4847214,-8.233223
-2.898708,-8.766975
-2.9287739,-8.565055
-2.978401,-8.755396
-2.9329457,-8.613429
-2.821602,-8.824644
-3.3097122,-9.279245
-2.9376698,-8.540332
-2.9041042,-8.693707
-2.8040597,-8.651222
-3.7201402,-8.600745
-3.8512998,-8.204007
-1.8673556,-8.882418
