$\beta$,$\gamma$
0.3192583,0.12664518
0.32005236,0.12729451
0.32174763,0.12833166
0.31910938,0.12642528
0.32131052,0.12738517
0.3265136,0.1299922
0.322124,0.12823085
0.31892088,0.12573504
0.32534403,0.12995173
0.32543227,0.12880985
0.31845102,0.12419333
0.32619384,0.1349974
0.31869128,0.12475345
0.3208571,0.12571071
0.32053736,0.12769313
0.31418607,0.11788884
0.3219835,0.12640736
0.32056648,0.12445171
0.32452306,0.12907666
0.32105887,0.12511969
0.32243085,0.13072565
0.31890061,0.12301154
0.3212721,0.12629513
0.32457435,0.12959713
0.31485873,0.12309243
0.32664514,0.13417664
0.32536304,0.13425829
0.3266862,0.13572943
0.3237447,0.12924065
0.31970775,0.123337805
0.320474,0.12881814
0.3147397,0.12233785
0.31705925,0.12382095
0.32329923,0.12697852
0.32354802,0.12939385
0.3203517,0.12698069
0.3202513,0.1294069
0.31808728,0.1274808
0.32646978,0.1331544
0.318147,0.12188597
0.319657,0.12430741
0.32366875,0.12802434
0.31709644,0.12312512
0.3244449,0.13198471
0.32050747,0.12602738
0.32582065,0.12942995
0.32172605,0.1285736
0.32657593,0.13349435
0.32595798,0.1325293
0.31460848,0.121864036
0.31949332,0.12682933
0.32326302,0.12942295
0.32051843,0.12748945
0.32107994,0.1281219
0.32764506,0.13339126
0.3230101,0.1280149
0.31869346,0.12495587
0.32076895,0.12608156
0.3211914,0.12885231
0.32325742,0.13088517
0.32152346,0.13020127
0.31635576,0.12014751
0.3212976,0.12552382
0.31612223,0.12117305
0.3232514,0.12762812
0.31542307,0.12017106
0.32640335,0.13303801
0.31918833,0.1256291
0.32476592,0.12792003
0.31452385,0.1256462
0.32351273,0.12944633
0.32206464,0.12786122
0.3242403,0.13213962
0.33032447,0.1370513
0.3257302,0.12762073
0.32360566,0.12993456
0.32556996,0.13212913
0.31874242,0.124632545
0.32518533,0.13361919
0.31937426,0.12704417
0.32883173,0.1346487
0.31830287,0.12529631
0.3215562,0.12819661
0.32661763,0.132215
0.3197144,0.12489898
0.32346186,0.12843916
0.3296434,0.13699496
0.32166138,0.12617673
0.31780523,0.12638463
0.3179801,0.12633693
0.32412755,0.12989953
0.32376748,0.12889627
0.31407085,0.11992735
0.31211057,0.12216503
0.3171634,0.12496138
0.32695267,0.13195859
0.32528532,0.13320541
0.32352033,0.1278514
0.3163641,0.121765405
0.3280154,0.12765728
0.32360405,0.1324336
0.3235198,0.12879272
0.32226416,0.12627201
0.3227032,0.12649284
0.32237124,0.12971681
0.325935,0.13023591
0.31976616,0.1274265
0.32170457,0.13012663
0.32046223,0.12551141
0.3215631,0.12876411
0.31939128,0.12589937
0.3221481,0.12671112
0.3201469,0.12757619
0.3182791,0.122244984
0.3204309,0.12830046
0.32159618,0.1278496
0.32576758,0.1330058
0.32390872,0.1337251
0.32347244,0.12694867
0.32426906,0.13273393
0.31344256,0.11888684
0.31693614,0.12281151
0.31169906,0.11552603
0.3225422,0.13116245
0.31411454,0.122876294
0.32093814,0.12770766
0.33123395,0.13790852
0.31438953,0.117769614
0.31804955,0.12440552
0.32732588,0.13414927
0.31748524,0.121096745
0.3264092,0.13231367
0.32240185,0.127942
0.32600698,0.13337396
0.3247939,0.1343809
0.32540753,0.13382499
0.32111084,0.12933682
0.32071,0.12863807
0.32769242,0.13702111
0.32306904,0.13033372
0.32136536,0.13038544
0.32249835,0.13040033
0.31976542,0.12484614
0.32484874,0.12905842
0.32272038,0.12775618
0.32139614,0.12789322
0.3171018,0.12461777
0.31239757,0.11541651
0.32061106,0.12570369
0.31483266,0.12569696
0.32232067,0.12475616
0.32071033,0.12787697
0.3282331,0.13002868
0.32161036,0.12848495
0.3177526,0.12416423
0.3209766,0.12759688
0.31814384,0.12482024
0.32010695,0.12552571
0.3172092,0.12064988
0.32300574,0.12756734
0.317028,0.1234383
0.31802806,0.12616456
0.32218385,0.13075936
0.32107413,0.12802584
0.31657466,0.123079896
0.32194862,0.12705037
0.31177846,0.11582662
0.3240784,0.13048518
0.3252243,0.1306496
0.32703146,0.1341452
0.3208869,0.12600668
0.3262489,0.13543974
0.3156432,0.1226692
0.31498626,0.119199015
0.3182914,0.12651831
0.32150468,0.12757565
0.3205617,0.12841919
0.323476,0.12940736
0.31872275,0.12625524
0.31842196,0.12181181
0.32361633,0.12924536
0.32903385,0.13653569
0.3190566,0.12666735
0.32083485,0.1245499
0.32121617,0.12845343
0.31847695,0.12679349
0.32659546,0.1324696
0.3268146,0.13272922
0.31843635,0.12483947
0.31997618,0.12538627
0.319545,0.12574834
0.31659722,0.120895475
0.3151674,0.12105774
0.31989262,0.12575534
0.32405472,0.12841815
0.32285827,0.1269582
0.31985316,0.1261552
0.31162402,0.11826698
0.3273798,0.13285038
0.32709253,0.13473547
0.32343388,0.12586445
0.3174897,0.12435036
0.32039535,0.124693885
0.3181687,0.12402825
0.3247049,0.12961411
0.31639656,0.12300943
0.32339597,0.12955856
0.3207789,0.12621324
0.31896505,0.12507056
