parameter_1,parameter_2,parameter_3,parameter_4,parameter_5
2.5576499,-2.7860012,-0.82818186,-0.6445477,0.113468975
1.8801855,-2.5684364,0.5785689,-0.7346951,-0.24698514
1.1377285,-1.5712253,-1.2920059,-1.6911292,-2.4120247
2.2763333,-2.876539,-0.8115096,0.6439518,-1.0794096
0.3549361,0.6391088,-1.7245136,-2.490694,-2.6989365
0.8236737,-2.7926989,-1.1894598,-0.82962114,0.95577353
1.6207292,-2.3683584,0.6187639,0.686169,-1.6286418
1.9074427,-2.8861868,0.4904718,-1.1663615,-0.48655927
1.6459689,-2.5762734,0.69981515,-0.76459736,-0.94253767
2.1530416,-2.8207898,1.0163374,0.558247,-0.6697563
1.9399188,-2.878236,0.5694929,-0.7071355,-0.83694315
1.6202271,-2.724906,-0.70063263,0.54293233,-0.75295377
1.7991426,-2.8972208,1.0862803,-0.8093017,-1.7198325
2.0111806,-2.799817,0.95216846,0.5255605,-0.7759033
1.1689898,-2.696898,0.91649413,0.73477453,0.37312016
2.0636659,-2.6848843,0.9713808,0.8019328,-1.1342536
1.7357183,-2.6599276,-1.4323255,1.4619998,0.7876731
1.9336418,-2.7673454,0.7083384,0.6333379,-0.49679983
1.9140619,-2.5171387,-0.79310226,-0.7537272,-0.89653325
2.0449553,-2.4843464,0.8499269,-0.739087,0.17439455
1.7799972,-2.5811248,-0.71169245,0.80186445,0.24754721
1.8622357,-2.6167984,0.87539864,-1.1658999,-2.0549672
1.5291451,-2.476504,0.7523082,-0.8329801,-0.57710385
-1.0645899,-1.9457177,2.160655,-1.1508594,-1.8736643
2.0817416,-2.8196285,0.82133573,0.829108,-0.36663184
1.2825125,-2.2687244,-0.73080564,-0.63434553,-0.57659334
2.0081275,-2.8669367,-0.6541006,-0.5030016,0.1277985
1.6823095,-2.4805782,1.0924712,1.3447573,-1.4966677
1.4782219,-2.6580033,1.144993,1.0393306,-1.8751919
1.7535117,-2.7346284,-1.0103148,-1.1459175,-1.406961
2.0124419,-1.8260535,-1.0025687,-1.1346228,0.85825694
1.9196546,-2.404854,-0.60654306,-0.68046904,-1.1089426
1.8454897,-2.9062657,-0.6617292,0.86821204,-0.2620576
1.6476207,-2.8047729,-0.89623845,0.6252593,-0.26345316
1.6835911,-2.929088,1.1240987,-0.81142056,-0.81424993
2.585382,-2.470412,1.4556023,1.0602399,0.84316045
1.9239779,-2.6576777,-0.6134535,0.9093858,-1.1974182
1.4322629,-2.6429543,1.1217227,0.86802757,-0.4410751
1.9876854,-2.6119232,0.9434521,-0.9785032,0.85136586
1.8738884,-2.6404176,-0.880121,-0.6187271,-1.036278
