$\alpha$,$\beta$,$\gamma$,$\delta$
0.6106151,0.08605909,0.8324425,0.08021238
0.6412071,0.08647105,0.81078684,0.076782525
0.6232243,0.08321911,0.81325763,0.07467266
0.62792575,0.085698605,0.8155126,0.07689297
0.6070903,0.07696405,0.84626675,0.07899595
0.6227058,0.0942936,0.814049,0.07910783
0.60700196,0.07432703,0.8632454,0.081728026
0.616267,0.08815131,0.82812816,0.07881383
0.6272019,0.09004569,0.80478036,0.075917624
0.62743044,0.084118746,0.80894625,0.0754861
0.6157659,0.08069564,0.8411881,0.08021224
0.63137,0.08121538,0.81922585,0.07748813
0.611644,0.08367537,0.83513296,0.079541184
0.62300926,0.087320946,0.8210799,0.07850578
0.6191293,0.08494728,0.83108455,0.07891649
0.6174647,0.080463044,0.8322145,0.078558184
0.6221145,0.086834185,0.8174626,0.077263616
0.608935,0.077239305,0.84720886,0.080449365
0.60785043,0.075139046,0.85577565,0.07994684
0.6143631,0.083207875,0.8306972,0.077929296
0.6141691,0.08363063,0.83240753,0.0791313
0.62214345,0.08869704,0.80871654,0.076160885
0.6225407,0.08293642,0.8181632,0.076722525
0.6192657,0.08057289,0.830757,0.0778441
0.6275493,0.08550906,0.80572975,0.075530514
0.5980363,0.07949228,0.85268384,0.08112783
0.61587435,0.083929114,0.836772,0.08017159
0.61560297,0.08635107,0.82973313,0.07925542
0.6299261,0.08900032,0.81072485,0.07850714
0.61601245,0.08476777,0.8236601,0.0773842
0.60717,0.0789128,0.84414965,0.07855277
0.61196476,0.08484931,0.8228142,0.07601235
0.6358626,0.08113046,0.82056457,0.07642561
0.6340734,0.08939468,0.8107181,0.078218244
0.64546275,0.08421657,0.80690116,0.076625966
0.61712724,0.08524812,0.81787455,0.076422624
0.6266937,0.07797557,0.8332134,0.07856811
0.6218833,0.0897033,0.8098224,0.07724481
0.6014471,0.080788866,0.8463865,0.08027826
0.6284972,0.08513107,0.81407887,0.07676806
0.62509084,0.086091086,0.82117176,0.078174286
0.597573,0.08132681,0.84987444,0.08067211
0.6023539,0.075669676,0.8573605,0.07991009
0.62434334,0.082869746,0.8248086,0.07727425
0.6193616,0.08093421,0.83845013,0.07857214
0.6106043,0.0811368,0.83803916,0.079261675
0.61744756,0.082841955,0.83044386,0.07759717
0.6053945,0.08121376,0.84373367,0.079480395
0.62377584,0.086317286,0.81609595,0.077005565
0.6318967,0.085765794,0.8172227,0.07869285
0.6240039,0.08624204,0.8169585,0.078199
0.6185287,0.08565469,0.82602847,0.08008221
0.6217742,0.083614305,0.818958,0.07693772
0.6312325,0.09055348,0.80535,0.07689822
0.61091286,0.088571556,0.82598776,0.07811811
0.64598364,0.092792965,0.78666717,0.073082484
0.6006098,0.077462025,0.85413,0.07943836
0.62048995,0.08251499,0.8224186,0.07737098
