parameter_1,parameter_2,parameter_3
2.851315,2.4079297,-2.4330816
2.0160034,1.7834661,-1.71068
2.5202043,1.8013387,-1.9298525
2.7703679,2.7820573,-2.6084313
2.0759141,1.9099985,-1.8165514
2.5382423,1.973065,-2.0413587
2.3069568,2.658072,-2.3469408
2.5243244,2.3203864,-2.2490318
2.5054097,1.9963552,-2.0518947
2.1092973,2.5873775,-2.2146986
2.2740643,2.14698,-2.0153453
2.2445667,1.9670477,-1.9020398
2.709324,2.4344864,-2.3877087
2.172164,2.3382354,-2.118303
2.8051348,2.4341857,-2.4371252
2.8440304,1.764861,-2.045595
2.2022223,2.329816,-2.1125207
2.65513,2.470411,-2.402338
2.7647321,2.7618272,-2.6020377
2.0678174,2.0612125,-1.8765305
2.7063692,1.8956748,-2.073692
2.3370075,1.7393901,-1.8389746
2.9794595,2.2451842,-2.4028444
2.9673307,2.5601933,-2.5851724
1.8313735,2.1770613,-1.8799036
2.7249365,2.556211,-2.4901984
2.380215,1.8059726,-1.8641734
2.4481556,2.9397948,-2.5598726
2.4117475,1.9393922,-1.9602796
1.5360396,1.904172,-1.5916991
1.7268546,1.7706068,-1.5805844
2.975071,2.7336543,-2.6667743
2.7323284,2.1680374,-2.22663
2.9344041,1.8526328,-2.1200862
2.8990283,2.504645,-2.4861062
2.276256,2.338301,-2.140993
2.286527,2.1536505,-2.0465503
2.436199,1.9202656,-1.959139
2.6991673,2.108326,-2.17931
2.8159041,2.2483175,-2.3341923
2.696468,2.336639,-2.3257713
2.888591,2.6611545,-2.6212325
2.6438127,2.1846743,-2.2039948
2.74617,1.9234965,-2.1028626
2.1352682,1.8828644,-1.8155843
2.7797327,2.404819,-2.3836355
2.263275,2.308568,-2.1239781
2.6642537,2.119873,-2.2048302
2.4492507,2.5126712,-2.317218
2.684933,2.6783924,-2.5099037
2.4565718,1.8984687,-1.9533365
2.5466897,2.6197197,-2.44327
2.5679421,2.1053028,-2.1272674
2.8625164,2.6159546,-2.5569623
2.3453245,2.2969882,-2.1407294
2.1814203,1.8771355,-1.8006431
2.6546776,2.605467,-2.4658885
2.3553174,1.9828864,-1.9588957
2.848056,1.666091,-1.9907926
2.506708,2.531013,-2.372804
2.1604943,1.8447447,-1.8011614
2.8541892,2.209404,-2.3108747
2.5678568,1.7787398,-1.9260167
2.033933,1.6860117,-1.6560073
2.9076788,2.4092658,-2.4660044
2.1052043,2.317632,-2.0487473
2.838719,2.367453,-2.414126
2.7851324,2.0185082,-2.1783755
2.7215235,2.1493149,-2.2268221
2.4814172,1.924457,-1.9768107
2.6228352,2.0687275,-2.123928
2.6387532,1.4325464,-1.7851884
2.4054272,2.5096593,-2.2967265
2.5253243,1.7456387,-1.9006592
2.2425852,2.026181,-1.9375182
2.927326,2.2049327,-2.3316376
1.9685496,1.9798793,-1.7909887
2.9860966,2.3298144,-2.4399512
2.0102508,2.0986173,-1.8931895
2.421085,2.2363884,-2.1400895
2.8563042,1.7574835,-2.0498662
2.126374,1.5000143,-1.5890379
2.6874547,1.8099016,-2.0149083
1.7072567,1.7942907,-1.5571121
2.2109795,2.3380303,-2.1151495
2.9177737,2.139409,-2.3189197
2.5603657,2.2335002,-2.188589
2.1941216,1.6933981,-1.7351825
2.4048748,1.8993977,-1.93289
2.3472095,1.7241124,-1.8336201
2.3790634,2.189721,-2.1061893
2.0606823,1.8437723,-1.7470648
2.3052578,2.146598,-2.041743
2.0315752,1.9201853,-1.7801439
1.6712822,2.2094052,-1.8036802
2.8794427,1.8247607,-2.0996985
2.1757112,2.5153377,-2.2078285
2.3248055,1.873156,-1.8928139
1.9062169,1.7670428,-1.6453193
2.1061368,2.0758276,-1.9184358
1.3437052,1.8606949,-1.4657909
2.309422,1.3617471,-1.5809131
2.7129865,2.7792315,-2.599315
2.683739,2.1957014,-2.224538
2.9180686,1.9244119,-2.1816633
2.9606514,1.8396069,-2.148619
2.2333922,1.8190064,-1.826005
2.6026714,2.4980688,-2.3567944
1.7362835,2.081379,-1.767439
2.7961662,1.7923838,-2.0509336
2.536731,2.6909666,-2.4809415
2.8751497,2.993511,-2.7812293
1.970121,2.0383084,-1.831275
2.3616076,2.820983,-2.4771702
2.3491673,2.2220578,-2.1149328
2.833523,2.2541718,-2.329526
2.9601507,2.2651374,-2.3986409
2.7599556,2.28826,-2.3358555
2.1360471,2.2493873,-2.0423298
1.4529967,1.6747848,-1.4079865
2.3806865,2.4046052,-2.2143044
2.8055468,2.0507247,-2.1902525
2.8669796,2.03863,-2.2156098
2.4338663,2.219927,-2.1548624
2.4684193,2.0268366,-2.033906
2.4418316,2.1908298,-2.1253333
2.4815984,1.6454949,-1.8307508
1.7130035,1.5641313,-1.4560452
2.419875,2.0465498,-2.029848
2.0041754,2.477641,-2.1350987
2.9545221,2.092047,-2.2957122
2.1007292,1.8427899,-1.7823633
2.4680476,2.4834964,-2.3341057
2.27284,1.9013093,-1.8722006
2.9570556,2.3754623,-2.4535577
2.2387753,1.9279128,-1.880121
2.9532795,2.6038036,-2.618588
2.303589,2.8205266,-2.4337335
2.7734044,2.6732857,-2.5755332
2.9515495,2.3529067,-2.4421413
2.4262173,2.532846,-2.318682
2.7295306,2.0647833,-2.1842244
2.5572662,2.4239879,-2.3455324
1.6672986,1.7738299,-1.5506244
2.6190631,2.6042426,-2.4415538
2.6546707,2.5416121,-2.4286637
2.8839397,1.943782,-2.1725173
2.386391,1.7714719,-1.8706406
2.9081078,2.4874303,-2.5087402
2.4243653,1.9126205,-1.9430941
1.3288429,1.4875454,-1.2417117
2.8851004,2.3180144,-2.3888812
2.9717305,2.2637284,-2.3955839
2.7680976,2.2315316,-2.2918227
2.064876,1.9311558,-1.7978246
2.6178746,1.3534747,-1.7456871
2.3616362,1.9493755,-1.9298071
2.6556387,2.0740407,-2.1623058
2.1525416,1.9871575,-1.8799634
2.9792163,2.066501,-2.2848835
2.5020826,1.9989405,-2.057343
2.4361382,1.69041,-1.8301994
1.4035852,1.8977216,-1.5031826
2.4194987,1.9488096,-1.9729712
2.2464616,2.470174,-2.184432
2.675756,2.3231633,-2.3173697
1.9814875,2.175019,-1.9276475
2.8693576,1.6186968,-1.9765482
2.5780623,2.2933195,-2.266056
2.219616,1.7479955,-1.7548561
1.9977643,1.8146865,-1.7094908
2.4977853,2.671224,-2.4375405
2.670027,2.512369,-2.4030955
2.638468,2.5387344,-2.4334617
2.6864119,2.6948366,-2.5218964
1.4247941,2.4556892,-1.8463178
2.7100754,2.728623,-2.5663345
2.325034,2.6146338,-2.3333092
1.8348938,1.9191157,-1.7255332
2.860617,2.913848,-2.7410476
2.462596,1.8807888,-1.9759583
2.4425766,2.0841968,-2.0618145
2.4744627,2.046676,-2.0589857
2.9792914,2.208996,-2.3753366
2.513055,1.5936676,-1.8099635
2.775209,2.3549604,-2.3301282
2.4005742,2.1990607,-2.1182654
2.9174147,2.5852792,-2.5641983
2.9494224,2.9681325,-2.8263059
1.9222766,1.9782293,-1.7625195
2.2136621,1.8694918,-1.8278497
2.477116,2.0022664,-2.0531845
2.777823,2.266084,-2.3020465
2.7400868,2.221418,-2.2658486
2.4902,2.3305552,-2.2470758
2.7967122,2.0493457,-2.2069886
2.283354,2.4430935,-2.2360415
2.8323874,2.3991494,-2.423171
