$\alpha$,$\beta$,$\gamma$,$\delta$
2.8825238,0.026779015,0.4538558,0.121612996
2.8878393,0.026642432,0.4549494,0.12257989
2.8925192,0.027015718,0.45293728,0.120585695
2.906832,0.027415982,0.45035324,0.11785585
2.8939593,0.024909226,0.45604962,0.116905265
2.8855197,0.025788069,0.455573,0.12063473
2.87484,0.027881902,0.4540755,0.12641075
2.8977637,0.02491816,0.45557895,0.11640794
2.9011981,0.028338958,0.45072564,0.12196844
2.8887973,0.025370248,0.45673046,0.12045708
2.901944,0.02800958,0.4515525,0.12242588
2.8892317,0.026825394,0.4547528,0.122819416
2.8695917,0.024963465,0.45937824,0.1224635
2.8956041,0.02801493,0.4519781,0.123422
2.8865845,0.025256107,0.45627433,0.11838098
2.8959374,0.027760774,0.45131025,0.12109599
2.902168,0.028162496,0.45011523,0.12121159
2.8948119,0.02587954,0.45443487,0.118144274
2.902,0.026790317,0.45362303,0.12076566
2.8871346,0.027499909,0.45124802,0.12015181
2.8921597,0.026718462,0.45227787,0.1187129
2.892255,0.026735468,0.45372078,0.1212716
2.898123,0.02680849,0.45150074,0.11758747
2.9016035,0.025566919,0.45364743,0.115113564
2.875,0.025239378,0.45803875,0.12154743
2.9011228,0.026704196,0.45229375,0.11841101
2.8905902,0.025337176,0.455505,0.1177752
2.8964279,0.02609113,0.45374924,0.11801649
2.885078,0.02491261,0.45800343,0.11967348
2.8965948,0.025663106,0.45443404,0.11650486
2.8856804,0.025356067,0.4564761,0.11924632
2.886451,0.024377612,0.45671812,0.11584573
2.8901262,0.026933404,0.45258534,0.12015791
2.8948367,0.026098477,0.45371523,0.11805918
2.8919644,0.026190905,0.45586857,0.12175083
2.902294,0.02677099,0.45199794,0.117944196
2.8947072,0.026344065,0.45390722,0.1187565
2.8878474,0.02714737,0.45433542,0.12371525
2.89732,0.026505183,0.45252204,0.11805679
2.888326,0.02750621,0.453905,0.12443845
2.8917577,0.024732929,0.45628208,0.11632301
2.8961573,0.028843908,0.44952396,0.122280106
2.909088,0.027072987,0.45031947,0.11576544
2.8846207,0.026840754,0.45344242,0.12051663
2.9040022,0.025637152,0.45385057,0.11643894
2.8923588,0.028374663,0.45153713,0.123492025
2.8867939,0.025691677,0.4554665,0.119488105
2.9007022,0.026803697,0.4517764,0.11795013
2.8877854,0.026970906,0.4536642,0.12216267
2.9033182,0.026248543,0.45280787,0.11689601
2.8953295,0.02675919,0.45231995,0.11875013
2.8948886,0.026764978,0.4535446,0.120369546
2.8866591,0.024545096,0.45801967,0.11787599
2.898148,0.027683187,0.45085385,0.11982366
2.9083095,0.027744418,0.4489558,0.116946384
2.8897321,0.026135009,0.4554386,0.120990776
2.8876555,0.026528867,0.45372725,0.119976655
2.9058948,0.028773163,0.44890907,0.1209688
2.902427,0.026325757,0.45353824,0.11909406
2.897733,0.024928022,0.45707443,0.11785332
2.8894768,0.024803927,0.45619434,0.116203904
2.9005916,0.028127676,0.44953775,0.119523324
2.899889,0.028532203,0.44957733,0.120727286
2.8746457,0.024771081,0.46022725,0.12290322
2.905523,0.027268408,0.4525033,0.12109692
