parameter_1,parameter_2
8.443528,-9.299411
9.259439,-9.483628
8.370495,-9.0357275
6.760154,-8.264399
8.387311,-9.244702
9.268703,-8.417385
7.09771,-8.901639
8.059043,-9.560241
6.2373796,-8.70711
7.856431,-8.328532
8.319509,-9.274157
9.447748,-9.145159
9.988578,-7.891191
8.479491,-9.3605385
8.558461,-9.289701
7.341927,-8.632733
8.467069,-9.084832
8.453686,-9.1416645
8.410249,-9.241348
8.98058,-9.145939
9.501513,-8.752694
8.319027,-9.344084
8.345978,-9.249366
8.480386,-9.307821
9.100509,-8.895232
8.424827,-9.229143
7.570482,-8.888275
7.3584957,-9.592005
8.3857765,-6.949997
7.128624,-9.1704855
8.771084,-9.4239855
8.537603,-9.103431
9.344788,-8.454326
8.420891,-9.200907
8.332886,-9.127583
7.1960425,-8.326305
8.353978,-9.294533
8.38738,-9.196292
7.2788916,-9.159515
8.423805,-9.101942
8.313521,-9.325876
7.940748,-9.0364065
9.214816,-8.8383
8.956431,-9.293478
9.4051075,-8.054578
8.366428,-9.151482
8.520101,-9.307559
8.341029,-9.177124
8.396009,-9.349111
8.560089,-9.308929
8.332152,-9.344848
8.283194,-9.186519
8.475507,-9.251585
8.58675,-9.2685585
7.981488,-8.5492115
8.314059,-8.989997
9.693061,-9.943937
8.521351,-9.278314
8.641086,-9.293375
8.742382,-8.781813
8.583918,-8.71464
8.482757,-9.271636
8.57208,-9.234633
8.566177,-9.275595
8.496439,-9.261902
7.2777185,-9.357066
8.415465,-9.198038
8.55155,-9.246134
8.513937,-9.073823
8.369571,-9.262541
8.605921,-9.1848755
7.173682,-7.727748
7.8671055,-9.833439
8.569994,-9.242927
8.411588,-9.232097
8.508738,-9.350051
7.315418,-8.451674
8.482193,-9.192911
8.899276,-9.166015
8.441176,-8.635448
7.161824,-8.710788
8.680605,-9.103606
8.638741,-9.200428
8.490588,-9.187073
8.208281,-8.4803705
7.5002136,-7.9649763
8.682458,-7.9307027
8.035804,-9.8257675
7.8541365,-8.070545
8.338792,-9.37607
8.3628235,-9.186807
9.382342,-8.448548
7.925562,-8.945304
7.658819,-8.443628
8.457676,-9.247022
8.177699,-8.0178175
8.52809,-9.268714
7.841132,-9.067089
8.394354,-9.381907
7.5471444,-8.747987
8.658887,-7.993514
8.480217,-7.905713
8.261768,-9.04331
8.387896,-9.166126
8.472004,-9.264805
8.196141,-9.306424
8.542103,-9.229788
8.471041,-9.145448
8.606655,-8.56407
8.36236,-9.273179
7.7545166,-9.991239
6.655385,-8.815349
8.45114,-9.260054
9.810825,-9.954689
8.422788,-9.293141
8.554364,-9.317791
7.9586535,-8.940078
8.577723,-9.343002
8.486154,-8.475697
8.385858,-9.224961
9.232624,-9.814581
8.618086,-9.293284
8.352246,-9.222945
7.8609257,-9.379876
8.491574,-9.323525
8.4101095,-9.133269
8.0788355,-8.179456
8.395633,-9.300869
8.472575,-9.086148
8.436703,-9.345815
8.590741,-9.2869005
8.398905,-9.009791
8.598542,-9.2322235
8.895573,-9.926943
8.4975815,-9.325183
8.282974,-9.146442
8.571853,-9.189749
8.501319,-9.069238
8.536971,-9.14786
8.309438,-9.283293
8.476345,-9.270076
8.556089,-9.207427
8.48235,-9.159758
7.88727,-9.805705
8.418348,-9.221424
8.863458,-9.915201
6.870302,-9.533108
8.32979,-9.22683
8.462139,-9.152071
8.692692,-9.71529
8.392712,-9.224106
8.716362,-7.2347994
8.131067,-9.635027
8.111371,-9.586068
8.431111,-9.075335
8.811161,-9.953397
9.757112,-9.666513
7.9680905,-9.828916
8.277023,-9.275129
8.325066,-9.405223
8.413874,-9.273497
7.2723446,-8.7618475
8.274012,-9.3864355
8.401336,-9.277194
9.002232,-9.051632
8.605241,-9.240673
9.197422,-9.853897
8.426473,-9.27456
8.484879,-9.117173
8.486027,-9.203578
8.58291,-8.728333
