$\beta$,$\gamma$
0.37535876,0.14018293
0.3836767,0.15159558
0.37792322,0.14091708
0.3820788,0.14894825
0.3734325,0.14355013
0.37686372,0.13859868
0.3817938,0.14552873
0.37801504,0.1397162
0.384579,0.14752102
0.37690857,0.14277677
0.3862252,0.15468162
0.37658367,0.13851202
0.3814914,0.14661567
0.38508978,0.14771527
0.37945643,0.14497231
0.3926249,0.15659928
0.3826411,0.14591093
0.3802426,0.14912692
0.3799964,0.1467923
0.37953326,0.14712514
0.36908135,0.13376856
0.37601763,0.14018892
0.38182807,0.14619341
0.36849654,0.13504787
0.38068852,0.14150073
0.38053185,0.15278077
0.37465027,0.13962534
0.3882075,0.1527036
0.37453568,0.14131144
0.37612677,0.14243063
0.37900075,0.14680398
0.37036923,0.13591865
0.38497654,0.14491875
0.38318455,0.14426225
0.37896904,0.14315394
0.37450135,0.1404515
0.38525638,0.15258433
0.38194454,0.1486677
0.38165683,0.14312652
0.37352425,0.1387482
0.38024685,0.14408052
0.38665396,0.14923936
0.37849304,0.14546919
0.3795378,0.13988996
0.3848364,0.15274893
0.37599245,0.13980938
0.3820015,0.14799719
0.38079974,0.14302783
0.38916257,0.15201843
0.3808229,0.14402115
0.37856206,0.14727046
0.38064608,0.1442161
0.37423927,0.13860506
0.37609977,0.13860567
0.37614116,0.1416731
0.38415506,0.14724956
0.37727976,0.14190279
0.38397667,0.14512978
0.37709752,0.1387977
0.37720174,0.14073832
0.38441777,0.15345265
0.38127318,0.14235263
0.3800083,0.14514586
0.38112795,0.14697188
0.38036445,0.1464097
0.37127116,0.13495186
0.3749434,0.14190745
0.37004197,0.1296882
0.3827081,0.14279145
0.38347214,0.15127577
0.37451148,0.13965453
0.37396523,0.1385297
0.37437868,0.13439208
0.371527,0.13549761
0.37774575,0.14589955
0.37586161,0.1421801
0.38254288,0.14692847
0.37438685,0.1393753
0.38180354,0.1481394
0.38095677,0.14694224
0.3871296,0.15213898
0.36986062,0.13663435
0.38253063,0.14539517
0.3758857,0.14118214
0.37838435,0.13920178
0.38902977,0.15651779
0.3809543,0.14727825
0.37958598,0.14127673
0.38144472,0.14553
0.38315338,0.1466134
0.37924594,0.1490332
0.38238746,0.14559689
0.3786941,0.14467835
0.3799119,0.14212719
0.37710103,0.14681973
0.38408592,0.14875905
0.38813198,0.15338139
0.37642765,0.14271912
0.37638107,0.14069653
0.38286406,0.14687055
0.37887323,0.14198063
0.37238848,0.1373851
0.3712899,0.13373354
0.38357586,0.14634603
0.38029003,0.14289263
0.37515157,0.14213902
0.37941492,0.14463967
0.37418523,0.13426161
0.3801879,0.14251722
0.37657106,0.14440495
0.38401136,0.14927913
0.38130832,0.14401595
0.36781836,0.13070723
0.37716767,0.14281115
0.37407935,0.1403705
0.38397637,0.1471252
0.3808399,0.14850032
0.37535638,0.1410785
0.38644,0.15586384
0.38143307,0.14483082
0.37736133,0.14060341
0.37526858,0.1382828
0.38443983,0.14848556
0.3800922,0.14417729
0.3719807,0.13664311
0.3784546,0.1428784
0.3769363,0.14197674
0.37461755,0.14487575
0.3818847,0.14357135
0.38222694,0.14684539
0.38720167,0.15340686
0.3757964,0.14331295
0.37817284,0.14444683
0.3794461,0.14038211
0.38055563,0.14448874
0.37559107,0.13675909
0.3783061,0.14106451
0.37826222,0.14375997
0.37165463,0.133607
0.37704027,0.14309888
0.3800882,0.1417901
0.37124664,0.1352401
0.38269114,0.14862469
0.37986684,0.1461548
0.3797246,0.14645538
0.37748274,0.14353542
0.3749077,0.13732652
0.37685028,0.14199804
0.3809039,0.1448131
0.38237926,0.14557783
0.38257524,0.14789268
0.37636915,0.14285456
0.38148695,0.14670078
0.38177776,0.14597668
0.37589917,0.13815637
0.37711543,0.14003101
0.37495804,0.13793764
0.37399334,0.13575347
0.3788615,0.14463358
0.38647845,0.15163155
0.3892038,0.15362841
0.38132757,0.14752258
0.38000154,0.14215446
0.37860453,0.14365165
0.381896,0.14504202
0.37359187,0.13850065
0.3760064,0.14046541
0.38011944,0.14613841
0.38058808,0.14665128
0.38178495,0.14458154
0.38089758,0.14395075
0.38144258,0.14454912
0.37072814,0.13288485
0.38335407,0.149606
0.38442722,0.14857575
0.37571165,0.13790888
0.37624264,0.14276643
0.37841555,0.1408442
0.38139784,0.149165
0.38907513,0.15942515
0.3855352,0.14945623
0.38570732,0.15194216
0.38316235,0.15110038
0.37953213,0.14188221
0.3747074,0.13540025
0.37242058,0.13611168
0.38705897,0.15481456
0.3803295,0.14196834
0.37304246,0.13960549
0.37668505,0.14028728
0.38211164,0.14506331
0.38325852,0.14848128
0.37911248,0.14089097
0.38048148,0.14271827
0.38975304,0.15701564
0.37906396,0.14579725
0.375617,0.13765419
0.3707617,0.13478458
0.38770288,0.15347627
0.37846178,0.14013383
0.37980926,0.14337626
0.38746262,0.15408906
0.3867089,0.14932936
0.38216737,0.14502329
0.37170422,0.13690402
0.3786019,0.13907088
0.3715474,0.1382307
0.37670344,0.13941437
0.3781319,0.1437396
0.3767051,0.14255768
0.37312374,0.13929453
0.38240302,0.1504901
0.3839147,0.15058234
0.38271573,0.1452932
0.3782827,0.14275669
0.37156042,0.13336591
0.3810419,0.14383985
0.37819305,0.14303899
0.37722158,0.14276505
0.36705336,0.12835038
0.37882793,0.14712824
0.36856103,0.1331827
0.38241532,0.14640701
0.37536645,0.13712247
0.36622,0.12927409
0.37946886,0.14474954
0.3800333,0.14107268
0.3763999,0.13881503
0.38188857,0.14613904
0.3766376,0.14154117
0.37744167,0.14082299
0.37300527,0.13817304
0.385719,0.14852592
0.37334588,0.14127947
0.380535,0.14438973
0.3751941,0.14134051
0.37703124,0.14296107
0.37338945,0.13702591
0.37808838,0.14966519
0.3757771,0.13768901
0.37578297,0.14396268
0.3791468,0.14168741
0.3855354,0.15146153
0.37661788,0.13996458
0.37834325,0.14675014
0.3786959,0.14547546
0.37355232,0.14247832
0.38492104,0.14848322
0.38924325,0.1487818
0.38198867,0.14627206
0.37994465,0.14477718
0.37541336,0.14156243
0.37944612,0.14461488
0.38593593,0.15067786
0.37957135,0.14045231
0.3804656,0.14571542
0.37940487,0.14084315
0.37946656,0.14413372
0.3723568,0.13535279
0.3806316,0.14356449
0.38004693,0.14569648
0.3838434,0.14875193
0.3769772,0.14177628
0.3729728,0.13402139
0.38097823,0.1488797
0.37852475,0.14046308
0.3768607,0.14253335
0.3874241,0.1513453
0.38184813,0.14490756
0.3748111,0.14192013
0.38247135,0.14239232
0.37989512,0.14695577
0.3790981,0.14586264
0.377289,0.14177653
0.37507463,0.14071275
0.37958223,0.14631896
0.37964693,0.14285068
0.37206572,0.13411199
0.3716647,0.13304392
0.37538624,0.14324749
0.37962225,0.14354415
0.37584993,0.14367794
0.37651464,0.14065437
0.38250467,0.14478381
0.38432422,0.15048175
0.3779231,0.1445447
0.37583926,0.14297186
0.3813676,0.14392956
0.3840986,0.14847322
0.37123737,0.13709979
0.38105935,0.14310952
0.37284598,0.13621928
0.37841913,0.14496672
0.37446475,0.1383138
0.37247795,0.13628395
0.38311115,0.14563571
0.3780251,0.1413332
0.37508452,0.13899092
0.37387076,0.13605776
0.3797803,0.14509264
0.37780604,0.1416795
0.38172838,0.14696804
0.37087733,0.13629717
0.38726196,0.15109065
0.3753283,0.13731305
0.38144007,0.14395097
0.3683731,0.13250403
0.38650945,0.15082964
0.3829986,0.14800408
0.3692475,0.1351987
0.38039818,0.14820102
0.37126902,0.13361989
0.37197497,0.1344492
0.37926596,0.14224733
0.38192248,0.1457479
0.38129303,0.14652222
0.37661138,0.139264
0.38323683,0.1476442
0.3725005,0.1375933
0.38352045,0.14871211
0.37368217,0.13773538
0.37127534,0.13550277
0.37565008,0.13706398
0.38363594,0.14756246
0.38270584,0.14828123
0.37559134,0.14104275
0.38164192,0.14737378
0.37632704,0.14202343
0.3807098,0.14473672
0.38009214,0.14305942
0.3815838,0.14495426
0.37502962,0.13706534
0.37902862,0.14329515
0.38369715,0.15258549
0.37966454,0.1425827
0.38276884,0.14940284
0.38382804,0.14862058
0.3736895,0.13561055
0.3779863,0.14479335
0.3805026,0.1461863
0.375465,0.13844264
0.37467915,0.13682368
0.37279677,0.14062667
0.36886495,0.13212852
0.3805699,0.14274125
0.37640423,0.14423473
0.37402084,0.14019707
0.3746436,0.14340797
0.38117844,0.14461169
0.37903813,0.14474654
0.38551903,0.1461148
0.38260615,0.14801036
0.38099155,0.14417689
0.3780588,0.13980064
0.3747894,0.13655528
0.37971848,0.14437467
0.37554953,0.13785109
0.38508534,0.15299113
0.37950915,0.13921344
0.38329428,0.15267526
0.38420665,0.14787905
0.37962413,0.14251399
0.37530494,0.14270137
0.3854684,0.15102717
0.38011992,0.14217438
0.38078132,0.14287104
0.38001105,0.14140451
0.38080493,0.14504792
0.3835481,0.14531736
0.37141457,0.13629946
0.38582748,0.14990306
0.37669942,0.14016993
0.37651575,0.13553563
0.375421,0.14184853
0.37823275,0.14358391
0.3748081,0.13915841
0.3766933,0.13921966
0.38539377,0.14885278
0.38155344,0.14738372
0.3733159,0.13681208
0.37600124,0.13770689
0.3717958,0.13873407
0.3751872,0.14173152
0.38136828,0.14706203
0.3754507,0.13734336
0.37520444,0.14584298
0.37755373,0.14182505
0.37882873,0.14667453
0.382819,0.14506935
0.38224986,0.14951953
0.3781289,0.142647
0.37145045,0.13322704
0.38318935,0.15326542
0.38120082,0.14272763
0.38116273,0.14275156
0.37504852,0.13792816
0.37721694,0.14151719
0.3812878,0.14358816
0.3809573,0.14537418
0.37541854,0.13702002
0.37750193,0.14549977
0.3810874,0.15025121
0.38741225,0.1510053
0.38505608,0.15223117
0.38809678,0.15700035
0.37541035,0.13610576
0.3775639,0.14399506
0.3746565,0.13827547
0.38101572,0.14647223
0.37290338,0.1351203
0.37928662,0.14586478
0.37790665,0.14552963
0.3785802,0.14409794
0.38376722,0.14626256
0.37672815,0.13759884
0.3851986,0.15333132
0.38277197,0.14717439
0.37746733,0.14271006
0.37512416,0.13816123
0.38165304,0.14788452
0.39108518,0.15604149
0.37822998,0.14390661
0.37820217,0.14571655
0.38259438,0.14514124
0.37755778,0.14352457
0.38566014,0.1477197
0.3797721,0.14228117
0.38522968,0.14670181
0.38591203,0.15038231
0.38708153,0.14856695
0.38018185,0.14064035
0.3796562,0.1455459
0.37785769,0.14515078
0.3642215,0.12710382
0.37765056,0.14282694
0.38591957,0.15083884
0.37801683,0.14116296
0.3796563,0.14611518
0.37056375,0.13579403
0.38153887,0.14215334
0.37957895,0.14395063
0.373617,0.13759175
0.37446758,0.14077258
0.38151968,0.14338483
0.37656257,0.1405782
0.3804169,0.14567734
0.37334526,0.13811152
0.38437837,0.15107347
0.3804383,0.14683805
0.37318373,0.14183658
0.3805124,0.14464572
0.37225732,0.13790478
0.38065243,0.14803301
0.37039018,0.1343776
0.37065417,0.1396193
0.381916,0.14465702
0.37896904,0.14122182
0.37935263,0.14517789
0.3783009,0.13713592
0.36986732,0.13071357
0.38221803,0.1435041
0.3858995,0.14804235
0.38145936,0.14272526
0.3790192,0.14852637
0.37787834,0.14302611
0.37368783,0.1398884
0.3768962,0.14123166
0.3769537,0.14202173
0.37568605,0.13875005
0.38584,0.15357225
0.3788468,0.14370377
0.3808593,0.1400707
0.38100302,0.14726694
0.38444838,0.15045139
0.36995354,0.13236153
0.386058,0.14986259
0.37368494,0.1398366
0.38068062,0.14579721
0.37970284,0.14629932
0.37791917,0.14003144
0.38301304,0.15168615
0.38701716,0.14884363
0.37791684,0.14265676
0.3869469,0.15494552
0.37732056,0.14195964
0.3777283,0.14394495
0.38373926,0.14836664
0.38616002,0.14920686
0.38981867,0.15256913
0.37754437,0.140027
0.3831282,0.14869942
0.37370333,0.13850263
0.37649387,0.14380485
0.38730216,0.15102728
0.38314125,0.1520913
0.37861624,0.14248945
0.3847104,0.14766376
0.38197762,0.1466885
0.38104206,0.14468047
0.3877218,0.15220656
0.38608235,0.15126029
0.38076207,0.14486627
0.38318488,0.14933993
0.36332685,0.12268607
0.37944427,0.14508219
0.38653073,0.15101436
0.38248873,0.14547919
0.37631124,0.13556884
0.38453406,0.14935704
0.37472048,0.14238064
0.37454215,0.13544834
0.38035324,0.14280374
0.38389507,0.14920965
0.36968288,0.13583447
0.38347948,0.15194362
0.38255638,0.14540248
0.37605953,0.1376936
0.37627667,0.13562284
0.38664442,0.15569724
0.3709188,0.13291621
0.37513286,0.13656828
0.3760651,0.13911587
0.37997696,0.14239678
0.38772282,0.15577978
0.37151948,0.13729492
0.3774635,0.14393736
0.37620017,0.14297514
0.38628513,0.14795865
0.37621987,0.14407079
0.3721099,0.1396301
0.38353655,0.14720629
0.37798452,0.14329883
0.38052344,0.14178635
0.38075608,0.14574307
0.3813532,0.14585465
0.36818004,0.1350705
0.37695488,0.13661525
0.37646532,0.14018375
0.38629237,0.14971118
0.3880493,0.14909479
0.37522322,0.1373841
0.37574613,0.14129047
0.37879732,0.14303273
0.38187912,0.14487785
0.3786046,0.14199492
0.37548685,0.14244401
0.3856112,0.14816761
0.38308695,0.14533266
0.36995202,0.13467075
0.38598603,0.15128858
0.37587047,0.13772267
0.38256824,0.1500774
0.38039324,0.14558887
0.38069364,0.14197627
0.3766213,0.13880959
0.37717673,0.14047393
0.3740832,0.13739078
0.377086,0.14261344
0.3777754,0.14071962
0.3912176,0.1538568
0.37988597,0.14382535
0.37819517,0.14210579
0.38026163,0.14405006
0.37264806,0.1347814
0.37621623,0.13927907
0.38542572,0.15324627
0.38123792,0.14565489
0.38443032,0.14454909
0.3847747,0.15258035
0.3782456,0.14069885
0.37246957,0.13741538
0.37365153,0.13776445
0.3830316,0.14701052
0.37361184,0.13983417
0.37374482,0.13887541
0.38616675,0.15005097
0.37925383,0.14569764
0.3789041,0.14787704
0.37262452,0.13989925
0.3789575,0.14716649
0.37597522,0.13881226
0.38857841,0.15299949
0.37532607,0.13817938
0.37614948,0.13903713
0.3811425,0.14713074
0.3848654,0.14610235
0.38276565,0.14447698
0.38438237,0.14654933
0.3847697,0.14787564
0.37828928,0.14162397
0.37809557,0.14306565
0.37945905,0.14168638
0.37903997,0.14356238
0.38318232,0.15054183
0.38663366,0.14663659
0.37605593,0.14223072
0.3714547,0.13244098
0.37480617,0.13408512
0.37903482,0.13943219
0.3781336,0.14039128
0.38423505,0.14607173
0.38467747,0.1484075
0.37723148,0.14280772
0.37747875,0.14166778
0.37549314,0.14004788
0.38279903,0.14824699
0.3700221,0.13357304
0.3783515,0.14499938
0.37687182,0.14231119
0.3790652,0.14503829
0.37939492,0.14501023
0.37814406,0.14237024
0.38017645,0.14322805
0.37531418,0.1386239
0.37801996,0.14390355
0.3841954,0.14591031
0.37644938,0.14130564
0.38218215,0.14670756
0.38391662,0.14752814
0.39183697,0.15845565
0.37828195,0.14060533
0.38677207,0.1498825
0.3773899,0.14031562
0.3737267,0.13687176
0.3817964,0.1429137
0.37973547,0.14238091
0.3723396,0.13390367
0.37911218,0.14223547
0.3762551,0.14242941
0.3839963,0.14922437
0.3781042,0.14334959
0.38029417,0.14052714
0.371442,0.13628606
0.3853619,0.1493486
0.38572213,0.14973392
0.3798368,0.13825671
0.37797594,0.14078611
0.3780273,0.14319463
0.3749447,0.14007095
0.38108858,0.14570223
0.38426608,0.14675163
0.3825843,0.14868142
0.38631165,0.1538425
0.38318875,0.15208
0.3755191,0.14205202
0.38541523,0.15110578
0.37567404,0.13860083
0.379924,0.14469095
0.3868731,0.15551674
0.38922557,0.15288839
0.37326235,0.13783196
0.38060915,0.14912988
0.3765794,0.13937213
0.37556443,0.13992353
0.3828976,0.14503926
0.37517008,0.13933295
0.3775514,0.14073922
0.38543412,0.14942065
0.37938902,0.1423691
0.38718718,0.15217601
0.38382795,0.1486528
0.3752278,0.14324689
0.36710855,0.13484138
0.3799966,0.13876845
0.37989983,0.14315036
0.38191733,0.14634778
0.381334,0.14463775
0.3816164,0.14425029
0.38485897,0.14598498
0.38010332,0.14787453
0.38044077,0.14781918
0.37924874,0.14253347
0.37551326,0.13945432
0.38116407,0.1452822
0.38591632,0.1528282
0.37383148,0.138326
0.37301865,0.13721287
0.37746373,0.13895574
0.3853219,0.15377286
0.3704719,0.13635905
0.38241032,0.15197407
0.3776922,0.14087135
0.37187162,0.13514492
0.38475007,0.15163097
0.38387415,0.14255483
0.38254392,0.14170706
0.37618008,0.14215909
0.38166824,0.14748736
0.37946638,0.13773035
0.37067473,0.13458055
0.37544435,0.14344403
0.37930477,0.14542563
0.38544118,0.15069112
0.37519696,0.14520986
0.3759351,0.14336704
0.37905058,0.1419222
0.37387863,0.1402668
0.37289876,0.13800116
0.37525597,0.13599084
0.38793537,0.15032044
0.37280062,0.13794099
0.3762069,0.13994758
0.38052145,0.14990307
0.37850454,0.14373522
0.3818825,0.14654046
0.3782268,0.14181887
0.3812837,0.14831516
0.38468862,0.15219285
0.37725934,0.14227688
0.3798039,0.14127336
0.37830552,0.14618379
0.38257027,0.14912657
0.38006872,0.14346269
0.37653732,0.14139514
0.3765873,0.13759694
0.3833181,0.14876015
0.3800027,0.14086568
0.37546086,0.1406856
0.37677118,0.14164163
0.3828767,0.14683302
0.3827815,0.1453414
0.38162977,0.14733803
0.37159654,0.13535917
0.3800561,0.14460315
0.38363007,0.14999959
0.38139567,0.14737175
0.37382698,0.13518822
0.3700888,0.13590607
0.37623772,0.14614634
0.37935495,0.14402351
0.38238794,0.1495283
0.37617525,0.14263785
0.37851438,0.14041305
0.381851,0.1506623
0.37909377,0.14505073
0.3694286,0.13415834
0.38009778,0.14724189
0.38369602,0.14648984
0.3810645,0.14481257
0.3901894,0.15511772
0.38042644,0.14605038
0.367179,0.1335156
0.37989333,0.14344184
0.37785417,0.14313969
0.3819976,0.14262132
0.37939373,0.14191315
0.37766078,0.14586592
0.38039663,0.14572133
0.37538156,0.14129916
0.3794262,0.14271891
0.37754816,0.14070055
0.38229427,0.14810888
0.37426946,0.1386703
0.37953925,0.14489831
0.3811138,0.1423928
0.37162837,0.13818255
0.3740305,0.13383932
0.3798972,0.14355707
0.37885964,0.14428534
0.37312502,0.13288887
0.37456685,0.13808456
0.37898043,0.14650871
0.37928495,0.14594619
0.37446645,0.13918218
0.37682313,0.13599464
0.38582587,0.1492915
0.3814236,0.14491348
0.3851102,0.15295164
0.375245,0.13665205
0.37724942,0.13983738
0.37927297,0.14076576
0.37980708,0.14568791
0.38158473,0.14536323
0.3771941,0.14113209
0.381066,0.14555588
0.3825059,0.14933887
0.38474232,0.14818344
0.38419572,0.15078646
0.37862608,0.1428404
0.37248492,0.1361881
0.3767442,0.14352481
0.3804116,0.14584242
0.36860186,0.13429932
0.380253,0.14333573
0.37802538,0.142855
0.38156766,0.14618473
0.38005355,0.14433154
0.38404977,0.14772388
0.37498996,0.13939616
0.37841046,0.14153942
0.37419298,0.1394702
0.3789937,0.14148462
0.37654936,0.1429367
0.37144032,0.13939373
0.38030145,0.14769411
0.37591863,0.14114441
0.37312108,0.13757418
0.37706718,0.13852507
0.37955666,0.1468947
0.38798672,0.14999762
0.37442878,0.13926587
0.38103056,0.14746748
0.37407777,0.1345156
0.37858796,0.14562997
0.376675,0.14248137
0.37559777,0.14277089
0.38558158,0.15198186
0.37855345,0.14234443
0.38215616,0.15126261
0.3729554,0.13597424
0.38445705,0.147539
0.3809267,0.14399642
0.37489262,0.13389367
0.38111123,0.14906195
0.3768407,0.14011554
0.38490018,0.1528042
0.37820104,0.1425101
0.38827208,0.15464035
0.37206283,0.13600108
0.3762908,0.1397901
0.38009632,0.14475714
0.38045084,0.14663689
0.38473278,0.14478861
0.37383127,0.13814728
0.3700008,0.13358228
0.38247752,0.14956343
0.38011566,0.15080848
0.38274264,0.1449751
0.3781997,0.14227982
0.3895543,0.15232542
0.38146463,0.14417712
0.3795528,0.14634171
0.3817345,0.14414826
0.37262443,0.14070508
0.38529584,0.1510804
0.37560233,0.14202873
0.37488097,0.13832678
0.3737327,0.14222214
0.3781582,0.14264914
0.37215096,0.1331667
0.3801792,0.14587152
0.39073882,0.15384173
0.37773523,0.14176723
0.38520908,0.15166953
0.37786368,0.1453373
0.39025372,0.15017049
0.37839112,0.14471424
0.38304532,0.14776212
0.37778127,0.14097418
0.36762646,0.12958476
0.3766153,0.1399943
0.3874104,0.15278311
0.3732575,0.1354082
0.383788,0.15053299
0.3705563,0.13312851
0.37538904,0.14268453
0.37247914,0.1376125
0.3754061,0.14061548
0.38808143,0.15398292
0.38592267,0.14819048
0.37587425,0.14022264
0.38254604,0.14590035
0.37935862,0.14288709
0.37869295,0.14373055
0.37742525,0.14314783
0.38360462,0.14851765
0.3721381,0.13363414
0.3814493,0.14639151
0.38337958,0.14789209
0.38423365,0.15203106
0.37964496,0.14461549
0.38161168,0.14303188
0.38018894,0.14249538
0.37820712,0.14379743
0.37924537,0.14253612
0.38298303,0.14859134
0.38052556,0.1432606
0.38399154,0.1476055
0.3761935,0.13777396
0.38695672,0.14665326
0.37716025,0.13428254
0.37128302,0.13693908
0.3731644,0.13759668
0.37549365,0.14272213
0.38383397,0.14658317
0.3866988,0.14991443
0.3770999,0.14159606
0.3752196,0.1408723
0.37739357,0.1434075
0.37341544,0.13445374
0.38156044,0.1477922
0.38444802,0.14769071
0.37729067,0.14466216
0.38319713,0.14822307
0.38015193,0.14378326
0.3723317,0.13238016
0.38272044,0.14889807
0.3832986,0.14469242
0.3741425,0.14115539
0.3816531,0.14831181
0.37480083,0.1394609
0.38150048,0.15071309
0.37613696,0.13795148
0.38222936,0.14534497
0.3849813,0.14634013
0.3740985,0.1347037
0.3791959,0.14532094
0.38648906,0.14948553
0.3821566,0.14722513
0.383367,0.14636227
0.37834206,0.14152841
0.3797464,0.14138663
0.38642883,0.14893566
0.37959716,0.14491124
0.3831962,0.14939776
0.38504982,0.15402587
0.37717015,0.13786274
0.38112622,0.1436037
0.37797865,0.14122708
0.38847977,0.15282674
0.38390478,0.1473806
0.39152795,0.15558253
