parameter_1,parameter_2
-7.053513,7.267516
-7.72563,9.898435
-7.3929286,8.622298
-6.913929,7.619912
-6.7999454,7.7113876
-6.793918,7.8438272
-6.724596,7.3826146
-6.5131297,7.7076
-8.151195,9.055715
-7.750597,6.204667
-7.7705736,7.692554
-6.862131,7.894397
-7.9366984,6.670523
-4.096344,7.324004
-5.760128,8.38517
-8.62337,6.8505635
-6.843903,7.875507
-6.8321824,7.5841055
-6.6926427,7.8548265
-5.619669,8.701731
-6.167864,8.090767
-6.7750425,7.925652
-7.0134883,7.844088
-6.8786235,7.8883104
-7.0031013,7.781287
-5.839774,7.5057883
-6.0750504,8.166306
-6.9034204,7.8223686
-6.52713,7.891808
-6.7134056,7.8015733
-6.763773,7.9640665
-6.935026,7.682615
-6.6355333,7.942854
-4.8391595,8.139769
-6.8843455,7.8468437
-6.48138,9.046864
-6.740489,7.744687
-7.5172915,5.801896
-6.917618,7.93425
-6.8505425,7.8009205
-6.19808,9.21392
-6.8316636,7.9110637
-6.8194175,7.689083
-6.9119687,7.973342
-6.518198,7.8918843
-6.7662606,7.9207845
-7.3468537,6.828669
-6.7765746,7.859255
-5.545641,8.441414
-6.5849266,7.7871065
-3.9796083,9.459872
-6.841764,5.9724092
-7.482803,7.63019
-6.638913,7.9870543
-6.9148455,7.8919163
-5.46745,6.372978
-6.686693,7.7771173
-6.384928,8.496329
-6.8247533,7.7982035
-8.8305855,8.905782
-6.7218328,8.015644
-7.6741824,6.855036
-6.87412,7.8316593
-6.6952734,7.857697
-7.0047555,7.774882
-7.157078,6.512512
-5.9064274,7.397782
-6.2757754,7.0766582
-6.643265,8.020016
-7.0130563,9.999085
-6.8258142,7.8104415
-7.5371027,8.08348
-8.618677,7.1603703
-5.315702,7.35406
-6.7357583,7.758916
-5.742904,7.7930994
-6.1586347,7.49897
-6.753155,9.69798
-6.855286,7.66383
-6.7924085,7.9539313
-6.7701955,9.395905
-6.726819,7.790282
-6.8655457,7.8683777
-6.9127946,7.900658
-6.9039273,7.7050223
-8.271049,8.422637
-7.968376,8.648104
-6.806131,7.7904468
-6.864315,7.937806
-6.7784534,7.815625
-6.816138,7.860825
-8.118275,7.5575314
-5.675414,6.150997
-6.6577487,7.6598544
-6.9170985,7.514547
-5.833874,7.5060782
-6.0566363,9.180026
-9.7948265,8.901867
-6.915672,7.8393264
-7.9345245,6.970463
-6.9028764,7.8975835
-6.052746,8.032482
-6.892279,7.7846646
-8.061428,7.209527
-6.888231,7.96705
-6.749504,7.597835
-6.6873636,8.0364895
-6.6755342,7.898385
-6.83926,7.8717866
-5.941879,7.555987
-6.945635,6.078041
-8.748271,7.515231
-6.7911553,7.7969103
-6.959073,7.950607
-6.741833,7.8987713
-6.3592706,9.287817
-6.943204,6.7146387
-5.814546,8.320333
-6.7416954,7.8991947
-6.779436,7.7550282
-6.7933917,7.782092
-7.058827,7.266146
-6.7198467,7.7824306
-5.6210136,7.519885
-6.765609,8.33713
-4.582635,7.867183
-6.4753976,5.375892
-6.73691,7.935218
-6.7415333,7.9472227
-6.975707,7.644644
-6.5933414,7.6428666
-6.8579683,7.8333154
-6.833135,7.6810403
-6.451517,8.621648
-7.4375215,8.338841
-6.2985463,7.523698
-6.3756814,7.9824243
-6.13565,5.7115865
-7.3686304,7.8418527
-6.781382,7.7900753
-6.2683597,8.151934
-6.8729343,7.8234673
-7.332356,8.145982
-6.3753023,7.548813
-6.912996,7.7873726
-6.864246,7.9019213
-7.814087,5.88021
-6.7454104,7.794477
-6.733003,7.7880607
-6.847738,7.8061457
-5.9593105,7.9907947
-5.6342974,7.9024506
-6.8428593,7.7499814
-7.142022,9.306131
-6.7530727,7.757146
-6.697532,7.818738
-6.6820426,7.786764
-6.821642,7.8202186
-6.7004585,7.643934
-6.882505,8.013182
-6.2537756,8.320397
-6.716268,7.7768526
-6.749316,7.743582
-6.717418,7.847448
-6.0457,6.9911165
-6.842488,7.8372006
-6.893411,6.9266863
-6.5113096,6.731637
-6.256714,6.791547
-6.6335244,7.942321
-7.111485,6.917446
-6.772993,7.9318285
-6.4933267,7.1949463
-6.8418627,7.9456825
-7.258174,6.893665
-6.6570773,7.833298
-6.8345203,7.82929
-6.8004327,7.916149
-6.792965,7.817902
-6.4387975,7.307857
-6.659404,7.920712
-6.773126,7.7579365
-6.9804087,7.6087966
-6.944439,7.6711836
-5.723758,8.623067
-6.8200846,8.09038
-6.840285,7.9549246
-6.811662,7.851942
-6.7732377,7.687335
-8.467902,8.123798
-5.9136496,7.1495514
-7.641196,9.696147
-7.5634623,8.179138
-6.927193,8.904941
-8.8913,8.119861
-7.1417403,7.9537754
-8.892708,8.073029
-6.59793,9.146601
-8.030198,6.48532
-6.816468,7.884956
-6.930106,7.62345
-5.812252,5.6273108
-8.213678,6.21221
-6.853247,7.9260764
-5.754823,7.0873637
-6.7229695,8.036347
-6.0820527,8.023211
-7.5263557,7.508902
-5.1850357,7.404668
-8.1109915,6.1250677
-6.695419,8.344002
-6.8380265,8.188727
-6.774867,7.8635454
-7.4147263,8.442678
-6.7717843,7.8965516
-5.766488,8.062638
-9.361108,7.8309355
-6.8742847,7.8757153
-6.6508923,7.794965
-3.9354231,7.2511826
-6.961795,7.8706245
-7.7320557,9.264083
-6.815604,7.8167725
-6.7374773,7.6599746
-7.8026996,8.591173
-6.996109,8.02237
-6.6849546,9.736962
-6.822792,7.9351807
-8.693306,7.372215
-6.3500757,8.476404
-6.81409,7.7695584
-6.7930865,7.905454
-5.1773677,8.151566
-6.8922524,7.6220226
-6.593628,7.864541
-5.364418,5.318303
-5.7649593,6.3335285
-7.276238,7.7885466
-8.534781,6.9497223
-7.5559764,6.788231
-6.9084644,7.809347
-7.5445924,7.3250875
-7.236094,9.018284
-7.4751062,9.055273
-6.838431,7.883965
-6.792416,7.74677
-6.6727257,7.383534
-6.9409204,7.789452
-6.8121758,7.735292
-6.9051,8.207789
-6.2972136,7.3594685
-7.9582047,7.3851256
-5.68769,7.6263995
-6.7907095,7.867983
-6.927122,8.352355
-7.433357,8.435622
-7.660305,7.437182
-6.8174963,7.6052856
-7.494331,8.166705
-7.043535,7.8486567
-6.7169724,7.8506913
-7.977249,4.825334
-6.756002,7.8245497
-5.1448517,8.219499
-5.74473,7.3485804
-6.8504133,7.957254
-6.528362,8.438128
-6.7827425,7.780861
-7.476689,6.2289667
-6.7453175,7.833807
-4.865361,9.939466
-6.7348504,8.876784
-4.1533575,8.465427
-6.725673,7.8251
-6.8311954,7.8502593
-6.707253,7.8447175
-6.6806026,7.847023
-6.9430594,7.8542995
-5.770176,7.973181
-7.1835027,7.789224
-6.7052636,7.637398
-6.3327317,8.064009
-6.5467305,8.099951
-6.872367,7.891699
-6.790938,7.889726
-7.346695,8.08399
-6.9566264,8.86511
-4.6055326,6.2496195
-6.967366,7.775339
-7.27412,7.2448983
-6.588574,7.311817
-6.8503165,7.9519963
-6.950255,7.7816257
-5.8549633,9.088597
-6.929851,7.805497
-6.6493435,7.9674807
-6.5929413,7.7836447
-7.3801923,8.724005
-6.8317876,7.822146
-6.9173727,7.8641443
-7.070878,8.388568
-6.7808876,7.719573
-6.1619506,7.713037
-6.824146,6.9934616
-6.8408375,7.8540883
-4.7263784,6.56397
-4.4999456,7.8293524
-6.899088,7.8953676
-6.8652062,7.7758384
-6.8701277,7.562804
-6.907359,7.6995234
-5.076855,8.513179
-7.6215386,6.849368
-6.7979383,7.652084
-6.4610605,6.508272
-6.745435,7.782297
-8.743421,5.6111007
-6.878824,7.8422008
-6.861113,7.777196
-6.707173,7.714056
-7.231768,8.182175
-8.2392645,9.199357
-7.6887574,6.3559175
-6.87223,7.957042
-6.7785597,7.9151373
-6.7501216,7.774689
-6.879226,7.8425756
-6.9878225,7.9874554
