$\alpha$,$\beta$,$\gamma$,$\delta$
0.72477794,0.022826381,0.25106573,0.106875755
0.7542281,0.024090255,0.246239,0.101824515
0.74484295,0.02308289,0.24738409,0.10253447
0.74242204,0.021750577,0.2500335,0.10268797
0.7276418,0.021003585,0.25294092,0.10536661
0.73270184,0.023419866,0.2494451,0.10616089
0.7500749,0.023096763,0.24702898,0.10148031
0.773743,0.025351504,0.24458578,0.100659914
0.75358605,0.021972913,0.24785349,0.101112306
0.75750846,0.022828037,0.24667023,0.10051262
0.7324913,0.02424204,0.24839966,0.10563505
0.76472914,0.02377242,0.24459194,0.09946283
0.7586048,0.023940517,0.2455741,0.1013757
0.705001,0.021564431,0.25177145,0.10799085
0.7454143,0.023713278,0.24781378,0.10347155
0.7340362,0.022960467,0.24866651,0.10437082
0.7385252,0.022051042,0.2502788,0.1040912
0.761937,0.024294259,0.24436656,0.1004448
0.75713813,0.022778291,0.24869473,0.10199413
0.7382058,0.023572613,0.24845614,0.10426663
0.73897,0.023708183,0.2462177,0.103539266
0.7557293,0.022417715,0.24693759,0.100751035
0.76268333,0.02442424,0.24753238,0.10240026
0.75862074,0.02294944,0.24782495,0.10143861
0.7288715,0.021308484,0.25106552,0.10534745
0.75592184,0.023457235,0.24655026,0.10177614
0.7309267,0.022348292,0.24970795,0.104781605
0.75599873,0.022991566,0.24835628,0.10225159
0.7322167,0.022446029,0.24789217,0.10386684
0.7314051,0.021222511,0.25137404,0.10431782
0.7453157,0.021739399,0.24816765,0.1022726
0.7103706,0.021741431,0.25142443,0.10736235
0.7477025,0.023587186,0.2465677,0.10203365
0.762363,0.024311317,0.24443716,0.09957715
0.7203537,0.02254637,0.2516799,0.10656742
0.74695194,0.023380527,0.2482924,0.10356825
0.74723107,0.02467359,0.24541876,0.102237396
0.7421959,0.022507526,0.24787131,0.102333434
0.7382556,0.021376925,0.25274152,0.10559073
0.7569183,0.022453554,0.24624722,0.10038133
0.7551827,0.023617573,0.24690653,0.10175671
0.74655133,0.02276963,0.248847,0.10305776
0.7279735,0.022547282,0.24969622,0.10531648
0.7594668,0.024223559,0.24632967,0.10153518
0.7290835,0.022882184,0.24973802,0.105167136
0.76877975,0.024924915,0.24457622,0.100115
0.70958894,0.022778926,0.24883151,0.10676983
0.7724755,0.024415432,0.2446542,0.09968587
0.742123,0.022258548,0.25091136,0.104806215
0.74060017,0.022276668,0.24884169,0.102708854
0.74780136,0.022575459,0.24924806,0.102988094
0.746274,0.02421746,0.24548146,0.10217475
0.7383235,0.022959838,0.24793644,0.103782676
0.7223859,0.022915486,0.24980254,0.10610396
0.73110926,0.022998407,0.24852501,0.10492398
0.7661901,0.023248328,0.2484169,0.10153603
0.7660867,0.023341846,0.24469712,0.09894568
0.7516133,0.023575367,0.24641718,0.10176915
0.74785906,0.02171486,0.24892426,0.102293305
0.73866546,0.022578796,0.25129923,0.106021315
0.74980664,0.02383441,0.24627535,0.1028822
0.73279643,0.023350056,0.24577026,0.103501745
0.75067234,0.024346177,0.24514835,0.10145348
0.77756613,0.02551758,0.24107608,0.09826296
0.7555277,0.02461318,0.24469684,0.10152704
