$\alpha$,$\beta$,$\gamma$,$\delta$
1.082096,0.031687945,1.003373,0.06743447
1.069718,0.03047955,1.0168176,0.07047365
1.1015168,0.029358106,1.0118474,0.06799447
1.0718288,0.030098112,1.02147,0.07085814
1.1075587,0.03196997,0.9919031,0.0667676
1.0560504,0.02595235,1.0461929,0.071453385
1.0767835,0.027180776,1.0354142,0.0696277
1.0584048,0.028717259,1.0306139,0.07025174
1.0949602,0.030758055,1.0011159,0.065437675
1.0968388,0.029567704,1.0140674,0.06884518
1.1013929,0.029956363,1.0065639,0.06775052
1.0824735,0.029299349,1.0184315,0.06898037
1.1015104,0.030090515,1.006994,0.06664392
1.060308,0.025807714,1.0471298,0.07300932
1.055958,0.028009074,1.0389229,0.072031915
1.0949959,0.029518861,1.0135026,0.068982445
1.0763502,0.02777373,1.0292103,0.069246605
1.0934502,0.029793553,1.0138535,0.06674388
1.0942523,0.033055395,0.99357206,0.06824731
1.0976735,0.029834773,1.0112822,0.067194186
1.1127731,0.028994596,1.0065604,0.06557508
1.0799128,0.03135158,1.0098403,0.06918764
1.0833689,0.027794518,1.0240915,0.069304004
1.1226859,0.031720594,0.9924654,0.06591785
1.0558187,0.025809621,1.0509789,0.070782006
1.0935745,0.030488243,1.0087298,0.06844702
1.1097138,0.03214139,0.99049157,0.06522977
1.1110833,0.028714329,1.0133415,0.068813644
1.0378157,0.026298136,1.050723,0.0717653
1.1122622,0.03314323,0.9901239,0.06745526
1.088768,0.029377978,1.013708,0.06922972
1.0941496,0.028545504,1.0218072,0.06768086
1.0667067,0.029727181,1.0226268,0.07160935
1.0916477,0.029832475,1.014591,0.06919053
1.0823952,0.027855856,1.0274459,0.0685521
1.0784488,0.026544904,1.0398897,0.07064348
1.1124512,0.03153862,0.99258864,0.06645809
1.0717436,0.02764418,1.0332528,0.070056416
1.050876,0.0280165,1.0422173,0.073360614
1.0525135,0.02630191,1.048478,0.07192373
1.0913687,0.028663091,1.0168146,0.068818256
1.0806282,0.027377542,1.0328511,0.069230475
1.1101031,0.032861542,0.990556,0.06592456
1.0653386,0.029398108,1.0235178,0.070836365
1.1017133,0.028107973,1.0164151,0.067616984
1.0739921,0.029339025,1.0194691,0.07071511
1.1143731,0.030923836,0.9957525,0.06530292
1.0831352,0.030474516,1.0123717,0.0685553
1.0841073,0.026364392,1.0318584,0.06885221
1.0870261,0.032338206,1.001008,0.06942799
1.0947552,0.032681383,0.9963737,0.06784485
1.0673286,0.02584347,1.0448165,0.070611075
1.0863453,0.030087559,1.0101506,0.067187585
1.0663352,0.029396636,1.0256348,0.07043705
1.0778822,0.02887127,1.0247465,0.07096029
1.0788083,0.02869085,1.0269855,0.0693611
1.0568311,0.025489178,1.0583466,0.07366236
1.1045531,0.028592177,1.0133066,0.067172304
1.099217,0.030508429,1.0035872,0.06837581
1.0873501,0.02780456,1.0285777,0.06845207
1.0772982,0.028246943,1.0237306,0.06874877
1.0834738,0.02923778,1.0141792,0.06789301
1.074405,0.029717077,1.014915,0.06867546
1.0682458,0.029921439,1.0216496,0.07026826
1.0820831,0.029625423,1.0172725,0.06899572
1.0824376,0.026464682,1.0334029,0.06806861
1.0668691,0.026090395,1.0453918,0.072377264
1.0890459,0.027142756,1.0272129,0.06804334
1.1231074,0.033972267,0.9801119,0.06733939
1.0590831,0.027511995,1.03875,0.07163501
1.0969166,0.02924637,1.0139893,0.06850234
1.0509604,0.028301673,1.0365305,0.0721118
1.0783246,0.030233324,1.0156636,0.06940073
1.0926387,0.0305333,1.0088474,0.0684791
1.0856863,0.029336339,1.0125067,0.06690296
1.1076022,0.030901534,0.9973167,0.066100545
1.0598656,0.027289871,1.0404756,0.07096479
1.0908508,0.030754454,1.0088366,0.069702715
1.0988369,0.030706508,1.0037764,0.067133784
1.0957875,0.029849287,1.0108339,0.06950275
1.0446063,0.025867628,1.0617388,0.075387776
1.0826782,0.029200496,1.0186137,0.06852022
1.1091745,0.03009504,1.0051963,0.06588369
1.0855066,0.030518556,1.0121907,0.069796935
1.0629783,0.028225062,1.0337074,0.07132399
1.0929779,0.03137076,1.0040579,0.067829505
1.0611228,0.027565833,1.0345552,0.0705782
