$\alpha$,$\beta$,$\gamma$,$\delta$
0.26577875,0.13238738,0.8147213,0.03611263
0.24137549,0.11807913,0.87911797,0.038549535
0.178204,0.09627516,1.1310389,0.04790918
0.21093595,0.112519555,0.9654261,0.04225667
0.21897285,0.11726442,0.96264666,0.041794088
0.20881937,0.10946065,1.007161,0.044257216
0.23211938,0.123288035,0.87783337,0.039480142
0.22581469,0.11543383,0.9077193,0.040081773
0.19052966,0.09422811,1.1015455,0.046751067
0.23623604,0.12170727,0.90696263,0.04032372
0.22517622,0.11620055,0.93449956,0.041370664
0.2623116,0.13050938,0.8329026,0.03669936
0.2388164,0.122516684,0.8476707,0.038837854
0.20022285,0.10547376,1.0450287,0.046104655
0.23154804,0.11839148,0.9010655,0.039792683
0.20715176,0.10693961,0.98455834,0.04289048
0.23915932,0.12709706,0.8617943,0.038349997
0.2047351,0.112318024,1.0147524,0.042835187
0.21903548,0.11805926,0.94093883,0.041110888
0.2219708,0.11733808,0.92396015,0.040354937
0.22651649,0.12026481,0.8939485,0.038958974
0.21082805,0.107564144,0.99438673,0.04262343
0.25857773,0.12989827,0.83387065,0.03633047
0.20453906,0.103748366,1.0404726,0.044611074
0.21310262,0.117624424,0.97814685,0.041857567
0.21173607,0.11476474,0.9825946,0.041781843
0.20850383,0.10893028,1.0123136,0.043082833
0.21829554,0.11973935,0.96558386,0.041095942
0.21293756,0.11193406,0.9727554,0.04241794
0.19273609,0.099230945,1.0666026,0.045986827
0.24601285,0.12418193,0.8554033,0.03868109
0.24234569,0.12740634,0.8487967,0.037825145
0.22846505,0.1286787,0.9123068,0.039564583
0.2038256,0.10449225,0.9785484,0.04336269
0.20307757,0.10668594,1.0085324,0.04413909
0.24375829,0.12513049,0.8556395,0.03706069
0.20915745,0.1090883,0.95634913,0.0426177
0.19384262,0.0935142,1.1026274,0.04705071
0.22379816,0.12086138,0.9406283,0.04054237
0.1785568,0.08599836,1.1426152,0.048771035
0.22860427,0.12029232,0.9120718,0.0407386
0.20703042,0.10751623,0.991328,0.04303799
0.21822935,0.119067624,0.9025015,0.041963696
0.25107083,0.1296386,0.83947706,0.037849583
0.21521063,0.111344285,0.9601622,0.04159297
0.21992986,0.11130304,0.9508959,0.041882455
0.22296791,0.11449988,0.9450058,0.040838115
0.21186379,0.10984695,0.9825103,0.04203841
0.19905023,0.10197091,0.99572116,0.04466338
0.1935989,0.10043749,1.0500293,0.046385292
0.2516706,0.13347219,0.8454815,0.037545517
0.21620253,0.11419647,0.95266783,0.04211894
0.21481736,0.10466962,0.971351,0.0426248
0.24237412,0.13992213,0.8532496,0.037602652
0.22450456,0.1151744,0.9479459,0.04175184
0.21296407,0.11185422,0.98964244,0.04216895
0.17425816,0.093733795,1.1804473,0.049321737
0.24446854,0.13043961,0.8487083,0.038186267
0.20609254,0.11607251,0.9928486,0.043242514
0.17720093,0.08820787,1.1718287,0.0503792
0.21076097,0.10960815,0.9687475,0.042124774
0.20728816,0.1055714,0.9918504,0.043708537
0.17734516,0.08738792,1.1892463,0.049892373
0.24009775,0.12761657,0.87607336,0.038564555
0.1859873,0.091920055,1.1425457,0.049395595
0.22992504,0.11743979,0.88968545,0.039462265
0.21639405,0.11609125,0.9545439,0.04072479
0.23010193,0.12113873,0.9424523,0.04113941
0.2240134,0.11435417,0.9737787,0.041976202
0.2157897,0.110182814,0.9415515,0.041350584
0.21465443,0.110333495,0.9556252,0.040786184
0.18491396,0.09896564,1.1043134,0.04782807
0.1938355,0.09878923,1.0833691,0.04529872
0.22484958,0.11840085,0.92419195,0.041078497
0.22925968,0.12114915,0.89275384,0.03915987
0.20386861,0.10836238,1.0169083,0.043821063
0.24208218,0.12980542,0.8713967,0.03872406
0.19782211,0.107889846,1.0347794,0.04498601
0.18332846,0.097259365,1.1284481,0.048202112
0.20638022,0.106919385,1.0229849,0.0436804
0.19085564,0.09927025,1.0517286,0.044942904
0.2253412,0.1111983,0.93810225,0.040865134
0.2412624,0.121739045,0.8851088,0.039329518
0.21183226,0.11023939,0.9631786,0.041363057
0.22431087,0.110772066,0.909731,0.04035995
0.23612475,0.1202405,0.86295426,0.03899887
0.19946943,0.10546121,1.0318351,0.044329703
0.23924801,0.12264621,0.849964,0.03789098
0.20781592,0.10431718,1.0384122,0.044290308
0.20529726,0.10384661,1.0056473,0.043040566
0.1873035,0.09996801,1.1210785,0.04846529
0.20126228,0.09893884,1.0295862,0.04529453
0.20166443,0.10066764,1.0538571,0.043185394
0.23239568,0.12995328,0.8863847,0.038424704
0.20892131,0.107989386,0.99869245,0.0437295
0.19861135,0.10370707,1.0235118,0.044161037
0.20613994,0.10733371,1.0253326,0.044718105
0.2052839,0.10517571,1.0188924,0.04306637
0.22101401,0.12106447,0.94377387,0.040944714
0.17454745,0.096035846,1.1498474,0.048826557
0.22512653,0.11623078,0.9400067,0.041033752
0.21935292,0.1078244,0.978187,0.04213313
0.20121337,0.10826123,1.0173799,0.043989133
0.22706442,0.119642586,0.905262,0.03973815
0.17995441,0.08908435,1.147714,0.049280446
0.26890558,0.14290753,0.7807761,0.03418287
0.23416197,0.11869066,0.8963887,0.04000698
0.25232667,0.12762639,0.8290556,0.03739645
0.21765445,0.11238119,0.9722179,0.041676033
0.21846747,0.10864158,0.9564261,0.043304324
0.21933176,0.113921896,0.9531096,0.041357566
0.22634873,0.12333652,0.9311444,0.041340746
0.21491313,0.11333065,0.9670769,0.0432704
0.26024246,0.13487682,0.7980119,0.036291797
0.21220887,0.10512211,0.934359,0.041628905
0.21433514,0.115447916,0.9605983,0.04210988
0.20920204,0.10582754,1.0072592,0.04288901
0.23503752,0.11988606,0.8821547,0.040183455
0.2273738,0.12422597,0.8985597,0.041115876
0.21594897,0.112909295,0.99583834,0.0433927
0.2567981,0.13805743,0.8013029,0.036585376
0.19610795,0.103601836,1.0698626,0.04532262
0.23077816,0.12807149,0.8863418,0.03960187
0.2164616,0.1098482,0.91545916,0.040553395
0.25685656,0.13801715,0.7950072,0.036466863
0.2113917,0.10691572,0.9937358,0.042079743
0.21984512,0.114314206,0.93119925,0.041282546
