parameter_1,parameter_2,parameter_3
1.1430929,2.8049233,-2.0885143
1.768091,1.6176068,-1.6936066
1.6642835,2.0904722,-1.9899449
0.15556073,1.1789995,-0.8629401
1.5272628,2.3929827,-2.0678763
0.28384236,2.982552,-1.9101645
1.5862982,2.3306088,-2.011606
1.6626786,2.194267,-1.9264696
0.8494465,2.6049457,-2.0009613
0.09881249,1.8287376,-1.2605716
0.6448832,2.007975,-1.5007209
0.13056245,2.1480064,-1.4457031
0.18827926,2.9370615,-1.914501
1.7730052,0.8343213,-1.329783
1.2567285,2.203286,-1.8634584
0.85749894,2.1732535,-1.6274371
0.3602446,2.0358737,-1.5313481
0.9490099,2.705998,-1.9897516
0.5371468,1.1698608,-1.0338086
1.2903283,2.2690148,-1.8637612
0.26465213,0.59552836,-0.42151847
2.2879088,1.259531,-1.6697983
0.020425169,1.1281012,-0.6173359
0.47975466,2.386703,-1.659939
2.2546747,2.5934176,-2.4745305
1.5618907,1.0890207,-1.4580433
2.6617892,2.629101,-2.7079074
2.9054835,2.7971513,-2.9452167
0.15271553,2.845521,-1.7617904
0.89337987,2.8924541,-2.1089857
0.2547053,2.1656091,-1.355901
2.512357,0.41313687,-1.4929382
1.6128677,2.1868818,-1.9132069
1.8793495,2.7665496,-2.412023
1.3829309,1.4866593,-1.4827441
2.6203527,1.5939752,-2.211454
2.0985692,1.9943824,-2.1662683
2.5663497,2.368933,-2.45508
1.3540891,0.34712908,-0.9316704
1.4589754,1.8817178,-1.6390768
0.13707308,1.9777544,-1.2678679
1.6810153,2.051094,-2.0160384
0.91270214,2.8270385,-2.0385325
1.8130443,1.4829613,-1.7968192
0.30124125,2.5376432,-1.582926
0.26205605,1.6462951,-1.0531226
2.128955,2.925891,-2.6664548
1.1694953,2.9663997,-2.223964
1.728698,1.8781441,-1.9718674
2.0536752,1.7110338,-1.9118779
1.7467752,2.9921153,-2.4939106
2.02027,2.7923775,-2.41881
0.30977008,2.3205147,-1.40902
0.4360184,2.4058602,-1.5215753
2.048293,1.6672621,-1.8573202
2.0659277,2.8585048,-2.6162043
2.9036188,2.6023598,-2.7658052
1.2600094,2.1781862,-1.7435458
0.16009454,2.9443154,-1.9684827
1.0919367,2.9578552,-2.2205818
1.4337978,2.482262,-2.0536897
2.5145173,1.7646215,-2.052984
1.5869226,1.8066117,-1.888801
0.25064176,1.5684476,-1.1475236
0.20072989,2.5358577,-1.5834297
1.3814718,2.7548723,-2.2564933
1.6725638,2.9369693,-2.5747414
0.07472883,1.5499885,-1.0489719
1.1030436,2.6992338,-2.0380769
1.4522069,2.2252803,-2.0158167
1.0360504,2.4512658,-1.8165194
0.8956732,2.228453,-1.7870891
1.9984314,2.3832965,-2.1789212
1.914758,2.3579583,-2.2504704
2.2304778,2.6384726,-2.6075008
0.97106314,2.6048188,-2.055401
0.49006692,2.3284078,-1.5928586
0.01856963,2.8652737,-1.7725679
2.8763552,1.9654021,-2.4215915
2.784991,1.1820493,-1.8622292
2.2521253,2.5448308,-2.522091
1.4993308,2.5146267,-2.0048063
0.053679243,0.52954525,-0.63410735
0.116671115,2.8150072,-1.7615817
0.32476422,0.7835602,-0.5779956
0.40589407,2.546741,-1.6630708
2.7803001,2.4317381,-2.6084995
0.86317956,2.5638847,-1.9538585
1.8489177,2.2508943,-2.2515817
1.4943091,1.5615898,-1.7359372
1.2539248,1.8804376,-1.7160271
0.4947807,2.5605483,-1.6978775
0.3036814,2.769897,-1.6676528
0.87083316,0.78115207,-0.8460522
1.8120221,2.1220326,-2.0101027
1.9035498,1.9891998,-2.015715
2.0460331,1.9904262,-2.2039213
1.7827492,2.778227,-2.4355679
0.6179735,2.1191838,-1.5206028
1.4957163,2.653021,-2.3006525
1.0429311,2.840521,-2.1167977
2.033928,1.5281066,-1.786694
1.2779683,1.3165637,-1.3414448
1.6139108,2.3685594,-2.1662397
1.9138217,2.1643062,-2.0362537
1.3213037,2.2488937,-1.9119996
0.11353123,2.4017525,-1.4933194
0.41082326,1.5363399,-1.141782
1.0324327,2.7819428,-2.017204
0.53229624,1.7458581,-1.2618936
2.1133738,2.110275,-2.1649432
1.0210737,2.214148,-1.797206
0.71066767,1.2204336,-0.97059584
0.4136758,1.740669,-1.227052
0.5492494,2.450373,-1.7059855
0.627165,2.587269,-1.7772095
2.3913617,2.5623326,-2.4738986
1.4500761,2.0286214,-2.026031
1.2791674,2.1354558,-1.7973521
2.432354,2.1094282,-2.2310114
0.65907913,0.4884785,-0.6442172
0.87659234,2.788075,-1.9724882
1.3023477,0.38442487,-0.83614635
2.8260064,2.6880336,-2.903314
0.32172397,1.2961886,-0.98521125
0.6891228,2.5750928,-1.8203707
1.9349084,2.9129333,-2.3609793
2.3024926,1.6623468,-1.9083997
0.36998567,2.7699397,-1.8584658
0.8220384,2.4141264,-1.8533951
1.9940681,2.044776,-2.0841265
0.49538037,2.2827685,-1.4509587
0.65563345,0.7161898,-0.75159895
0.9732246,2.0707443,-1.7327257
0.5660591,0.35790718,-0.52682984
1.7239953,2.3312168,-2.0456338
1.8252015,2.744593,-2.441265
0.8300086,2.822781,-1.9680089
