parameter_1,parameter_2
-4.671726,-0.3308995
-6.113979,-0.36741558
-5.796442,-1.5122604
-4.784659,-0.27182007
-3.1783624,-1.5291336
-4.929351,0.36455473
-3.7872832,-0.48169848
-4.5459476,-0.24450247
-4.621642,-0.4620519
-5.3890433,1.0663862
-5.096653,-0.94229007
-4.6152215,0.38937095
-4.4610286,-0.28714147
-4.5991616,-0.32271487
-5.204273,-1.8977817
-4.9282975,-0.83021605
-4.050821,-0.91215634
-4.212966,-1.0541695
-5.7009335,0.476548
-7.416762,0.12546119
-4.733968,-0.27072763
-4.372469,-0.3185673
-4.64383,-0.5156977
-4.3693657,-0.42342925
-4.8196163,-0.28091645
-4.7741604,-0.37799
-4.757865,-0.15671712
-4.7199316,-0.5326855
-5.6624413,-0.40181866
-4.6264224,-0.22006172
-4.7216144,-0.4480496
-4.652136,-0.3619198
-4.749519,-0.2735124
-6.002766,-0.5012545
-4.9806204,-2.0959744
-5.8937488,-1.2003934
-3.6264873,1.1380063
-4.6444883,-0.9807136
-5.13829,-0.1937397
-3.1688137,1.2671738
-4.6499133,-0.37096107
-5.6840477,0.10181004
-4.3338704,0.5184554
-4.74137,-0.27715665
-5.150743,1.0299377
-4.6906066,-0.23995294
-4.6815724,-0.42855415
-4.7025633,-0.3803358
-4.7262807,-0.5418704
-4.640212,-0.35164288
-3.7398744,-0.93782544
-4.754466,-0.30633402
-4.7894897,-0.25718978
-4.50514,-0.38233265
-4.841997,-0.22228852
-4.4796333,0.32816628
-2.9887133,0.6954036
-4.8195543,-0.51494575
-4.769285,-0.3121735
-4.0187664,0.5862155
-4.6824207,-0.32236016
-4.649727,-0.22400546
-5.0369973,-0.71692216
-4.8090363,-0.26665387
-3.4233217,0.40201822
-5.4285297,0.64208436
-4.8451676,-0.23510194
-4.495972,-0.971617
-4.701477,-0.53796744
-4.6047673,-0.37612525
-4.7186418,-0.27475128
-4.6511803,-0.3741901
-4.6525455,-0.43589044
-4.0590577,0.16990301
-4.5367036,-0.44116127
-4.799379,-0.20301741
-4.5847807,-0.33671945
-6.160966,-0.42027184
-4.777523,-0.48738894
-4.8299484,-1.0722691
-4.847929,-0.23684262
-2.3199823,-0.08906427
-5.5043,-1.037587
-3.1565807,1.0356678
-4.6950445,-0.33690706
-5.111033,1.916867
-4.708922,-0.33599102
-4.647052,-0.3754291
-4.1247525,-0.04857418
-4.865038,0.78406894
-4.5807314,-0.26335222
-4.6227393,-0.38142842
-4.6181884,-0.36492518
-4.5926795,-0.24798821
-5.3975277,-1.320534
-6.025622,-1.0391418
-5.0650263,-0.88842654
-4.8273096,-0.4599261
-5.481134,0.20860276
-5.260155,-0.52374107
-3.2232876,0.33489075
-4.7943473,-0.3211029
-4.884242,-0.83112264
-5.266714,-1.073738
-4.5918827,-0.36738202
-4.7263885,-1.6663593
-4.513518,-0.38293833
-4.0762377,-1.0681505
-2.9950733,0.06379235
-4.3871565,0.45848575
-6.279921,-0.20244333
-4.692806,-0.4171111
-4.8588862,-0.4529817
-3.6257195,-1.3374288
-4.617781,-0.3546204
-4.4837637,-0.49172717
-4.92547,-0.6169704
-4.687656,-1.1665297
-4.751811,-0.2921918
-4.629821,-0.3360997
-4.8163567,-0.32006502
-4.5407743,-0.32165286
-4.7843246,-0.4440305
-4.597476,-0.33306473
-4.773039,0.7306727
-4.773883,-0.46158245
-4.61738,-0.41211718
-4.0431337,-1.2709867
