$\alpha$,$\beta$,$\gamma$,$\delta$
0.5875443,0.029648537,0.30305192,0.06605143
0.59309113,0.030028623,0.30746198,0.06718752
0.6019646,0.029677603,0.30407992,0.06448781
0.60841197,0.031843346,0.29927912,0.0643248
0.61394733,0.031105882,0.30246764,0.064289
0.6119201,0.030307204,0.30559054,0.0656118
0.6060396,0.031936772,0.2981982,0.06385986
0.5972832,0.030209776,0.30335522,0.06585987
0.58917916,0.030118413,0.30752313,0.06695972
0.59315026,0.028702877,0.30639464,0.06590782
0.5964344,0.027337885,0.3106471,0.06657949
0.6025979,0.029509405,0.30437273,0.06525864
0.57167083,0.0283676,0.31164938,0.06928475
0.5945674,0.029776765,0.30647755,0.06728499
0.5948158,0.03174055,0.30042472,0.06542861
0.5972247,0.02948465,0.30628565,0.0664872
0.6237627,0.031805195,0.30068284,0.06306964
0.5910123,0.030442687,0.3035398,0.06572402
0.6090782,0.030626733,0.30033517,0.06402486
0.62806916,0.0339968,0.30022305,0.063979045
0.63526905,0.032636106,0.2988812,0.06207988
0.5988232,0.030337077,0.30380324,0.065193295
0.6188941,0.030216685,0.30487305,0.06466084
0.6005878,0.03149529,0.29947352,0.06460513
0.5846553,0.03093874,0.302992,0.0670268
0.6055683,0.03110336,0.30414605,0.06551712
0.61081034,0.027707526,0.31072587,0.06518939
0.5772328,0.029198108,0.3088001,0.06796973
0.6015433,0.031238364,0.3015883,0.06529448
0.5851278,0.028559739,0.30827197,0.06704197
0.58699113,0.027956687,0.31061962,0.06717703
0.60007834,0.028611707,0.30797458,0.06594394
0.6012793,0.030361656,0.3070047,0.06615034
0.60645205,0.03099879,0.30166075,0.06472574
0.6123811,0.03256972,0.30118254,0.06536795
0.60961115,0.031436116,0.30213243,0.06493638
0.57855856,0.02705937,0.31323624,0.068188675
0.5876007,0.030495005,0.3061874,0.06737988
0.61556095,0.029488368,0.30475664,0.06381627
0.5952121,0.029533997,0.3046586,0.06533141
0.5977622,0.030397473,0.30505505,0.065489925
0.6126189,0.031007417,0.30369002,0.06454381
0.6022923,0.028939366,0.30746332,0.065579474
0.584182,0.03109487,0.3033215,0.06695453
0.6130717,0.03008583,0.29982126,0.06296994
0.5918288,0.029419178,0.3083225,0.06719018
0.616471,0.032443486,0.29639685,0.06279315
0.5967948,0.03138719,0.3033161,0.065988846
0.6002864,0.030158257,0.30597094,0.06596772
0.58225465,0.030703887,0.3024447,0.0662311
0.6265269,0.03157947,0.29947564,0.062252313
0.62507474,0.033128288,0.29921898,0.06346283
0.5770593,0.027934713,0.31217802,0.06873272
0.61023223,0.03170914,0.30131626,0.06493678
0.5883376,0.030098444,0.306054,0.0669527
0.5798336,0.029989235,0.30533224,0.06735222
0.6056389,0.029237926,0.3026852,0.063813254
0.58952653,0.029341165,0.3070919,0.06654518
0.59542125,0.030191645,0.30722442,0.06689093
0.6235887,0.034529533,0.29756156,0.0635397
0.61195487,0.031381756,0.3029168,0.064610675
0.6112561,0.03175759,0.30042276,0.06451381
0.6029844,0.030685548,0.30185804,0.065429546
0.60592306,0.032081973,0.3026057,0.065571904
0.6148086,0.031799305,0.29900363,0.06359536
0.6040381,0.031278614,0.30309907,0.06537118
0.60886157,0.03073678,0.3037099,0.06507385
0.6004309,0.029938307,0.30047387,0.06411408
0.5931761,0.029384395,0.31010315,0.06747464
0.59162545,0.02893982,0.30683288,0.06642242
