$\alpha$,$\beta$,$\gamma$,$\delta$
1.5723548,0.03196265,1.9134978,0.08367443
1.5131711,0.027687028,1.983387,0.08688772
1.4762416,0.024436396,2.0440328,0.09289809
1.4777669,0.025522156,2.0312548,0.09021642
1.5430473,0.026902266,1.9848865,0.08179713
1.5285162,0.025982125,1.9998827,0.08369087
1.5103414,0.026213383,2.0072038,0.08440921
1.5091035,0.027436495,1.9924693,0.0886104
1.4941537,0.02623805,2.013171,0.08777824
1.5257529,0.026946487,1.9888741,0.08670144
1.5062578,0.026562467,2.0050037,0.08710272
1.4938358,0.026447348,2.0086904,0.08872718
1.4552611,0.023382345,2.0755253,0.09242239
1.5413017,0.029179681,1.9509764,0.085185364
1.538089,0.026251797,1.9959079,0.084468134
1.5336473,0.02783718,1.9715866,0.08489225
1.4871335,0.022936383,2.0620635,0.092072494
1.4697244,0.024992997,2.0438447,0.08797547
1.5378374,0.026650311,1.9917146,0.08360498
1.5094557,0.02704533,1.9971255,0.087630175
1.5272834,0.02705565,1.9879076,0.08865812
1.4965246,0.023996972,2.0423334,0.09028971
1.5594007,0.027973823,1.9546928,0.08079131
1.5231317,0.028460573,1.9748625,0.086148985
1.5088667,0.024846518,2.0252569,0.086328425
1.4999845,0.024715733,2.03652,0.088082574
1.5060757,0.023818573,2.0423384,0.08805706
1.4832023,0.02581639,2.0283298,0.08996033
1.5031823,0.02635793,2.01303,0.089363955
1.491369,0.023745196,2.0507522,0.08711121
1.5488831,0.025933962,1.9953685,0.08332423
1.4803443,0.02443279,2.0483952,0.087812416
1.5114365,0.025530944,2.013099,0.087449014
1.4972361,0.025247417,2.023809,0.088076234
1.4775637,0.02300278,2.067948,0.09195462
1.5687411,0.029456073,1.9388846,0.0813362
1.5436319,0.025338596,2.0019674,0.0854566
1.5505465,0.031156909,1.9310876,0.07860791
1.5029261,0.025680054,2.0125837,0.08842671
1.5361164,0.025173614,2.00472,0.08764289
1.5388604,0.026117237,1.994338,0.08239401
1.5323063,0.028807772,1.9657557,0.08437681
1.5406351,0.025403101,1.9998022,0.08205748
1.5462748,0.025177125,2.0064814,0.08372765
1.5107133,0.025222132,2.0229506,0.08642369
1.5388856,0.024705324,2.0177162,0.083580956
1.5229386,0.025410414,2.0095391,0.08663657
1.4962215,0.025385,2.0320375,0.08913793
1.5335168,0.028850751,1.9668682,0.08446012
1.4952193,0.023506468,2.0502458,0.089579344
1.4953706,0.024000965,2.0467715,0.09184732
1.5248872,0.025896797,2.0010154,0.0849133
1.4804983,0.024094092,2.0559366,0.088788934
1.5504184,0.02618079,1.9851048,0.08005701
1.4885708,0.028493706,1.9910483,0.088985085
1.5283436,0.025853144,2.001004,0.085192755
1.5518651,0.02741393,1.9737394,0.0829361
1.4976125,0.026813636,2.0055528,0.08815991
1.5150964,0.026736189,1.9927398,0.08571365
1.5209128,0.025356635,2.0146165,0.08590458
1.536115,0.02769812,1.974454,0.081938684
1.5516547,0.027702129,1.967285,0.08201336
