parameter_1,parameter_2,parameter_3
1.6368883,0.7538188,-1.3198282
2.1248016,2.9289713,-2.678334
2.6365552,0.5015107,-1.4289483
2.2468674,1.5619481,-1.9793009
1.4393624,0.9046573,-1.302999
0.33257648,2.0188935,-1.3135242
2.974243,1.5821506,-2.1937158
2.7385705,2.4901497,-2.9007986
1.6229597,0.45026308,-0.999757
1.3909912,1.9556556,-1.8513196
2.6311548,2.8502507,-2.8460898
1.3333972,1.556692,-1.3764532
2.69085,1.2975606,-1.9402088
2.0858579,1.4568503,-2.0016096
0.19100946,1.7860372,-1.1482447
0.6279641,1.4430716,-1.2191339
1.7623858,2.7321618,-2.4528863
2.8870354,0.48360562,-1.5841194
2.4475935,0.97087485,-1.739459
1.6050559,2.6816354,-2.4582863
1.8690274,2.50743,-2.33605
2.4586234,1.9562688,-2.3372607
1.9124295,2.0917592,-2.1818469
1.3048016,1.2348232,-1.3894887
1.9586673,0.6361854,-1.3345577
2.9489722,1.1407557,-2.087947
2.0794954,0.42957217,-1.2395597
1.9838156,0.829407,-1.4748552
1.6759115,1.7269353,-1.7578093
2.8263707,0.94548273,-1.9550762
1.8013153,1.2329649,-1.6568614
2.1973553,0.47363046,-1.3004516
1.1012148,0.6716505,-0.9898395
1.0076307,1.8083048,-1.6327555
2.7974439,2.6290665,-2.8201854
0.74230874,1.8136799,-1.4235485
1.2843533,1.570675,-1.5119734
0.4566714,1.6628634,-1.2255012
1.6792824,0.30849898,-0.9645421
2.4688842,2.8465044,-2.7650993
1.5346558,0.9723697,-1.3323257
2.6414793,1.7871951,-2.136129
0.6748562,0.4877017,-0.70748705
2.7911851,2.042164,-2.5281389
0.35783786,0.8994107,-0.6997029
2.078968,1.8122122,-1.9786245
1.1623082,0.17038587,-0.8066028
2.3185399,0.92190796,-1.5921265
2.8883333,0.48655766,-1.5199711
2.2912207,2.8708148,-2.8162704
1.2570091,2.706677,-2.1524272
1.6982037,2.3048172,-2.1995864
2.1559916,0.7049342,-1.4452718
0.5284098,2.8097262,-2.0198753
1.2756453,1.6063056,-1.493187
2.694329,1.5496231,-2.1883223
0.3885476,1.5777862,-1.0701159
1.4971603,2.8440967,-2.4375846
2.359298,2.3470056,-2.5389729
1.2361822,2.1684349,-1.9171983
0.76664114,1.7224385,-1.3660558
1.8865817,1.6517607,-1.8443193
1.2164721,1.2380762,-1.3461949
0.1557512,0.622777,-0.6493388
1.7582949,2.361992,-2.2054725
1.4081762,0.61746925,-1.0211432
1.7908455,2.6369817,-2.3041804
2.581295,1.4847465,-2.0094624
1.3784609,1.7247603,-1.6438708
2.521346,1.185608,-1.8847439
2.6642232,0.99405885,-1.8259101
1.9117515,0.5636842,-1.1711745
2.4071527,0.6248832,-1.4452697
0.017679669,2.5514429,-1.5596489
1.6524577,0.79804665,-1.2697259
1.9079067,1.8229365,-1.9171169
2.5926397,1.326289,-1.9409006
2.6227837,2.761605,-2.845047
2.084948,2.3037016,-2.390289
1.4465733,1.9525198,-1.8636708
1.948146,1.6146088,-1.7897139
2.2664297,2.8666084,-2.7730296
2.3947275,2.939722,-2.7978132
1.4845184,1.6816678,-1.8340971
1.8341619,2.0275524,-2.0059865
1.59459,1.4161278,-1.5549724
2.6460538,1.1739893,-1.9185392
1.6441308,1.7227191,-1.6986
2.4125335,2.590181,-2.5955403
0.14881143,0.3034538,-0.31251237
1.5695548,2.6654093,-2.2020168
1.94877,2.4410481,-2.3639917
0.05940582,2.6819181,-1.6559175
0.5468456,0.096128106,-0.4979522
2.0278795,1.0517478,-1.4997618
0.3713256,1.167803,-0.87496847
0.10350987,2.682947,-1.5571771
0.38874996,0.15497233,-0.43056074
1.1174983,1.5902146,-1.4807425
1.8711743,2.0335295,-1.9973422
1.1645341,2.491557,-2.0818172
1.5476508,0.65078264,-1.1234534
2.8989253,0.8924166,-1.9414229
1.0917189,0.33014342,-0.7937909
0.97861135,0.6832021,-0.95314956
0.92243624,0.25825226,-0.51016283
2.3892815,2.8196151,-2.7465181
1.8921281,0.940262,-1.4815922
2.8922198,2.5097306,-2.7759528
0.28780404,0.3576669,-0.4385211
2.2611976,1.6017286,-1.9486927
1.1957705,1.8416371,-1.5723077
0.17476574,1.1672909,-0.8685189
1.7584878,0.58896387,-1.2322797
2.7087924,1.5905268,-2.179096
2.9630506,0.5427223,-1.7282449
1.5346873,0.44398034,-1.0405113
1.8573985,1.3856672,-1.8271308
1.519578,1.5447967,-1.6039822
