parameter_1,parameter_2,parameter_3,parameter_4,parameter_5
-2.7855017,-2.102648,2.3705964,-1.6299314,-1.9936318
-1.9863725,-1.5659828,-2.9421637,-2.0519712,-2.3623996
-1.2636998,-2.6814394,-2.821954,1.8513463,-2.9696789
-0.50493294,-1.8583602,-2.7145107,1.9584948,-0.78464127
-2.795898,-1.8661323,2.9066153,-1.9088854,-2.9486413
-2.7025084,-2.4494421,-2.8875406,-1.9318624,-2.2084072
-0.35851926,-0.8659214,2.758404,-1.444119,-0.7189002
-0.85781896,-2.76936,2.3177204,1.4807259,-2.71349
-1.1193651,-1.8802677,2.5316622,-1.7325443,-0.98823166
-2.3910506,-2.1779711,2.605085,1.6763308,-2.661124
-1.5281239,-2.6181898,-2.8841045,1.8510289,-2.8076062
-2.947007,-1.7858444,-2.8231695,1.8347616,-2.9460957
-2.3026264,-2.1329048,-2.6947744,-1.7961291,-1.7025629
-2.6755564,-1.6895112,-2.9318838,1.7072041,-2.2524514
-1.1935496,-1.8854308,2.2161818,1.4668446,-1.8017371
-2.3448508,-1.5329883,-2.7804055,-1.7077254,-1.975366
-2.03735,-1.3552752,2.4212158,1.7193183,-1.100957
-0.3947267,-2.656241,2.6587632,-1.6673285,-2.1892972
-0.68975246,-2.7434645,2.6236129,-1.7914487,-2.3874846
-1.945577,-2.0768921,2.6559222,1.6040434,-0.8177664
-2.485286,-1.9232609,2.4711404,-1.5924851,-1.9242704
-2.3264296,-2.4359741,2.3043568,1.6498678,-2.2552898
1.0206193,-2.8873377,-2.9114625,1.7504619,-2.2545104
-0.54259515,-2.7228518,2.974458,1.9336228,-2.874589
-1.5776536,-2.822157,2.7802215,-1.9267985,-2.219306
-2.5296361,-1.7877339,-2.1968992,-1.5077496,-2.193414
-2.3968701,-1.7961103,-2.537126,-1.6028879,-1.614911
-2.8296425,-2.2239661,-2.994789,2.0334866,-2.5902498
-0.8366652,-2.7397041,2.6791897,1.6930455,-2.8015373
-2.094683,-2.810425,2.5182722,1.7514954,-2.5305257
-0.778691,-2.3637419,-2.6504862,1.6329169,-1.3455663
-2.2482615,-2.368339,-2.8368158,-1.917108,-2.9945974
-1.442532,-2.4534514,2.5073292,1.7101939,-1.650129
-1.1069216,-1.9539912,2.5836546,-1.7033683,-1.8338643
-2.341931,-2.2580924,2.329384,-1.5749637,-2.7440047
-2.5257113,-2.5517683,-2.1193879,1.409027,-2.020754
-1.9643804,-2.4968474,-2.6508367,1.7609913,-2.8431246
-2.77606,-1.6522524,-2.8841233,1.8946407,-2.9761477
-2.999476,-1.6084664,2.1983418,1.32446,-1.52318
-1.4240267,-2.7492306,2.4417105,-1.5268092,-2.3232827
-1.148407,-2.7930315,-2.8336763,-1.8457557,-2.9081898
-1.4815465,-2.5804646,2.424957,-1.5584563,-2.1091235
-1.647513,-2.6295147,2.639658,1.6955929,-2.3374724
-1.1873174,-2.8231676,2.7161596,1.8403633,-2.7495668
-1.6021086,-2.8955562,-2.5107496,-1.7214912,-2.88144
-1.0429258,-2.88082,2.7732332,1.8698777,-2.9900987
-2.1721687,-1.8903521,2.819983,-1.7783698,-2.3063717
-2.3016384,-1.6562116,-2.985477,-2.0254693,-2.7583115
-2.5703685,-2.147623,-2.6773028,-1.6680171,-2.9406216
-2.8560107,-2.3556142,-2.290735,-1.5033674,-1.6059456
-0.7611187,-2.4458148,-2.4516447,-1.559785,-2.269844
-0.9633609,-2.8293273,2.825588,1.9537672,-2.257059
-2.9864178,-1.9037238,2.7723346,-1.781254,-2.6160014
-0.8797828,-2.42775,-2.8160496,-1.7600006,-2.6946166
-0.30399418,-2.94689,2.791552,1.784575,-2.921823
-2.4657693,-2.2945035,-2.5799875,-1.651241,-2.644582
-1.8938698,-2.55855,-2.5804067,1.7624997,-2.8414228
-1.8721193,-1.5907899,2.752389,-2.2714987,-0.028487682
-2.694367,-2.5582404,2.5103824,1.6690179,-2.179016
-1.7783643,-2.5573785,2.5913692,-1.6837026,-2.536511
-0.5095798,-2.764615,2.8706937,1.8182477,-2.4669433
-2.7480514,-1.9421202,-2.646589,1.7549452,-2.8949342
-0.18946049,-2.8238072,-2.757084,-1.7861347,-1.552385
-2.3471904,1.115548,2.384476,-2.2162924,-0.5747814
-2.63024,-1.9703026,-2.742647,1.696367,-1.756676
-2.1900415,-1.0255173,2.9912882,-1.9181381,-1.9165912
-0.35170156,-2.4979074,-2.6874793,-1.691243,-1.5814414
-2.6208987,-1.9344325,-2.7383125,-1.7390296,-2.7440543
-1.4677023,-2.7786665,-2.371218,-1.5508134,-2.7697568
