parameter_1,parameter_2
-0.61961615,0.8324058
-0.8496821,0.6092737
-0.6731172,0.8781075
-0.87998444,0.7337826
-0.7434405,0.85752845
-0.6051847,0.76094186
-0.8227551,0.6141113
-0.60981363,0.82557315
-0.5966627,0.76296026
-0.86071134,0.63497424
-0.8599132,0.72169393
-0.8208078,0.615214
-0.85941225,0.72063357
-0.6027982,0.7229861
-0.6840257,0.8706284
-0.6532457,0.86394536
-0.84542894,0.618865
-0.732373,0.87068
-0.6167729,0.81759083
-0.84544134,0.6229061
-0.6027774,0.7824673
-0.7179639,0.8465093
-0.85802555,0.74729264
-0.8564396,0.7458079
-0.87185353,0.6852471
-0.6172828,0.7689164
-0.7295295,0.59859014
-0.60296327,0.83986896
-0.865263,0.6976814
-0.59841627,0.8419247
-0.84472775,0.62311125
-0.65473795,0.85874856
-0.6149579,0.8078488
-0.6510943,0.85478115
-0.7966409,0.57898104
-0.62165433,0.7065974
-0.7838806,0.59719276
-0.8536362,0.6193778
-0.6642745,0.8667664
-0.6244104,0.70513725
-0.6053166,0.74801725
-0.8632354,0.6841561
-0.7595152,0.8463847
-0.73289865,0.61299413
-0.68968534,0.8798053
-0.6174178,0.7099844
-0.8422794,0.74691707
-0.71145767,0.6023193
-0.7033166,0.873547
-0.70156807,0.8653098
-0.8187991,0.5896279
-0.865713,0.73900867
-0.63327885,0.8633146
-0.7189434,0.6042574
-0.8290031,0.6185
-0.7244352,0.59955966
-0.60602736,0.78898895
-0.6126464,0.7183263
-0.63882565,0.847962
-0.6030179,0.8242487
-0.8080039,0.60694873
-0.8609394,0.7024423
-0.8701127,0.7359362
-0.7854957,0.61026174
-0.86776227,0.7041041
-0.6337513,0.8388717
-0.59404165,0.75494534
-0.859894,0.6686509
-0.61394787,0.70375013
-0.75763863,0.8585959
-0.7206218,0.86784077
-0.8666335,0.67592114
-0.73512644,0.8620891
-0.6865663,0.8585058
-0.87813973,0.70432127
-0.8645919,0.70261604
-0.5771871,0.7796909
-0.7587473,0.59297544
-0.8304164,0.6105632
-0.61707926,0.8180592
-0.854144,0.6596757
-0.85513294,0.67099166
-0.6032272,0.8205963
-0.59661156,0.80479866
-0.8429602,0.6282008
-0.7382331,0.59651446
-0.60884607,0.8437232
-0.6598455,0.87031996
-0.8716903,0.6682148
-0.86854565,0.75709367
-0.77067614,0.593887
-0.82435215,0.60610735
-0.62522686,0.85543525
-0.7341864,0.8602438
-0.8545662,0.7549834
-0.6164406,0.7639521
-0.7985635,0.60794187
-0.7099631,0.87958384
