parameter_1,parameter_2,parameter_3,parameter_4,parameter_5
1.4871571,-1.5624195,-2.7878175,-0.51475257,-1.4295195
1.9020815,-1.050185,2.8606691,1.358263,-0.8913059
2.217948,-1.6170971,-2.4965284,0.4376806,-1.115833
1.3990823,-1.4146292,2.796676,-0.5223153,-1.5673158
2.3212137,-1.7917187,2.8037095,0.5770645,-0.92582464
1.06984,-1.2189109,-2.7663624,0.68491685,-0.93536896
0.51330477,-1.5523096,2.9365067,0.6721259,-1.284181
2.7551851,-1.4796776,-2.6413565,-0.5723709,-1.1410743
0.9366144,-1.3222313,2.7700229,0.6105752,-0.8030501
1.4505547,-1.4576741,2.9253643,-0.5094912,-1.3754265
1.8051643,-1.4376559,2.9490347,-0.55630744,-1.2164575
-0.5027501,-1.4075272,2.9660125,0.53976065,-1.5088003
2.39678,-1.6257132,2.8940334,0.5506906,-1.3691983
1.9877434,-1.4497328,2.9076946,0.61125004,-1.8855791
2.5764883,-1.4707384,-2.9221582,0.57477516,-1.5354853
1.7480876,-1.5319308,2.7960217,0.6775654,-1.0045444
-1.0580457,-1.362624,2.9904318,0.5877762,-1.0413065
1.5208018,-1.4290096,2.9647737,0.59710675,-0.26018244
-0.5540766,-1.4226173,2.832048,0.528872,-1.7126405
2.4229202,-1.5715679,-2.8442156,-0.54496676,-0.44299415
1.6558447,-1.3939866,-2.7338893,0.5555477,-1.3985232
-0.1077874,-1.4227931,-2.898824,-0.550638,-2.0390148
1.868304,-1.4948976,-2.8845177,-0.513497,-1.26392
1.5634398,-1.5809088,2.9514174,0.59701425,-1.4297193
2.3273273,-1.5817358,2.9191604,0.55304486,-1.6571479
2.7897897,-1.4907014,2.8555386,-0.5431635,-1.302114
0.9958173,-1.4412761,2.771982,-0.5305163,-0.88509715
2.6889133,-1.4595803,-2.9304879,-0.57061696,-1.8110905
-0.39468008,-1.5158533,2.9338336,-0.62310874,-0.71239805
1.7156866,-1.5896459,2.926809,0.5286008,-2.0147538
-0.28313938,-1.454873,2.8799887,-0.4811588,-1.4216309
-1.3399498,-1.5757524,-2.963372,-0.57882273,-0.5039344
2.3709297,-1.4664788,-2.8853335,0.5127174,-1.2291989
1.7749505,-1.5916117,2.7563481,0.49888775,-1.0996938
2.3817255,-1.51321,-2.6774602,0.4892598,-2.3121128
0.47543728,-1.3829801,-2.6488848,0.53591585,-1.8349643
-1.8867569,-1.4186566,-2.7470222,-0.55828327,-1.2509153
0.53315747,-1.482555,2.5456383,0.4659256,-1.1622505
2.609029,-1.2728311,2.9016895,0.68412554,-0.85166776
0.9385711,-1.4741073,2.67284,0.46010777,-1.5375398
-1.3059783,-1.4847349,-2.9247298,-0.61488,-1.40304
2.5173326,-1.4679705,2.680097,-0.46287793,-1.1470871
2.5103855,-1.4684293,2.8935246,-0.58308995,-0.6277932
1.3111591,-1.3686382,2.8955173,-0.58809626,-1.7069232
-1.9147773,-1.2073557,2.9609249,-0.5932833,-1.7410188
2.6225152,-1.4957733,-2.4317112,0.52546185,-0.589935
-2.3375745,-1.7945838,2.8436394,-1.0006514,-0.5934005
-0.37520707,-1.5094694,2.992512,0.64300245,-0.9528905
0.11633897,-1.4717234,2.8740935,0.60104936,-1.5145848
2.33054,-1.5464908,2.9787529,0.5300081,-1.4579239
2.6481957,-1.7023649,-2.9227948,-0.5656567,-1.1289043
1.6519182,-1.6231072,-2.973561,-0.60601896,-0.5247712
1.2871459,-1.4073979,-2.9290628,-0.5606763,-1.2181597
-1.7540855,-1.3576112,2.9562912,0.5313275,-1.8210995
2.0494847,-1.5376103,2.794428,0.49447668,-1.8884735
1.5980804,-1.4633198,2.5624273,0.4981697,-1.5617254
2.9920764,-1.5553576,2.7533755,-0.52087045,-1.7805412
1.9133723,-1.4684594,-2.9725952,-0.5746715,-1.7503768
0.3461098,-1.4351754,-2.9372032,-0.5724717,-1.8859367
