$\alpha$,$\beta$,$\gamma$,$\delta$
1.4918039,0.023698756,0.6787961,0.06844232
1.4862009,0.024077766,0.67987627,0.07031907
1.4773136,0.022475267,0.6872046,0.070938334
1.4846208,0.022408444,0.6849295,0.068944335
1.5046773,0.02282315,0.682455,0.06824444
1.5008782,0.024311526,0.67730296,0.068822294
1.4974188,0.023974571,0.67955786,0.07063763
1.4825678,0.023058604,0.68495864,0.070503704
1.4716169,0.023205632,0.6860839,0.07265486
1.483692,0.022863397,0.6840087,0.07024357
1.5083473,0.022831764,0.68058175,0.067397274
1.5055317,0.02304358,0.68037283,0.06805077
1.4879415,0.021679927,0.69119895,0.07059887
1.4737314,0.021309007,0.6976214,0.07431438
1.4893197,0.023793405,0.6822968,0.06945613
1.4947668,0.023438383,0.6793126,0.06753783
1.5037047,0.023778003,0.6774253,0.06715866
1.5077801,0.023252591,0.6795704,0.065799125
1.4920038,0.022594983,0.6847092,0.06956473
1.494752,0.025175378,0.67120373,0.06835756
1.5047559,0.022696596,0.68031967,0.06644348
1.4870422,0.023358481,0.68206394,0.070375346
1.4995228,0.023616802,0.6786024,0.06807091
1.5231639,0.02438486,0.6715065,0.065875776
1.4772462,0.02199011,0.68934464,0.070503116
1.4843737,0.022163007,0.68877155,0.07004319
1.4858748,0.023871694,0.68112284,0.07038823
1.4806023,0.021905052,0.68957955,0.07042553
1.4860365,0.025614014,0.6743855,0.07073052
1.4857242,0.022196883,0.69112545,0.07141212
1.5204296,0.022156404,0.6828419,0.065819256
1.4832754,0.023824546,0.6805146,0.06934137
1.5009536,0.0224398,0.68622845,0.06849039
1.5103921,0.022039121,0.68401855,0.06703278
1.4702923,0.022218978,0.6894463,0.0712643
1.4900769,0.022577384,0.68450785,0.069326326
1.4629596,0.021143572,0.69674236,0.07200267
1.4901446,0.021873849,0.6903686,0.06894783
1.5014173,0.023235777,0.6799715,0.06830598
1.489803,0.025171272,0.6732545,0.069584474
1.4818012,0.022756882,0.68752724,0.07074295
1.4892787,0.024595024,0.67636925,0.06933266
1.4871051,0.023737803,0.6797687,0.069212355
1.487791,0.023211287,0.68360245,0.070592895
1.4985627,0.023123821,0.68012464,0.067437716
1.4903929,0.023463884,0.681652,0.06980018
1.5029427,0.024531465,0.676395,0.069700435
1.5123783,0.023233002,0.67788535,0.06713387
