$\alpha$,$\beta$,$\gamma$,$\delta$
0.834333,0.06088784,0.6647118,0.18779707
0.82633245,0.064034596,0.66636074,0.18954197
0.8256746,0.06355367,0.6607881,0.18633904
0.823008,0.059814747,0.670885,0.18832402
0.8264966,0.06560576,0.66220665,0.18742567
0.8245622,0.055792037,0.67625546,0.18947397
0.82480156,0.06493269,0.6636482,0.18763888
0.83075136,0.06808255,0.6557242,0.1861453
0.8281532,0.05808432,0.67186904,0.18833314
0.8246181,0.06305438,0.6627613,0.18624282
0.8337907,0.06004131,0.6670876,0.18819915
0.8250932,0.054413497,0.6814876,0.19129092
0.82322276,0.060720794,0.66878796,0.1882778
0.8283691,0.059364818,0.666493,0.18672891
0.82452476,0.053779792,0.6754061,0.18771139
0.8285549,0.059620485,0.6723633,0.18984477
0.82532364,0.058070056,0.6721445,0.18813762
0.8316732,0.05735199,0.67186004,0.18967772
0.82699585,0.059337944,0.6697878,0.1883778
0.8223064,0.056534402,0.67595816,0.18957146
0.8272786,0.06194027,0.66619337,0.1876115
0.8271101,0.062004633,0.66608703,0.1872114
0.8347352,0.06126049,0.6609979,0.18691473
0.82593393,0.058277756,0.6689947,0.1881316
0.8261698,0.05739764,0.6692166,0.18667968
0.8289454,0.06249976,0.66525435,0.18878442
0.8269506,0.057206567,0.6663466,0.18598801
0.82564366,0.05711557,0.6755155,0.18985868
0.8263385,0.06557411,0.6649036,0.18913022
0.8228514,0.057006355,0.6737026,0.18797663
0.8371142,0.059614133,0.6533145,0.18242356
0.82805145,0.059719846,0.66556096,0.18701778
0.8241598,0.05783127,0.67526275,0.18996556
0.82444006,0.05963736,0.67208993,0.18914808
0.8250132,0.055660557,0.6809342,0.19210711
0.8223162,0.057061683,0.67289925,0.18762454
0.8205666,0.060088295,0.6706746,0.18743694
0.8252626,0.064441435,0.66068655,0.18633011
0.82721055,0.061381426,0.6608446,0.18555853
0.8297479,0.062758155,0.6627408,0.18784742
0.82381856,0.057415366,0.67885876,0.19075742
0.82937944,0.064230345,0.6630424,0.18810773
0.82519644,0.05693769,0.6759507,0.18926781
0.8311199,0.05953299,0.6627909,0.18586305
0.83146983,0.057782948,0.66690934,0.18698354
