$\alpha$,$\beta$,$\gamma$,$\delta$
0.90004367,0.048226733,0.6259681,0.042145126
0.92815167,0.052347664,0.6074272,0.03994598
0.90450644,0.050718762,0.6171809,0.04250253
0.89560115,0.049565837,0.62256783,0.04318861
0.90980583,0.049389835,0.622293,0.0415978
0.9129133,0.05402252,0.6076813,0.04102491
0.9291434,0.057361428,0.59648275,0.03967987
0.8859704,0.050374314,0.6239427,0.044180203
0.87527096,0.045274742,0.6411845,0.044610765
0.8858962,0.04722884,0.63210976,0.043477815
0.902325,0.055757184,0.6043233,0.041857447
0.89965785,0.051025562,0.6143346,0.043021984
0.91127473,0.04853402,0.62151176,0.040899143
0.8834636,0.04955785,0.62778914,0.043927737
0.89503914,0.049358618,0.622881,0.042300556
0.8889193,0.052439105,0.616687,0.043401755
0.8999776,0.047651548,0.6306492,0.04175405
0.8907149,0.049941216,0.62696075,0.042644817
0.9078404,0.05203855,0.6101941,0.04213014
0.8768596,0.046211645,0.636885,0.04388779
0.9257475,0.05185253,0.6107354,0.03990423
0.93317837,0.049763534,0.6161691,0.039155856
0.9050133,0.050514247,0.61547166,0.041513715
0.9031559,0.050658323,0.6200979,0.042747367
0.8929258,0.047503527,0.6308332,0.04328615
0.90518785,0.050203856,0.6175961,0.0413211
0.8777771,0.046168465,0.6387098,0.04359279
0.9116435,0.05225155,0.6125861,0.041940812
0.89392257,0.050199833,0.6199593,0.041974504
0.92454064,0.05250711,0.6097015,0.040115952
0.8681249,0.04896939,0.63059217,0.04443174
0.8963757,0.050638508,0.61963195,0.043482944
0.89656764,0.04891357,0.6261489,0.041704632
0.9082954,0.051812146,0.61478144,0.04258474
0.88294846,0.051279046,0.6217949,0.04331267
0.9074849,0.051852457,0.61662143,0.042597942
0.94053626,0.057933375,0.59361637,0.039640635
0.8909256,0.049444538,0.6244686,0.042776983
0.8931999,0.050284788,0.62111485,0.04213309
0.9003621,0.05335742,0.6122227,0.04157431
0.8964909,0.045253623,0.63481295,0.04151583
0.9194343,0.05130102,0.6138944,0.040598415
0.89870185,0.0463328,0.63306946,0.04217259
0.92851335,0.05394194,0.6025084,0.04088392
0.8799667,0.046347186,0.63573843,0.042396948
0.89549977,0.046971906,0.63060135,0.041659635
0.93129,0.057630654,0.59401363,0.03956941
0.9007601,0.048873805,0.62292343,0.042220656
0.9105644,0.04823214,0.6242638,0.04230583
0.88056123,0.050049614,0.62499344,0.04438748
