parameter_1,parameter_2,parameter_3
1.4131584,2.74381,-2.001942
1.4148179,2.6276064,-1.9378442
0.9581291,2.4051025,-1.6142555
0.6918304,2.4058049,-1.5051649
0.18572627,2.5909803,-1.4032234
2.1175942,2.8673387,-2.3826811
0.9825996,2.1115289,-1.4369149
1.4317847,2.446499,-1.8370376
1.3509735,2.6729283,-1.9357616
0.34480652,2.2297688,-1.2421973
1.1818742,2.4691849,-1.7300689
1.1154193,2.6347325,-1.8448263
1.8143638,2.9967754,-2.3419795
1.4145943,2.5677524,-1.8983623
1.0352212,2.8849785,-1.9473456
1.405219,2.7506964,-2.0299423
1.112169,2.6088595,-1.8074737
1.6257586,2.2146971,-1.7851803
1.260475,2.5652812,-1.8465494
1.1347573,2.4990008,-1.7450128
1.527186,2.8338737,-2.1283987
2.0435185,2.9167635,-2.366008
1.8772993,2.8077118,-2.2434628
1.3049634,2.7282965,-1.9603615
1.6351714,2.9055805,-2.1990576
1.8544606,2.8760054,-2.2736232
1.5431983,2.4335675,-1.8811047
1.642858,2.6474876,-2.0549123
1.3886578,2.1960983,-1.6715888
1.35772,2.7579308,-2.0023708
1.1493797,2.65498,-1.8623245
0.6039226,2.150949,-1.3143303
1.0312402,2.3938682,-1.6200644
1.300381,2.631287,-1.9100211
1.5996453,2.6503844,-2.0411403
1.3779657,2.7412782,-1.9947827
0.46676552,2.381538,-1.396586
1.0764464,2.6081884,-1.7961847
1.72778,2.5200844,-2.0091927
1.7726055,2.6826942,-2.1283548
1.2193618,2.340434,-1.6852174
1.0530504,2.5731528,-1.7576301
0.72012997,2.9623125,-1.8378582
1.3294014,2.955985,-2.1063645
1.9393208,2.8779433,-2.3154864
0.8338065,2.065091,-1.3617705
0.3362823,2.1322665,-1.1925865
1.9193039,2.7868693,-2.243897
1.2120397,2.8762584,-2.0077245
1.4966482,2.5558162,-1.9317102
0.09335666,2.1177137,-1.0948745
1.182801,1.7538505,-1.3203185
1.3157454,2.504328,-1.8195815
0.8830417,2.3067453,-1.5466261
1.4207796,2.5454872,-1.890612
1.7846894,1.9405332,-1.6990911
1.3035356,2.6751733,-1.9399278
1.4460862,2.4785244,-1.8725209
1.1694587,2.0278735,-1.4823962
1.6235797,2.001549,-1.6438572
0.9542649,2.6505146,-1.7611083
0.91462034,2.2500565,-1.5129603
1.8952576,2.8046584,-2.2471962
0.28804776,2.528196,-1.423427
1.0557979,2.828261,-1.9105399
1.3007345,2.4324915,-1.7660005
1.0866145,2.2420833,-1.5886928
0.42689994,2.5491242,-1.4889383
0.9094169,2.4564285,-1.6139369
1.6267211,2.8107235,-2.1329908
