$\alpha$,$\beta$,$\gamma$,$\delta$
0.6627683,0.038978036,0.88687354,0.08303384
0.67466825,0.040525567,0.8701896,0.08051852
0.65703493,0.038544033,0.885454,0.08202547
0.6736108,0.03844813,0.8796314,0.081604466
0.67054045,0.040250823,0.88214916,0.08225403
0.6681273,0.040427443,0.8754327,0.080214575
0.6808026,0.038968086,0.8693966,0.08038249
0.6646247,0.040658686,0.87605417,0.08017135
0.6668132,0.038104553,0.8909288,0.082607016
0.67083764,0.040454093,0.8809498,0.08318995
0.6672676,0.041285206,0.8728276,0.08192157
0.6740019,0.040341385,0.8766691,0.08162686
0.67810327,0.04511489,0.8541498,0.08001401
0.6654688,0.038770344,0.887931,0.08250722
0.676321,0.042295493,0.86327577,0.079681434
0.6651763,0.03862734,0.886868,0.08161721
0.6757297,0.04259333,0.86741483,0.08082468
0.6710069,0.041155607,0.8744294,0.08177112
0.6956232,0.045023266,0.8438711,0.0784445
0.65384626,0.038637888,0.8920484,0.081735395
0.672333,0.04659366,0.8496439,0.07883884
0.68400145,0.045888606,0.85452783,0.0806152
0.68007874,0.042035885,0.86771375,0.081942745
0.674899,0.043347556,0.8581498,0.07993243
0.65728366,0.03684556,0.90180385,0.08425342
0.6590755,0.036239937,0.90301496,0.0830881
0.68875504,0.043088164,0.8496322,0.077077106
0.6741038,0.044147395,0.86787444,0.08130791
0.680364,0.044828076,0.8552213,0.080783784
0.6645251,0.03869356,0.8851893,0.082711995
0.6727385,0.03998891,0.8719219,0.07986229
0.64588904,0.03866759,0.9014984,0.084053606
0.6708239,0.038855128,0.87786716,0.081746034
0.6743671,0.038364254,0.8874852,0.08253868
0.66861343,0.045492563,0.8519711,0.08021025
0.6671294,0.038301546,0.8881689,0.082727835
0.6688385,0.039723855,0.8823029,0.083746195
0.65272105,0.039421715,0.89520425,0.084273174
0.68767697,0.043242503,0.851385,0.07946677
0.6891772,0.041273806,0.85370463,0.07808107
0.663817,0.042033527,0.8731177,0.08115998
0.6609986,0.042624395,0.8799315,0.08234786
0.6703818,0.03788155,0.88894266,0.082906604
0.67479193,0.039663836,0.87415874,0.08083852
0.67616534,0.042688802,0.863998,0.07965173
0.64812434,0.037859764,0.9068765,0.08425431
0.6654586,0.03820265,0.8922718,0.08495394
0.68244267,0.04250852,0.86434156,0.08068913
0.65264994,0.042313386,0.8811086,0.08249919
0.661338,0.039845705,0.8903144,0.08418327
0.669472,0.03844724,0.88858306,0.08273777
0.67078483,0.040422373,0.8747928,0.080501094
0.67826825,0.038297933,0.8813887,0.08265983
0.6750203,0.041534573,0.86860234,0.08069183
0.67136556,0.044279646,0.86118615,0.081092015
0.67261744,0.04167824,0.8671329,0.07993578
0.6715748,0.038994834,0.8836426,0.08280896
0.67071927,0.040133305,0.88536495,0.08304425
0.68146205,0.0391902,0.87406707,0.08028831
0.6758588,0.04400194,0.8557563,0.07789072
0.6841198,0.041967407,0.85929585,0.08000505
0.6658701,0.04053521,0.88041335,0.08136595
0.66125333,0.0380463,0.8967436,0.083277956
0.66645753,0.038701218,0.88470876,0.08217907
0.6582142,0.037226576,0.89271957,0.08208482
0.66858727,0.039836187,0.8804854,0.081289575
0.6797011,0.04064765,0.86814404,0.08058074
0.65366614,0.03641972,0.9108462,0.085162334
0.6805441,0.040582236,0.8708649,0.080924526
0.670177,0.041780844,0.86733806,0.07956626
0.6818648,0.039981853,0.86532074,0.0807298
0.6688027,0.04046455,0.879478,0.08116714
0.6732392,0.037267897,0.88150346,0.08004821
0.67132306,0.04386102,0.8598654,0.07820005
0.6610992,0.03815437,0.8844151,0.08115915
0.683253,0.04044601,0.86522675,0.07946065
0.6723025,0.03932659,0.87780124,0.08115913
0.68331724,0.043479536,0.8550291,0.08026615
0.66775954,0.037909523,0.88927025,0.08342889
0.65927225,0.03964029,0.88986546,0.08364788
0.6822218,0.04043516,0.87112045,0.0813727
0.6723704,0.041374855,0.86870885,0.08110236
0.6820278,0.039509993,0.8700551,0.08017985
0.66223633,0.038716085,0.8868342,0.08160526
0.6717288,0.041681014,0.87257,0.08184079
0.66901934,0.0405723,0.8732771,0.08011891
0.66266847,0.039588746,0.8919461,0.08374478
0.6512609,0.037984803,0.9030901,0.084504776
0.6603786,0.040762182,0.8822783,0.082564145
0.6614301,0.038672958,0.88464,0.08155075
0.66748655,0.03824044,0.8864584,0.08246138
0.67287505,0.03935351,0.88182986,0.082526065
0.65383285,0.036134418,0.90703166,0.08378155
0.66150165,0.03844184,0.89650804,0.08360934
0.6790516,0.038944636,0.87516385,0.083082475
0.6822863,0.044550966,0.8448791,0.07832986
0.670312,0.041437253,0.86948663,0.079930484
0.67647594,0.04043069,0.8681955,0.079434775
0.6691388,0.041558176,0.87704474,0.08298082
0.6674834,0.039046876,0.88792425,0.08184701
0.6699473,0.04008034,0.8760623,0.08128506
0.6554662,0.03807425,0.90283847,0.084579065
0.6757108,0.040111016,0.8678584,0.08024824
0.67561734,0.04127609,0.87004405,0.0813381
0.676977,0.042416606,0.8645222,0.08068506
0.6725915,0.04066109,0.87653685,0.082083665
0.6745524,0.042616155,0.86556685,0.081243366
0.6681205,0.03779888,0.89313734,0.0830562
0.6719382,0.04480316,0.8607721,0.08112114
0.6699988,0.03744784,0.8881517,0.08160569
0.6709846,0.042932305,0.86832213,0.08171287
0.68105423,0.041322213,0.86329985,0.079982944
0.65874654,0.04123751,0.8892408,0.08336608
0.6816014,0.041503213,0.86859524,0.0800451
0.65835017,0.03766248,0.8951595,0.08288943
0.6760491,0.037785232,0.879205,0.08073872
0.665749,0.039737042,0.878637,0.08093903
0.6733537,0.042320307,0.8651385,0.0815502
0.65905094,0.036601193,0.899235,0.08349095
0.68391365,0.04494838,0.84622014,0.07884695
0.67126846,0.040449463,0.87290776,0.082130276
0.66939664,0.039822295,0.8802862,0.08210242
0.6651751,0.040500134,0.87974054,0.08258899
0.68404114,0.042667996,0.8561889,0.07939399
0.67803407,0.039783217,0.8739673,0.08276354
0.673172,0.039875813,0.873,0.08053926
0.6532578,0.03808738,0.90098894,0.08474982
0.65852475,0.040722378,0.88285536,0.082395054
0.6603201,0.038836103,0.88504887,0.0803327
0.6693406,0.039781537,0.876138,0.08124712
0.6701662,0.04425709,0.8649123,0.080529526
0.666294,0.043899216,0.8695277,0.08178992
0.66342074,0.039773334,0.88403004,0.0819438
0.66384524,0.042627536,0.87177825,0.08173635
0.6803763,0.0412597,0.8652706,0.08003852
0.6788613,0.041349363,0.86386037,0.07958178
0.6650437,0.038271222,0.89199567,0.08302115
0.66706526,0.039264187,0.8898339,0.08274032
0.6628264,0.03999651,0.8791433,0.08047285
0.6553643,0.039719008,0.8903456,0.08196235
0.6805618,0.039614014,0.8739988,0.080939576
0.67263687,0.042723637,0.8631341,0.08039263
0.6764883,0.04020794,0.87302303,0.08178336
0.6714492,0.044197313,0.86149585,0.079990536
0.662395,0.042065598,0.87947905,0.08320187
0.669968,0.039621834,0.8817873,0.08226248
0.6767624,0.040700626,0.8661109,0.079932064
0.66105646,0.04285813,0.87278014,0.08160419
0.6621936,0.038158994,0.89137775,0.08254815
0.6786324,0.041977774,0.8622516,0.081455804
0.66364443,0.03773936,0.8921971,0.082673706
0.68360794,0.0439865,0.85608363,0.080054566
0.6608108,0.040691018,0.88190246,0.0815503
0.66363066,0.038484517,0.8951631,0.08305853
0.65733814,0.037376974,0.9003505,0.08367523
0.65832144,0.0370827,0.8999313,0.0826422
0.6754286,0.04249493,0.8695651,0.08153735
0.67771924,0.041782938,0.8729394,0.08243472
0.6890453,0.044004742,0.8422744,0.07839591
0.6812465,0.043465067,0.8559565,0.07986783
0.67866486,0.0387122,0.88039595,0.08132324
0.66747993,0.042365473,0.8756505,0.08270446
0.6475847,0.03836139,0.9034115,0.08370198
0.6792119,0.040165603,0.87030196,0.080555156
0.67967415,0.0426327,0.86671674,0.082217366
