parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10
-0.31712303,0.49042928,0.31725413,-0.269781,-0.651206,0.49781096,-0.613978,0.3714432,-0.22389245,0.005036697
-0.47737366,0.45238912,0.7037598,0.8059916,-0.6577179,-0.11514646,-0.7877404,0.3166846,-0.54010224,0.15674464
-0.23639864,0.24352217,0.0684524,0.28969893,-0.28622472,0.3917861,-0.6562145,0.11305131,0.055912703,0.04398763
-0.6739833,0.7694165,0.2331875,0.47122502,-0.88299143,0.6383087,-0.8693058,0.25430125,0.3296954,0.085340396
-0.46797526,0.4352521,0.9192122,0.19814844,-0.9092275,0.542238,-0.9124996,0.5987811,-0.14698088,0.5313184
-0.43461362,0.087486506,0.0122587085,0.22970963,-0.80071676,0.015984535,-0.92730576,0.036055386,-0.4396786,-0.36433265
-0.83718616,0.565922,0.29707786,0.30139145,-0.8521444,0.052017987,-0.95124745,0.60152054,0.20890334,-0.08919765
-0.9773539,0.3780359,-0.036994994,0.55859226,-0.59416157,0.5748261,-0.12875038,0.2793449,-0.12310217,0.43871188
-0.6272853,0.63920116,0.16544037,0.10688826,-0.3250767,0.6490946,-0.8822668,-0.247361,-0.08048242,0.50509167
-0.900295,0.8644183,-0.099758536,-0.09601961,-0.8612139,0.6452749,-0.95815,-0.26802874,-0.07011309,-0.5825434
-0.61232793,0.42079726,0.18125097,0.27918154,-0.08971515,0.57616705,-0.83022165,0.1936759,0.15884516,0.3963587
-0.67170966,0.88354933,0.3999243,0.1988405,0.1273033,0.6690856,-0.33850288,0.44673,-0.07099286,0.09180468
-0.1995067,0.7769029,0.13376914,0.11578875,-0.8247233,0.2167584,-0.9217578,0.24249011,-0.13753742,0.39685336
-0.65585613,0.9647914,0.29313302,0.12011326,-0.41531557,0.56046593,-0.9770338,0.34458494,-0.02519536,0.30762672
-0.7699302,0.8336991,0.66776747,0.12310199,-0.5759972,0.17910755,-0.9768092,0.60101753,-0.3558942,0.61330616
-0.13788426,0.38834807,0.04929951,0.5805196,-0.23191652,0.62682766,-0.100218594,0.3294404,-0.674785,-0.07384001
-0.60400546,0.30543238,0.8790121,0.21365204,-0.9588467,0.66254133,-0.32467633,0.7003639,-0.7391386,0.16338892
-0.6787241,0.9303062,0.6135198,-0.49310052,-0.26508418,0.6843693,-0.75483763,0.17494477,-0.3834148,0.11646814
-0.8419261,0.68289393,0.033130467,0.69031864,-0.5257074,0.9887693,-0.9409869,0.58563447,-0.2879593,0.48643836
-0.52595824,0.58791924,0.61149335,-0.5963603,-0.92463446,0.9404367,-0.50388193,0.070415765,-0.39817798,0.45544583
-0.5921724,0.7640265,0.2871149,0.21363063,-0.6509481,0.50441754,-0.66631603,0.5000361,-0.44213086,0.3402583
-0.82840204,0.5058361,0.2907028,0.35014343,-0.24706402,0.7308939,-0.58991754,0.5834681,0.16908297,0.043295823
-0.9122654,0.8024436,-0.23018911,-0.53358793,-0.62607616,0.4169575,0.036798894,0.15702274,-0.5995152,0.143674
-0.7134946,0.5400914,0.004398018,0.5536879,-0.62762314,0.2068978,-0.22450745,0.3834291,-0.032081857,-0.3860421
-0.62241876,0.9607878,0.02551344,0.020701744,-0.63590425,0.7181602,-0.681451,0.47700912,-0.025100082,-0.21082103
-0.7494306,0.9904898,0.52361465,0.42061508,-0.42766297,0.4474678,-0.7267813,0.54447174,-0.7603844,0.12710837
-0.7578134,0.60980016,0.33821392,0.07074792,-0.119918376,-0.13694113,-0.7734421,0.94425386,-0.15299158,-0.09968132
-0.75508463,0.37343216,0.5154511,0.6223993,-0.5319651,0.3992439,-0.37957624,0.61664623,0.20257974,0.48413372
-0.7689117,0.9017178,0.48787168,0.3151074,-0.77417415,0.8488417,-0.872794,0.7493943,-0.58146536,0.5644349
-0.724469,0.69177705,-0.07313898,-0.8499676,-0.13147777,-0.17685336,-0.7177374,0.48242933,0.27566653,0.2696826
-0.6227831,0.50248784,-0.075092375,0.40562445,-0.5015597,0.2332086,-0.6781963,0.35721397,-0.39118546,0.23666835
-0.5396065,0.6359216,0.31974208,0.43121332,-0.62618536,0.7282958,-0.28119433,0.24916813,0.005245477,0.1361302
-0.9030082,0.4181521,0.86887133,0.3006056,-0.262656,0.70898145,-0.85366327,0.27252305,-0.6818044,-0.006982729
-0.44862226,0.4780857,0.44690314,0.17419127,-0.6712116,0.79260397,-0.3518781,0.5765739,-0.45864028,0.34673536
-0.4847316,0.60499585,0.30820924,0.12397547,-0.74676925,0.7376459,-0.69145715,0.5169388,-0.3182509,0.18227479
-0.714462,0.33426455,0.57485354,0.27324238,0.08184743,0.25697342,-0.8747297,0.34102485,0.11228764,-0.024333999
-0.8989643,0.58765966,-0.045650154,0.63560206,-0.39821854,0.48753303,-0.6651851,0.04927239,-0.2396843,0.33055472
-0.4415319,0.3126043,0.83379066,-0.02228611,-0.47691047,0.70093536,-0.7934477,-0.12949589,-0.17179835,0.11438477
-0.67532134,0.6277902,0.060696468,-0.017628089,-0.27054125,0.85618705,-0.7819454,0.23688057,0.13459694,-0.6399703
-0.88470584,0.6346972,0.19146606,0.049903397,-0.5214705,0.3997014,-0.82891566,0.49075687,0.07139623,-0.4834192
-0.8322035,0.7473562,0.19493419,0.24184829,-0.3343553,0.9869685,-0.60240716,0.7381327,-0.39251047,0.22349015
-0.8776883,0.8128923,0.4203523,0.037791695,-0.71201015,0.17697439,-0.78460246,-0.5130586,-0.6935768,0.1263373
-0.8427141,0.6744516,0.42712492,0.046244953,-0.34386134,0.6332728,-0.5680238,0.20197344,-0.5497314,0.82633245
-0.42597312,0.5596974,0.0030838847,-0.18797512,-0.5976254,0.6550725,-0.60215616,0.88922584,0.14360884,-0.30909556
-0.7051826,0.6952214,0.12784983,0.28430712,-0.12818328,0.3225897,-0.983652,0.54134715,0.13387239,-0.30336323
-0.28662366,0.8434371,-0.0582633,0.76389974,-0.61677027,0.6640076,0.28265083,0.4305604,-0.48923373,-0.15435016
-0.75320035,0.18150303,0.5066158,0.015018262,-0.5018086,0.460691,-0.41927472,0.26159132,-0.4461562,0.49285346
-0.30168846,0.7146188,0.67125535,0.40961522,-0.6604833,0.25691122,-0.7248676,0.3514608,0.06298977,0.08196621
-0.7650158,0.6151886,0.5695938,0.030149244,-0.95391464,0.5845086,-0.55047953,-0.08169341,-0.08311191,0.6734742
-0.79064417,0.5445705,0.21077447,-0.17187978,-0.71679556,0.5520689,-0.46943662,0.27544534,-0.18003334,-0.44743428
-0.7538389,0.3725972,0.8034686,0.3147821,-0.51066846,0.659823,-0.7067601,0.7716054,-0.086772025,-0.0713353
0.054739296,0.6626292,0.25620916,0.3301523,-0.6368178,0.25891355,-0.8147019,0.17996633,-0.29323003,0.46768135
-0.2519095,0.18582574,-0.06159714,0.41039038,-0.97686464,0.7845884,-0.8313303,0.4045679,-0.7324414,-0.40797815
-0.65484595,0.62243694,0.21493249,0.3177696,-0.36740553,0.5178158,-0.9786337,0.7257723,-0.51230896,0.49326864
-0.037863553,0.7499742,-0.05019161,0.040620323,-0.2801025,0.78437376,-0.8183363,0.15180404,-0.38872874,-0.2587212
-0.8638718,0.79682237,0.49604,-0.25669992,-0.63371444,0.15701887,-0.89824116,0.44771215,-0.47815752,0.71211433
-0.60948974,0.6689694,0.4635405,0.1891937,-0.66735893,0.5030962,-0.810999,0.46240273,-0.4422365,0.61404634
-0.80763525,0.3945875,0.5895607,0.415856,-0.9543553,0.5267441,-0.5825149,0.3095148,0.30393976,-0.17754409
-0.7048947,0.8502466,0.029582739,0.0909388,-0.89518166,0.49655008,-0.044172525,0.11050241,-0.25289205,-0.06655483
-0.53885835,0.31609964,0.053914845,-0.12521318,-0.28581092,0.60219336,-0.5092195,-0.16249257,-0.5316406,0.8609245
-0.523638,0.8089271,0.5247885,-0.15879156,-0.31460696,0.7064182,-0.5242574,0.50038993,-0.49701706,0.050370716
-0.17251468,0.5221147,0.11730172,0.44494998,-0.5164467,0.5630243,-0.786157,0.3578523,-0.059697762,0.16259423
-0.23767686,0.8394274,0.5449652,-0.15869762,-0.45881543,0.48736867,-0.9012466,0.47863638,-0.23350792,-0.025894195
-0.37717855,0.4913274,-0.17030632,-0.2050669,-0.30360147,0.2368958,-0.4606103,0.24951328,-0.18555148,0.4310055
-0.4653527,0.23240733,0.6567389,0.17435876,-0.582373,0.52029073,-0.7438329,0.6125339,-0.16237405,-0.036079496
-0.8052253,0.5436673,0.5573034,0.12506239,-0.39087236,0.5865778,-0.36705208,0.19858032,-0.06879988,0.072019584
-0.73391896,0.5007806,0.43521127,-0.8763672,-0.8530349,0.57615995,-0.55579156,-0.41437978,-0.41184354,0.572786
-0.21103337,0.754051,0.157229,0.53624004,-0.4597331,0.83008164,-0.30794388,-0.02587971,-0.05727017,0.041494668
-0.053444386,0.99876916,0.27404937,0.16525981,-0.33381325,0.94497824,-0.9548149,0.771428,-0.2903087,0.55421424
-0.33607692,0.49835458,0.41838217,0.58508825,-0.461186,0.40259564,-0.8474847,0.37374023,-0.04373905,0.2827958
-0.32273483,0.3886877,0.581203,0.07345051,-0.7602022,0.0934068,-0.19971472,-0.21392983,0.3382699,-0.1095615
-0.7399095,0.3653372,0.38324782,0.6005046,-0.6588007,0.009829104,-0.7626319,0.5805393,0.48196638,0.45830312
-0.74933547,0.41475865,0.22238132,0.3668092,-0.9456672,0.5850231,-0.9311161,0.002706349,0.45508504,0.6501963
-0.94507205,0.71377635,0.475016,-0.0649406,-0.83194363,0.7939879,-0.86147,0.5083065,-0.17468289,-0.14555028
-0.5295626,0.7158958,0.12684865,-0.25647277,-0.5625473,0.91100746,-0.8191546,-0.017276019,-0.49790436,0.37189755
-0.75217104,0.24207148,0.13118748,-0.29104894,-0.4634265,0.8530924,-0.8644299,0.38497397,0.058972597,0.34980145
-0.6857194,0.87804306,-0.21629867,-0.027549446,-0.62486786,0.18463469,0.09581232,0.12725976,-0.57120013,-0.41636243
-0.9269738,0.8648831,0.26898113,0.20298277,-0.78776884,0.5363201,-0.5444111,0.27970234,-0.3156979,-0.19788197
-0.87293065,0.5088655,0.67637885,-0.083186775,-0.37263468,0.6699044,-0.7004259,0.72192955,0.14456552,0.32813525
-0.637817,0.46575665,-0.009586096,0.101900086,-0.69092584,0.87495285,-0.948052,0.47001815,-0.042787313,0.24266839
-0.47987056,0.18204787,0.87267816,0.23341514,-0.660176,0.5024011,-0.8970604,0.3121867,0.055315822,-0.037005574
-0.5954255,0.27289143,0.63007903,-0.26784724,-0.24514967,0.27685437,-0.88045114,-0.33304697,0.25864267,-0.050539747
-0.60813147,0.698441,0.20109978,0.14098397,-0.7916722,0.83538467,-0.76317406,0.016947657,0.21719071,0.22737998
-0.7596867,0.77100253,0.3227125,0.57091737,-0.35215533,0.9449475,-0.9217777,-0.34300965,-0.56269884,0.1430749
-0.03491217,0.32364157,0.2193507,0.13390988,-0.89774764,0.57987106,-0.63224274,0.58226395,0.07861975,0.14428103
-0.8880535,0.100156486,0.57624376,0.015188031,-0.81367546,0.91908014,-0.6010443,0.3918395,-0.3868669,0.48998386
-0.92883015,0.8215616,0.4973762,0.07498677,-0.76854354,0.2806412,-0.9759312,0.4046612,-0.94236255,0.053058505
-0.7242518,0.517746,0.6631389,0.25560066,-0.73950195,0.8396714,-0.6761246,0.38977617,0.08315688,0.24683073
-0.30910483,0.80494773,0.074102044,-0.30256855,-0.86579627,0.8348563,-0.73435926,0.37871146,-0.5220843,0.10401998
-0.60535467,0.8800865,0.39778256,0.14299716,-0.8196932,0.29395992,-0.97977424,-0.13908285,-0.51953197,0.33170256
-0.8001125,0.7608839,0.67498994,0.14495625,-0.25854498,0.22114667,-0.9294286,0.36151627,0.036672562,0.6794419
-0.7968347,0.3856056,0.54228824,-0.066364124,-0.0071820617,0.56336254,-0.7587244,0.35822445,0.18696141,0.26355174
-0.47979796,0.69528097,0.8491634,0.2945097,-0.7016626,0.69651467,-0.65961355,0.8310227,0.16347966,0.6737652
-0.2860189,0.2676417,0.2891183,-0.06517035,-0.6081039,0.7768396,-0.75084037,0.5067441,-0.8852691,0.13846245
-0.76871896,0.90308076,0.604118,0.027372606,-0.7819516,0.38000688,-0.7984146,0.38310176,-0.13695568,0.2002118
-0.51439726,0.8547642,0.26898566,0.49319094,-0.6856637,0.8275862,-0.64133465,0.15878016,-0.41488576,0.88275945
-0.68870085,0.60850394,0.23731697,0.22822177,-0.57057536,0.66512334,-0.8137983,0.039536774,-0.52382433,-0.035045296
-0.6154286,0.19463661,0.3341473,0.3356536,-0.8656976,0.5380391,0.005633652,0.60675025,-0.55032545,0.62153804
-0.81903857,0.4719352,0.76719403,-0.21437381,-0.06219864,0.41614646,-0.7064747,0.45960355,-0.309919,0.28528738
-0.9776982,0.50556034,0.3704515,-0.13195024,-0.0010864735,0.51195306,-0.6389514,0.20153062,-0.3064102,-0.41520903
-0.067183495,0.26112732,0.24034965,-0.10980356,-0.50405246,0.31186074,-0.49817684,0.8388022,-0.06738277,0.49150732
-0.6889269,0.5780171,-0.17124134,0.51849747,-0.011698723,0.5604531,-0.7015029,-0.37348258,-0.5657197,0.05739919
-0.97523046,0.6859682,0.4261148,0.4303959,-0.6037441,0.8614572,-0.51893365,0.6138227,-0.1470258,-0.43942806
-0.9112016,0.7090827,0.2274878,0.09066479,0.060864985,0.67628545,-0.55458456,-0.32815123,-0.028653488,0.34659263
-0.90750885,0.31237984,0.07651417,-0.5000203,-0.66231793,0.67364323,-0.97107154,0.30766243,-0.33964795,-0.015327111
-0.5769049,0.4090023,-0.09990242,-0.02716209,-0.55324316,0.93230546,-0.51002765,0.079880506,-0.09980105,0.11384672
-0.83276457,0.591726,-0.18100718,0.75857383,-0.44570553,0.07009989,-0.55705696,0.3236667,-0.11468488,0.5242599
-0.8358247,-0.035122037,0.088644266,0.23723342,-0.4879933,0.24232104,-0.77884036,0.22409362,-0.005938813,0.1315223
-0.40130734,0.30762157,0.41873544,0.5246646,-0.8902621,0.851366,-0.2486105,-0.08278969,-0.30084684,0.7240815
-0.3480371,0.49769437,0.026934415,0.1441071,-0.9763911,0.7533327,-0.24392575,0.9894139,-0.3954279,0.01947689
-0.5043305,0.49372813,0.8091217,0.20451513,-0.18832958,0.66147125,-0.7156987,0.6776582,-0.23831923,0.39015368
-0.9614035,0.41416872,0.2506399,0.14766812,-0.34642917,0.45608872,-0.8980318,0.46381032,-0.5391768,0.13873373
-0.81446016,0.59834164,0.41087332,0.2445928,-0.48105395,0.57171184,-0.71586394,-0.088695526,-0.04635617,0.8701199
-0.5348623,0.9020523,0.3009125,0.20305896,-0.20954397,0.32987538,-0.8285917,0.38673562,-0.7087519,0.2887419
-0.7043321,0.7506495,0.6646341,0.20646524,0.060505867,0.97733015,-0.699913,-0.08493325,-0.024407178,0.172539
-0.6097399,0.6881747,0.33558035,-0.15810265,-0.600778,0.2974321,-0.092915535,0.35843006,-0.1713213,0.77412915
-0.19578475,0.57877743,0.54606104,-0.13456336,-0.70410734,0.51008403,-0.705894,-0.31473333,-0.26234922,0.1477351
-0.61621416,0.33777627,0.65820533,0.19700046,-0.6455445,0.8525474,-0.95745224,0.09321888,0.20544955,-0.017154023
-0.16314465,0.5676727,-0.1432583,-0.14488629,-0.5932497,0.83210677,-0.88160956,0.2860313,0.023264796,0.2063571
-0.69366705,0.60416263,0.25069547,-0.29198974,-0.7152117,0.77707684,-0.6173166,0.1656561,-0.42852026,-0.08834089
