$\alpha$,$\beta$,$\gamma$,$\delta$
0.8918627,0.038390934,0.9559927,0.09051702
0.88786334,0.03837448,0.95247585,0.08784689
0.9007842,0.04031547,0.9369308,0.08903447
0.8917362,0.037272863,0.95825875,0.088804744
0.8866991,0.035314612,0.96849203,0.09011388
0.87433517,0.03578397,0.9819915,0.09525957
0.9001736,0.039690156,0.9410931,0.085655
0.8945576,0.035043854,0.9663613,0.08934018
0.86194956,0.03738117,0.9725682,0.09100285
0.916184,0.036267553,0.9501488,0.0870628
0.87955004,0.037302513,0.9647064,0.09062088
0.8952313,0.036447227,0.9586539,0.08930572
0.89242464,0.03703472,0.9655622,0.09127516
0.8821634,0.035669047,0.9655331,0.08981182
0.89343655,0.035536237,0.96772504,0.09043785
0.89386916,0.036857262,0.9558025,0.08810763
0.90431195,0.038067542,0.9495654,0.086572915
0.86868495,0.03763059,0.9650937,0.09024757
0.8829039,0.037164897,0.96521884,0.090694
0.8891563,0.038155317,0.95521337,0.08843883
0.87723374,0.037073,0.96259034,0.09135587
0.8938409,0.03675186,0.9690107,0.09160246
0.88424724,0.036329143,0.96796525,0.08943361
0.9013164,0.041052785,0.93978155,0.08714705
0.92294866,0.04233478,0.91373324,0.083063126
0.8926628,0.034193236,0.9737715,0.09042981
0.8861955,0.033492498,0.9791448,0.09087717
0.89507586,0.03466318,0.9664622,0.08763145
0.8815515,0.033789974,0.97871065,0.09133664
0.88166136,0.036529202,0.9633306,0.08871957
0.8892568,0.035235725,0.9729802,0.09146089
0.88117117,0.035287242,0.97230977,0.0906356
0.91222626,0.04194932,0.9250551,0.08528404
0.8737999,0.035721205,0.9822653,0.09235681
0.8903527,0.035370793,0.9651966,0.088699475
0.8820788,0.037122283,0.9643704,0.0904856
0.8654146,0.035554018,0.9819888,0.091635354
0.8872545,0.03806186,0.95328015,0.08942022
0.90612483,0.03954438,0.9427443,0.08826742
0.88439506,0.03657409,0.970148,0.09270012
0.8925646,0.03631701,0.960586,0.08915159
0.89209974,0.036345802,0.9610278,0.08868366
0.89775133,0.038820885,0.9392651,0.08565344
0.89210427,0.041954163,0.9286667,0.08503952
0.88192064,0.0362062,0.968805,0.09027867
0.8929923,0.037024647,0.95488805,0.08896006
0.88520586,0.033728305,0.97931814,0.08971081
0.90172344,0.040200397,0.9403054,0.08802031
0.9048224,0.039128747,0.9481844,0.08780298
0.8876539,0.03522137,0.9682678,0.08907991
0.8859839,0.036171507,0.9662399,0.08884964
0.90686285,0.03746604,0.9447146,0.08608513
0.8784047,0.037975587,0.9669074,0.091773845
0.8967727,0.03803276,0.94968134,0.08854031
0.8843223,0.03721179,0.96920204,0.0923316
0.86650884,0.034709882,0.9859977,0.094344
0.89819986,0.04101019,0.9394377,0.08736044
0.8891145,0.036733717,0.967221,0.09009233
0.8809889,0.033878297,0.97981024,0.09098953
0.8981064,0.039134905,0.94635195,0.08796069
0.89197874,0.03652714,0.9594736,0.08912681
0.90534514,0.035646252,0.96293753,0.08937258
0.8671674,0.03186724,1.002863,0.094396666
0.8814645,0.033446286,0.9819907,0.09017146
0.9008834,0.040043663,0.9406329,0.08813509
0.91533303,0.04015797,0.93115884,0.08656204
0.8820257,0.035618737,0.9787029,0.0932908
0.88365126,0.033728693,0.97860545,0.09091262
0.8825375,0.03789951,0.96086705,0.09146207
0.8925869,0.03665194,0.9566201,0.08741364
0.88260514,0.03422934,0.97764665,0.09165882
0.8771599,0.033597957,0.9871937,0.09216401
0.8908744,0.036752954,0.9583838,0.08834543
0.89332646,0.03832145,0.9560412,0.09051566
0.89789,0.036858205,0.9592884,0.08879626
0.8747636,0.033251908,0.9904649,0.094151914
0.8951225,0.03882068,0.94997025,0.089851506
0.8885651,0.035664752,0.9634136,0.088074595
0.89609015,0.037923515,0.9592196,0.08771433
0.8886177,0.036595114,0.967914,0.09137473
0.8728619,0.03401743,0.98350006,0.09033525
0.86110425,0.03560124,0.9832589,0.092723
0.8814265,0.032784812,0.9875291,0.09148556
0.8813097,0.033462964,0.98833096,0.093421094
0.8823378,0.037675586,0.9671061,0.09217834
0.9150159,0.038174663,0.94478226,0.08816481
0.894228,0.036678147,0.95832163,0.0891955
0.8962928,0.036227494,0.95946926,0.08786691
0.88975394,0.03466422,0.97516173,0.09072928
0.8796021,0.03588595,0.970404,0.090734296
0.88048744,0.035299007,0.9774222,0.09213714
0.88183886,0.03443168,0.97504646,0.08960369
0.8996921,0.03458287,0.9682755,0.08962672
0.9041243,0.035170946,0.95823276,0.0874439
0.9012249,0.038985297,0.94318545,0.08684847
0.8890282,0.038783446,0.9505097,0.087634
0.8925782,0.039360218,0.94934875,0.08967039
0.8774782,0.03656211,0.97036344,0.091528535
0.899138,0.039006792,0.9433501,0.0877904
0.8958749,0.035049845,0.96850944,0.08977337
0.89423674,0.03789818,0.9505943,0.08908373
0.8868153,0.03879359,0.9535128,0.0876653
0.89371854,0.0391298,0.949035,0.09028325
0.8995243,0.036179624,0.9577222,0.088559985
0.8795324,0.037366476,0.96495366,0.08931795
0.8834303,0.035495043,0.97199506,0.0910501
0.8792416,0.03619039,0.9740568,0.092163794
0.8927159,0.033468343,0.98362577,0.09321827
0.8967747,0.03542348,0.96446973,0.09051924
0.90444285,0.035500687,0.95344424,0.0862559
0.88035834,0.03640214,0.96902275,0.09036597
