$\alpha$,$\beta$,$\gamma$,$\delta$
2.186291,0.07317639,3.4701262,0.07192886
2.2775557,0.08441645,3.3098452,0.068673074
2.2091782,0.08598843,3.342394,0.070679545
2.1834059,0.07824768,3.4183984,0.072381936
2.2756264,0.08943173,3.2746367,0.06751083
2.146089,0.07818679,3.4345815,0.07466387
2.1440196,0.07761031,3.4382486,0.07584059
2.1675482,0.08196872,3.3897657,0.07363039
2.2238867,0.07764182,3.3915637,0.07136346
2.1688826,0.08115288,3.4025276,0.07291422
2.1428893,0.07761576,3.4577942,0.073925585
2.228662,0.08069937,3.3670535,0.07093977
2.3072143,0.083534,3.3004038,0.06686987
2.1553628,0.07285865,3.4666684,0.075750455
2.220371,0.08168924,3.3528335,0.072107814
2.2115903,0.08462653,3.3497043,0.07103177
2.321197,0.08586867,3.2652645,0.06763129
2.208705,0.08002439,3.3660147,0.07319768
2.2077253,0.076642096,3.4269743,0.07000878
2.2587998,0.08794741,3.2835915,0.069487534
2.2235107,0.08108374,3.3638098,0.0717162
2.1329732,0.07758723,3.4307702,0.07720151
2.2161841,0.08679691,3.3078797,0.07330215
2.14097,0.071403556,3.469186,0.07839606
2.154564,0.07746862,3.4535334,0.07281941
2.1906013,0.07751825,3.3948863,0.07448181
2.2647042,0.08646517,3.3010097,0.06826052
2.201843,0.08358638,3.3839993,0.06934547
2.1284323,0.072165035,3.5177782,0.07452447
2.2987475,0.08378363,3.2985144,0.06775081
2.2007816,0.07884143,3.3738396,0.07453123
2.2940915,0.083389536,3.3109636,0.067689955
2.191412,0.08094278,3.38643,0.07218614
2.2845178,0.08487015,3.323432,0.065995015
2.0875263,0.072536156,3.5259733,0.076934345
2.3209527,0.0859273,3.3049283,0.063726485
2.1659155,0.07228795,3.4530773,0.07758798
2.1516168,0.07446492,3.4527423,0.07594815
2.169723,0.07757843,3.4263859,0.07276381
2.171431,0.07683536,3.4359221,0.073107086
2.0961761,0.072992906,3.4961972,0.08010703
2.1921737,0.076898605,3.4298904,0.07159835
2.173326,0.077325426,3.4410636,0.07236957
2.2786593,0.086795084,3.291621,0.06813087
2.1978924,0.08499858,3.3340447,0.07401006
2.2775993,0.08541894,3.3053975,0.06768907
2.1335201,0.07152553,3.4894116,0.07775232
2.183325,0.08244373,3.3904593,0.071577616
2.3637733,0.08845669,3.258311,0.062347613
2.3342376,0.0901043,3.2584698,0.06362521
2.224621,0.07797031,3.4064748,0.06902561
2.210986,0.078303196,3.4047773,0.07106536
2.3023756,0.0891626,3.26825,0.06576453
2.1180093,0.07391722,3.4937603,0.075960755
2.2348874,0.08592603,3.3324716,0.06885008
2.298369,0.08257569,3.322541,0.06683726
2.3629804,0.084880956,3.2801533,0.06334846
2.285486,0.08116292,3.339868,0.067149535
2.2834032,0.08023883,3.3315032,0.069372855
2.1829233,0.08327613,3.3734858,0.07287051
2.323078,0.093855985,3.2233799,0.065219074
2.1679652,0.067098334,3.528953,0.0732825
2.2413766,0.08286937,3.3401945,0.070553355
2.1641178,0.072482996,3.4868987,0.0727606
2.167715,0.07772363,3.4199574,0.07411005
2.2638555,0.08001579,3.3713107,0.06744295
2.1666653,0.06918962,3.5056314,0.07355307
2.2292645,0.08012298,3.3470209,0.07294014
2.100826,0.081193216,3.4527814,0.07601543
2.1314197,0.068356596,3.533855,0.07699009
2.2368362,0.08384531,3.3230166,0.07122146
2.1656237,0.074138805,3.4630227,0.073568955
2.259494,0.08925393,3.2793565,0.06905096
2.2970648,0.08029861,3.3514175,0.065716095
2.180859,0.073882416,3.4480917,0.073675625
2.2327166,0.084595084,3.3230445,0.07183469
2.1717517,0.075526856,3.4333987,0.0741344
2.2061186,0.06822239,3.4876225,0.073046826
2.18879,0.07661369,3.431589,0.07139358
2.2220492,0.07604367,3.4235966,0.06974728
2.2647228,0.08859695,3.2750237,0.06973521
2.1498115,0.07639813,3.4381466,0.0754522
2.1876674,0.078051575,3.3904734,0.075112626
2.2288089,0.08014178,3.350883,0.072591886
2.1017294,0.07280197,3.5138748,0.07774437
2.2561889,0.08281172,3.3262713,0.069670446
2.181199,0.08480267,3.3764405,0.07165418
2.144501,0.0724788,3.4893765,0.07430359
