$\beta$,$\gamma$
0.35953972,0.08793538
0.35797167,0.08738915
0.3573595,0.08467616
0.35773772,0.084111646
0.35799262,0.090173006
0.36859572,0.095615126
0.36181083,0.08869146
0.35811588,0.08734293
0.36510497,0.09265683
0.36353445,0.0903664
0.36408624,0.09325054
0.364775,0.0929321
0.36364415,0.091226995
0.3635858,0.09196725
0.36343873,0.091028176
0.36122513,0.08953941
0.35791576,0.088240385
0.3595639,0.089660384
0.36437914,0.09372354
0.36142954,0.09015776
0.3599467,0.090173006
0.3664004,0.092011906
0.36294615,0.09319687
0.3598978,0.08955728
0.36064675,0.087799355
0.35916573,0.08744284
0.35856014,0.08711244
0.36047122,0.0846614
0.36405128,0.09087623
0.3592059,0.0891777
0.3624595,0.08934874
0.36559254,0.09427
0.36304772,0.09025028
0.36414224,0.09223372
0.35843724,0.08723627
0.36035585,0.08927511
0.35975593,0.08707145
0.36309722,0.08916158
0.3605741,0.09026675
0.3600992,0.089486696
0.35993624,0.089952804
0.3606534,0.0857423
0.36227098,0.091666795
0.36148447,0.08938933
0.36355773,0.092856795
0.36165673,0.09003826
0.3604629,0.08933641
0.3590544,0.08854141
0.36322626,0.08830134
0.36267233,0.09219665
0.35810906,0.08712648
0.35938364,0.086170286
0.3605846,0.090674154
0.36030468,0.089524664
0.36291254,0.08942717
0.35798553,0.084190674
0.35760584,0.09065527
0.36260307,0.08857732
0.36714792,0.0924301
0.361894,0.08982424
0.36134458,0.089139566
0.36475578,0.09304978
0.36230546,0.09114797
0.3636391,0.091808334
0.3648807,0.09180393
0.36691546,0.09321558
0.3612356,0.08852155
0.3646054,0.08850659
0.36761427,0.09554553
0.36243647,0.09266637
0.3620939,0.092960216
0.3583855,0.09077435
0.35883176,0.08774344
0.36407217,0.09138354
0.35739854,0.08842884
0.35900512,0.088448
0.36212748,0.08959207
0.36314276,0.08727936
0.36637944,0.089824945
0.36491403,0.0922895
0.3587243,0.08738757
0.3617184,0.088395596
0.36467794,0.09343272
0.36144015,0.09074215
0.3626176,0.08629424
0.3599173,0.088708565
0.36377764,0.0894572
0.3622747,0.09468972
0.36251187,0.086688265
0.3652637,0.0917402
0.3612816,0.088284306
0.3611337,0.08928267
0.36450693,0.09474774
0.36249647,0.091690995
0.36387765,0.09038226
0.36195683,0.091337316
0.36536673,0.09197273
0.36215338,0.09299985
0.36271518,0.0864606
0.36480165,0.09077437
0.36341545,0.09245487
0.36054823,0.09037459
0.3641436,0.09025949
0.36228615,0.09290155
0.3624179,0.08838776
0.36259797,0.08805121
0.35939026,0.0860832
0.36088723,0.08650879
0.3635508,0.088629395
0.36178818,0.087579876
0.36598003,0.09199855
0.36594468,0.09189733
0.36205184,0.087013945
0.36794385,0.093199246
0.36132517,0.09032121
0.3589513,0.089844525
0.35971805,0.09070207
0.35906813,0.087640055
0.35793766,0.089604676
0.36017546,0.090250045
0.36211348,0.089582354
0.36234534,0.088871785
0.3594226,0.08984585
0.3603436,0.092282265
0.36219427,0.090951905
0.36295277,0.09041612
0.35636458,0.08585327
0.35546598,0.08717375
0.36262003,0.09136504
0.36580268,0.09227368
0.3623865,0.09130936
0.35879508,0.08680115
0.35529307,0.08865862
0.36127245,0.091791235
0.36382878,0.08938611
0.36407724,0.08893734
0.35943687,0.08909063
0.36106738,0.090235785
0.36351636,0.09157665
0.3643122,0.09290263
0.36133412,0.08678577
0.3631003,0.09141208
0.35972098,0.0852007
0.36433598,0.09222448
0.35556746,0.08700247
0.3623092,0.088767
0.36309472,0.08931026
0.36242625,0.09162338
0.36183235,0.0921632
0.3632872,0.088975795
0.36410585,0.09401025
0.36234182,0.09059915
0.36240175,0.08902974
0.35568857,0.089724325
0.35652775,0.084797375
0.36077642,0.08658158
0.35906065,0.088595234
0.36106002,0.08577054
0.36073527,0.08948909
0.36306307,0.08873118
0.36057475,0.08990666
0.3640174,0.08939792
0.3593033,0.091481894
0.36032042,0.08899277
0.36096296,0.09310925
0.36038873,0.088655055
0.35939768,0.08566165
0.36286193,0.09331829
0.36046883,0.08971136
0.35918513,0.091612265
0.36438426,0.09065254
0.3604829,0.09179956
0.3646257,0.09193831
0.36134833,0.08904848
0.3614075,0.09375668
0.36125228,0.08894328
0.35946205,0.09086928
0.35752082,0.08646608
0.3585867,0.08906817
0.36392513,0.08911562
0.35732728,0.08549915
0.3652558,0.094610736
0.35807765,0.089044705
0.36023512,0.089541696
0.3578859,0.086947754
0.36290336,0.08892835
0.36245614,0.08939336
0.3639024,0.0885843
0.35879952,0.09148632
0.35969907,0.08933807
0.3639977,0.09189992
0.36163113,0.092520915
0.36150518,0.08582254
0.36305436,0.08977669
0.36318177,0.086466745
0.36422837,0.08953264
0.3609957,0.089437045
0.35822842,0.08747925
0.3591135,0.086891405
0.35594422,0.0895866
0.36516434,0.09285343
0.36385086,0.09303955
0.36264354,0.08789499
0.35891733,0.08590594
0.36228198,0.09044967
0.36398962,0.08980938
0.361616,0.089698635
0.3573917,0.08780101
0.36018553,0.08772608
0.36004162,0.09014785
0.36019236,0.08902093
0.36684278,0.09327854
