$\alpha$,$\beta$,$\gamma$,$\delta$
0.53616023,0.047888067,1.0176984,0.114684984
0.5374372,0.048871733,1.008303,0.11314396
0.529187,0.045530725,1.0314981,0.114406176
0.520112,0.046407834,1.0384728,0.11437064
0.5394246,0.04579504,1.016556,0.113601364
0.53586024,0.046853814,1.015073,0.11302355
0.5350017,0.0487959,1.0085409,0.11273679
0.53225505,0.04408358,1.0396644,0.1167765
0.53788185,0.049731903,1.0032488,0.11094394
0.530747,0.047308303,1.0112084,0.11139232
0.5290572,0.042755753,1.0436361,0.1161031
0.53848106,0.050967492,0.99182034,0.11049845
0.5255213,0.045063633,1.0321035,0.11355698
0.5272709,0.047471996,1.0249541,0.114501
0.5294412,0.0455475,1.0379313,0.117155716
0.5230276,0.04410487,1.0377173,0.11472857
0.54354465,0.050025955,0.9950083,0.11171658
0.5318382,0.045558415,1.0222771,0.11361818
0.5330467,0.051082745,1.0022619,0.11155572
0.5307263,0.049232297,1.0130005,0.113649935
0.5318631,0.051114496,1.0080352,0.11320599
0.5177223,0.04520596,1.0409994,0.11389246
0.5303363,0.050001584,1.0176108,0.1156354
0.5325937,0.044977754,1.0303757,0.114366956
0.53284585,0.04440085,1.0260618,0.11376255
0.52781874,0.049879562,1.0128654,0.11362352
0.5336906,0.045872647,1.028067,0.11520271
0.51996696,0.043345954,1.0479599,0.1151571
0.531489,0.04998249,1.0048321,0.112511344
0.5279427,0.04337797,1.0347322,0.114740804
0.5351568,0.04378167,1.0347093,0.11597321
0.53583986,0.04806957,1.0190178,0.11424383
0.5269631,0.047706373,1.0216106,0.11293323
0.5241739,0.0453273,1.034959,0.11318222
0.5366916,0.0480618,1.0049211,0.112843096
0.52499664,0.04672567,1.0356706,0.11541464
0.53778744,0.049168307,1.0062218,0.11271532
0.54518294,0.05273952,0.9764751,0.10921542
0.5356947,0.044958852,1.0326655,0.115033284
0.52958614,0.048158977,1.0238231,0.11589297
0.52465075,0.0416267,1.0540029,0.11662303
0.52965236,0.049553573,1.0063188,0.111607514
0.53296757,0.046912175,1.0233209,0.1156348
0.5283914,0.0470303,1.0223259,0.11365497
0.5362541,0.04754314,1.0292732,0.116652146
0.5294072,0.04558749,1.0349019,0.11553055
0.5229841,0.04759683,1.0234085,0.11340095
0.5353291,0.047815394,1.015847,0.11404552
0.52335864,0.048091684,1.0197164,0.11235338
0.53696066,0.047650583,1.0052025,0.11127134
0.53473973,0.051032774,1.004082,0.11187259
0.52722985,0.04481881,1.0421132,0.1166732
0.5318653,0.049592175,1.005001,0.11137259
0.5337771,0.04706964,1.0154469,0.113485605
0.5317913,0.050687708,1.0072608,0.11272843
0.53824806,0.050669692,0.9948467,0.110572055
0.53086764,0.04989749,1.0153748,0.113650665
0.5235207,0.043448705,1.049759,0.11683989
0.5208491,0.044677865,1.043858,0.11514859
0.5358414,0.0490774,1.006835,0.11348271
0.53443015,0.0475332,1.0176796,0.114786334
0.5354942,0.04717957,1.0185732,0.11433642
0.5351652,0.048977785,1.0081555,0.112549685
0.5434631,0.050430086,0.9873907,0.111152284
0.5368146,0.052684575,0.99058443,0.11024052
0.5345326,0.046798564,1.014724,0.11262474
0.5268096,0.047170423,1.0182056,0.11264198
0.538874,0.04633543,1.0152197,0.11318877
0.5207229,0.046730127,1.0272629,0.112883806
0.52815676,0.044562325,1.0281109,0.11285364
