parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10
0.3968091,0.008493423,-0.12651013,0.5423556,-0.47641748,0.39537892,-0.3306364,0.2185701,0.10649221,-0.40708753
0.43103355,0.064538196,-0.04579185,0.023128897,-0.33605817,0.39670926,-0.25290868,0.2020098,0.096183024,-0.23029602
0.33267865,0.03099206,0.056257963,0.34861577,-0.04528451,0.46063974,-0.11240585,0.018280491,0.22959003,-0.58404934
0.09664875,0.11794616,-0.097405165,0.6190424,-0.83767414,0.7014394,-0.25800142,0.34031153,0.5388504,-0.2936694
0.13348725,0.3954597,0.55377823,-0.0035701394,-0.44375575,0.0036117733,-0.106017336,0.36973947,0.33782965,-0.24853235
0.29070768,-0.12259781,0.36854893,0.2538836,-0.5188227,0.333466,-0.3979602,0.7521279,0.62141573,-0.09002733
0.19720478,0.25199786,-0.15199004,0.39105487,-0.011005402,0.3133951,-0.24612448,0.66401815,0.6475064,-0.6473391
0.34873867,0.061211824,0.1533787,0.46120334,-0.26035386,0.46551505,0.1558589,0.37437266,0.381924,-0.3075586
-0.1825475,0.3130254,0.15594439,0.4383087,-0.1550431,0.43465182,0.053207375,0.52136517,0.30300978,-0.8912461
0.19737181,0.35289454,0.17645267,0.11316492,-0.6452703,0.22311436,-0.12588695,0.3285369,0.35010803,-0.23620063
0.0837107,0.5045253,0.17134647,0.42302766,-0.31548393,0.54756224,0.098179705,0.29709783,0.30539647,-0.579794
0.32454386,0.5512922,0.37563294,0.48511156,-0.31770742,0.28264403,-0.19800708,0.3222951,0.3517751,-0.28352094
0.3305604,0.14729132,-0.056441337,0.18155544,-0.24983181,0.24104947,-0.0018409714,0.642114,0.2423141,-0.67500865
0.0744061,0.5383527,0.15810859,0.3181628,-0.057139754,0.4502919,0.20883185,0.011800945,-0.19032654,-0.67020935
-0.24586429,0.3724765,-0.05668217,0.43079388,-0.47005478,0.27643102,-0.3974081,-0.36237726,0.57503915,-0.3949679
0.21900725,0.36942264,0.09575122,0.18975368,-0.4245118,0.38293165,-0.0821615,0.4471808,0.5985457,-0.5875405
-0.27595043,0.17706044,-0.16776054,0.6328145,-0.4275552,0.56591994,-0.062698975,0.09411441,0.084694654,-0.51431316
0.23487338,0.32568568,0.21255496,0.14036149,-0.4231587,0.47471786,0.24733135,0.18425749,0.1953976,-0.006512314
0.07920347,0.16871628,-0.19191624,-0.026452959,-0.19853081,0.17880908,-0.19688761,0.021782696,-0.23888654,-0.5939901
0.20352158,0.4109208,0.08083969,0.21416552,-0.1723875,0.17320627,0.030129977,0.19610621,0.091970816,-0.49916798
