$\alpha$,$\beta$,$\gamma$,$\delta$
0.8947889,0.019708015,0.6926931,0.07696754
0.8989676,0.02054893,0.68223417,0.074271694
0.8999536,0.020302335,0.6828359,0.0744757
0.8974583,0.019248018,0.69265205,0.07537784
0.9068014,0.01990045,0.6802662,0.07260516
0.9140451,0.020971425,0.6757876,0.0742607
0.9110915,0.020183912,0.67984265,0.07270373
0.91529626,0.020914832,0.6750539,0.07344019
0.896246,0.02032522,0.68785423,0.07635886
0.9136591,0.02150872,0.6723781,0.07401474
0.8991738,0.019602206,0.688223,0.07414805
0.8976643,0.019283079,0.6915511,0.074981995
0.8974851,0.020497065,0.68485296,0.07523347
0.9198061,0.02202821,0.66774803,0.07136635
0.91427845,0.02178578,0.67216724,0.07401793
0.90528965,0.019696293,0.6884381,0.075272955
0.9004138,0.020117909,0.68799746,0.07515232
0.9130724,0.021030122,0.67346495,0.07214026
0.90868574,0.022233715,0.6717068,0.07374821
0.9144584,0.021815885,0.67046887,0.07345871
0.9033902,0.01891705,0.6968155,0.076755896
0.9087288,0.019753654,0.68278253,0.07374124
0.90283084,0.020498931,0.6870441,0.07597803
0.9044364,0.0198,0.6871941,0.07437154
0.9003845,0.020546595,0.68294334,0.0751168
0.9058902,0.021485405,0.67609173,0.07450722
0.9092879,0.020021625,0.68132985,0.074213
0.897476,0.021525485,0.68059826,0.076760046
0.904124,0.019368961,0.68726,0.07366505
0.89863443,0.019324103,0.6915024,0.07495881
0.922455,0.020312537,0.67882246,0.07390418
0.90514344,0.020033486,0.6872906,0.07596168
0.89285403,0.020400926,0.6884101,0.07672099
0.8950554,0.01970023,0.69418764,0.07734018
0.9130439,0.019588774,0.6853493,0.0734722
0.9071097,0.020478625,0.6812701,0.07448372
0.9045638,0.02086532,0.68257505,0.07583381
0.9131626,0.021032399,0.6776953,0.07410726
0.9152561,0.021554789,0.67285055,0.07319492
0.90436417,0.020748762,0.6786465,0.074020155
0.9118201,0.02062678,0.67913187,0.07468438
0.89704704,0.020669304,0.68363696,0.07613195
0.893507,0.019855518,0.69148254,0.077013776
0.8915493,0.02070638,0.68338203,0.07505429
0.90228873,0.020584526,0.68119663,0.073245525
0.91907066,0.023007946,0.66659963,0.072287105
0.9018694,0.021326883,0.67797375,0.07407767
0.9009347,0.018920243,0.69422656,0.07526931
0.9161086,0.022295324,0.67379624,0.075865224
0.9067771,0.021741498,0.67444986,0.07308562
0.903896,0.021154856,0.67595524,0.07339471
0.9187648,0.0201213,0.6775011,0.07181176
0.90734625,0.021311639,0.6749224,0.07381454
0.92254055,0.021038422,0.6733886,0.07342973
0.9013734,0.019606749,0.68782896,0.07578877
0.93630904,0.022704886,0.6581669,0.07017122
0.8947709,0.018716613,0.6956549,0.07612138
0.8993525,0.01949723,0.6877605,0.07526915
0.88777655,0.018673819,0.7021302,0.078308985
0.89278483,0.020592708,0.68977,0.07733175
0.89618057,0.021453198,0.6792422,0.07499628
0.8986104,0.02013565,0.6839939,0.07463418
0.89207107,0.018958688,0.69759464,0.07729684
0.8887943,0.01869567,0.69716173,0.076343976
0.9121536,0.020362716,0.67978126,0.07406618
0.90286034,0.021482978,0.6794324,0.07462054
0.90753233,0.020279288,0.6806287,0.074007414
0.9019668,0.019995412,0.68358034,0.07345218
0.9067428,0.0207302,0.6799401,0.075463764
0.912398,0.019128045,0.6857097,0.07369235
0.8952746,0.019884562,0.6873746,0.075213306
0.9130196,0.019297939,0.68570286,0.073891416
0.9072947,0.020496503,0.6813045,0.07493235
0.9161271,0.020811047,0.67611516,0.07285703
0.9020119,0.019176342,0.69033337,0.07520375
0.91402113,0.0202791,0.6806495,0.07355964
0.9001903,0.020885836,0.6809883,0.07465985
0.9106698,0.021694813,0.67600805,0.07366314
0.9093725,0.021215813,0.6786286,0.07401299
0.9084515,0.020506328,0.67805076,0.07267448
0.90685904,0.02080703,0.680099,0.074512176
0.8898221,0.0187557,0.6979752,0.07631113
0.8998917,0.020151114,0.688696,0.07573276
0.9106588,0.020287726,0.6821377,0.07470635
0.9085133,0.019471658,0.6840647,0.0739588
0.8998204,0.017693704,0.7040224,0.07621316
0.89979583,0.018230876,0.6989797,0.07712174
0.92273396,0.020137912,0.67936945,0.073836125
0.9150719,0.02257069,0.670624,0.074450806
0.91286665,0.020012481,0.681843,0.07359733
0.90187764,0.019930748,0.6841584,0.073737465
0.9114338,0.022675322,0.6686039,0.07329119
0.9170939,0.021921776,0.6692116,0.07383533
0.9034006,0.021056868,0.6797909,0.074674815
0.90086603,0.020891225,0.68095136,0.07557599
0.9006973,0.020238517,0.6866923,0.07598546
0.9146303,0.021534458,0.6737105,0.07293738
0.90660745,0.019585766,0.68528515,0.074281804
0.90783995,0.01990223,0.6812018,0.07253873
0.8937967,0.020481985,0.6835706,0.07359171
0.90896356,0.020028753,0.6847019,0.074617974
0.90619195,0.020796841,0.6805739,0.07496428
0.90566033,0.018851846,0.6925194,0.07505597
0.91042286,0.020877985,0.6770992,0.073486336
0.9114228,0.020154238,0.68026006,0.073663525
0.91043353,0.02176971,0.67130333,0.07293889
0.91306496,0.020680016,0.67784584,0.073582485
0.90643317,0.020281818,0.6811498,0.07344588
0.8880983,0.019315822,0.69430137,0.07673471
0.9108247,0.02138291,0.67718524,0.0741159
0.89732397,0.020567758,0.6837858,0.07581064
0.9279679,0.020662146,0.6726226,0.07168714
0.91385514,0.02055706,0.67739016,0.0724821
0.89649534,0.019672083,0.6893268,0.075966604
0.9062446,0.02087342,0.67946213,0.07358629
0.88531375,0.019555891,0.6962454,0.07589944
0.9113271,0.018705877,0.6861101,0.07204626
0.91721356,0.020753441,0.6754335,0.07191446
0.9158817,0.020979041,0.6768777,0.07286622
0.9081052,0.020447498,0.68155515,0.07496294
0.9196038,0.02011906,0.680022,0.073696606
0.9121317,0.020125326,0.68123144,0.074673675
0.91280377,0.01930955,0.6819289,0.07247206
0.9141444,0.022197386,0.6722702,0.07451479
0.90013766,0.018714467,0.6950575,0.076378345
0.9158918,0.021865949,0.66916305,0.072764
0.9053594,0.02096929,0.6805754,0.07539534
0.89249116,0.019807395,0.68704367,0.07346213
0.90356153,0.01937406,0.6880862,0.07460399
0.9052178,0.019233223,0.68529016,0.072841555
0.9105718,0.021150183,0.6756629,0.07405745
0.907258,0.02035367,0.68090016,0.07409848
0.9054099,0.01825236,0.69684094,0.07548174
0.8999165,0.021130294,0.6820311,0.074956916
0.89119923,0.019993553,0.69021624,0.0764502
0.9260293,0.022596847,0.66276306,0.07130517
0.9168905,0.02089274,0.6762222,0.07358904
0.9206227,0.022142526,0.6676964,0.071856186
0.91763145,0.020027846,0.675732,0.0710272
0.89890873,0.018886635,0.69269544,0.07506569
0.92224354,0.02069608,0.6740322,0.07221968
0.90648407,0.019780759,0.6851021,0.07384667
0.9132874,0.021781059,0.6736702,0.07446375
0.8969575,0.022122912,0.6770491,0.07562194
0.9069886,0.020656805,0.68325424,0.076549456
0.90437514,0.021109326,0.67603517,0.07364252
0.9055934,0.019591507,0.6850259,0.07390439
0.920184,0.021725897,0.66866803,0.0728677
0.90598977,0.019704772,0.6870532,0.07529903
0.90868765,0.02014814,0.6827605,0.07360204
0.9059861,0.019742524,0.68340325,0.07359485
0.91903454,0.020471752,0.6767407,0.07253488
0.9043961,0.020802643,0.6804057,0.07404624
0.8937298,0.018891936,0.6916783,0.075308405
0.9035051,0.019924697,0.6893101,0.07623667
0.9207675,0.021852143,0.6711134,0.07277875
0.89976406,0.020935401,0.68194616,0.074357875
0.87611973,0.019384641,0.7009909,0.07894959
0.8918965,0.01968093,0.69157875,0.07650275
0.92258716,0.021896519,0.6696594,0.07280608
0.899294,0.020495512,0.6822534,0.07501998
0.9107733,0.02029047,0.6777264,0.0722561
0.8917878,0.021359663,0.6833168,0.07420404
0.9063197,0.020859366,0.67801493,0.073145285
0.9104231,0.018626694,0.6903091,0.073451914
0.8871598,0.019510763,0.6920899,0.075833976
0.914927,0.021762207,0.67096055,0.07244204
0.89840823,0.01989581,0.68572694,0.07433105
0.89259905,0.01936469,0.6944632,0.07638233
0.9128114,0.019094892,0.68674326,0.07306305
0.9142325,0.02066787,0.67660385,0.071803406
0.9137947,0.021691106,0.67122895,0.07251593
0.9135452,0.01947273,0.6848723,0.07435321
0.9093515,0.020087484,0.68102235,0.07359799
0.9165494,0.021439617,0.6723506,0.07289138
0.91860276,0.021627052,0.6719802,0.073645346
0.8917472,0.019279167,0.69120216,0.074430026
0.89637744,0.019357102,0.69315916,0.07580122
0.8922826,0.019333325,0.69158244,0.07651541
0.90648705,0.019362146,0.68722904,0.07458738
0.911945,0.019882035,0.67977697,0.07309269
0.9142785,0.021873666,0.66974646,0.0725314
0.90031284,0.018510908,0.69697756,0.07663967
0.8971838,0.020216964,0.68834734,0.07545824
0.8995043,0.019931832,0.6864321,0.075319685
0.90435845,0.020961927,0.6788456,0.073424146
0.9021834,0.019795166,0.68730253,0.07456979
0.90899426,0.021351181,0.67272395,0.07273748
0.9155579,0.02082991,0.6771402,0.07472784
0.90239704,0.018827789,0.692475,0.07534528
0.9159086,0.021778552,0.6684891,0.07231258
0.9108916,0.02051157,0.68089473,0.07492297
0.9396414,0.022188634,0.6588393,0.069965765
0.91224116,0.019689701,0.68349093,0.073678225
0.89584064,0.018374033,0.6973265,0.07545501
0.9121596,0.018660253,0.6919956,0.074611746
0.9156281,0.020164168,0.6798133,0.073520266
0.90808886,0.02107174,0.6798315,0.075592645
0.921877,0.02065366,0.6733422,0.07143923
0.88585615,0.019394312,0.6951821,0.077180415
0.92068756,0.020529721,0.67481637,0.0729267
0.9165288,0.020866942,0.671746,0.07256399
0.90486205,0.02138008,0.6800044,0.07609556
0.91733897,0.02267601,0.6653702,0.07268116
0.9133561,0.020589272,0.67790496,0.07327239
0.91020876,0.021718148,0.6755021,0.07465098
0.90855414,0.02130341,0.6749842,0.073119864
0.91489506,0.019783003,0.6813989,0.07333578
0.9021916,0.020949742,0.6782591,0.07419376
0.9180211,0.02151823,0.67124456,0.071830764
0.90316194,0.02028028,0.6828385,0.07375661
0.91050476,0.020657077,0.6754552,0.071946785
0.9093397,0.022211123,0.6699722,0.074759774
0.9078982,0.019485492,0.6891264,0.07431097
0.91910017,0.020320572,0.6738136,0.07172509
0.9161029,0.02035567,0.6775857,0.0732978
0.90298504,0.021498594,0.67753327,0.07535023
0.90048933,0.018430024,0.7006659,0.07764499
0.90158695,0.019772498,0.6844925,0.07417604
0.91165406,0.019770956,0.68207175,0.07265772
0.89171565,0.018979903,0.69556516,0.07640728
0.92157423,0.02077409,0.67289084,0.0709711
0.90410477,0.019882234,0.6881432,0.07568677
0.9124229,0.020708218,0.67852145,0.07385956
0.9261107,0.021760043,0.6680637,0.07226482
0.9128706,0.020741317,0.6767566,0.07275949
0.8974283,0.0212415,0.6781652,0.07417864
0.91305006,0.01949452,0.6855797,0.07487916
0.90770537,0.021418313,0.6769939,0.0748242
0.9031288,0.019313555,0.68648756,0.07288749
0.91130555,0.021066645,0.6772679,0.073717624
0.890911,0.019219963,0.696343,0.07758108
0.895123,0.019492963,0.6905035,0.07504037
0.9180776,0.019813647,0.67831784,0.071733266
0.9206198,0.021745455,0.6684806,0.07245415
0.89589936,0.019256767,0.693382,0.07711968
0.9185354,0.021868946,0.66864586,0.07257667
0.9078555,0.02157962,0.67274404,0.073734686
0.9062739,0.01962344,0.68744874,0.07631274
0.8945027,0.01902383,0.69503665,0.0759592
0.91581804,0.021622546,0.67126745,0.07290358
0.91395915,0.02139782,0.6734278,0.07318998
0.9041991,0.020713491,0.6813504,0.073055826
0.8902729,0.018970435,0.6968782,0.07606113
0.9007763,0.020062959,0.6882188,0.07540021
0.9117083,0.020847006,0.67643136,0.073028594
0.8954499,0.019691646,0.69105864,0.07594254
0.9183886,0.020607742,0.6750679,0.0723789
0.9032839,0.02090085,0.67930835,0.07330418
0.9183728,0.020668333,0.6704825,0.07131748
0.8945773,0.020163523,0.68931144,0.07647613
0.90906376,0.019634727,0.68251115,0.072523326
0.89989483,0.019249542,0.6892807,0.075100556
0.9008631,0.019075934,0.69308525,0.075573325
0.9001502,0.019448135,0.6898122,0.0749532
0.9051121,0.019997686,0.68083054,0.07346826
0.90363955,0.01937229,0.68702227,0.07398857
0.91194177,0.020916577,0.6788412,0.07371887
0.91472125,0.021694819,0.6717761,0.072795756
0.92243624,0.02239987,0.66444486,0.07203544
0.9027033,0.022829805,0.671219,0.074129194
0.92395645,0.02047342,0.6747555,0.07218427
0.9006362,0.020136682,0.685746,0.0740156
0.89563656,0.020068333,0.68643934,0.07537383
0.9128622,0.021147389,0.6734823,0.07277377
0.911822,0.020096106,0.6799786,0.073559225
0.9116807,0.020620285,0.68113345,0.07409511
0.91091084,0.020035522,0.6818416,0.07309311
0.9289686,0.022009647,0.66581863,0.07116164
0.91907394,0.021230092,0.6695978,0.07253071
0.8909918,0.019167272,0.6946908,0.07664753
0.91082865,0.020145416,0.6804869,0.073267706
0.90778553,0.019597095,0.68432015,0.07466679
0.9200051,0.021439137,0.6701023,0.07180474
0.9036999,0.020258518,0.6862214,0.076689914
0.90401745,0.020167777,0.68493104,0.0751632
0.9039311,0.019894302,0.6832335,0.07426795
0.9010561,0.018747734,0.69389796,0.075306684
0.8973731,0.02159502,0.6804396,0.075001985
0.9364927,0.02279085,0.65777993,0.06912199
0.91246617,0.020904941,0.6750775,0.07360594
0.91917706,0.020205958,0.67780286,0.073949985
0.9158038,0.022224896,0.66994965,0.07362235
0.9099871,0.020464977,0.67827225,0.0728621
0.9107769,0.021564966,0.6748209,0.07346623
0.9104383,0.021365566,0.6729161,0.07283147
0.893392,0.019686928,0.68932575,0.07517093
0.90111816,0.020168291,0.6849202,0.07516956
0.8981672,0.019285684,0.6882102,0.07507143
0.9098688,0.020669157,0.6799526,0.074729264
0.9042927,0.021295223,0.68121684,0.07507693
0.920234,0.021254452,0.67159414,0.07238984
0.9025889,0.019796696,0.685856,0.074784674
0.8973925,0.01887796,0.69384336,0.07629004
0.9074499,0.019984007,0.68188924,0.074187025
0.9028735,0.020290615,0.68308634,0.074946895
0.9236464,0.021612542,0.67063344,0.07199093
0.88748205,0.019365143,0.6958609,0.0775313
0.90506256,0.021366682,0.6751309,0.07380601
0.91471,0.02093923,0.6769021,0.07305346
0.9069961,0.021272372,0.67830825,0.07391425
0.90624183,0.020275779,0.68634367,0.07610728
0.9082632,0.020500334,0.6838848,0.075224385
0.9101309,0.020506924,0.6803822,0.07437929
0.89991766,0.021040127,0.6823684,0.07606539
0.9049436,0.019628325,0.6868072,0.07604858
0.9090471,0.02133125,0.6749252,0.073918045
0.92031187,0.020693718,0.6761048,0.07309536
0.9143774,0.02213643,0.6677008,0.07318473
0.9204934,0.020932017,0.6743051,0.07301407
0.8993627,0.020596225,0.6789606,0.07335692
0.91626906,0.020646092,0.68056524,0.07449055
0.9213321,0.019694129,0.6807002,0.07366883
0.9146621,0.02140968,0.6736899,0.07274133
0.9133453,0.021271095,0.6747952,0.07345885
0.9006886,0.019219244,0.688166,0.074910305
0.9156368,0.021115292,0.674944,0.07258754
0.91930085,0.020738851,0.6738915,0.0730225
0.90389484,0.02086049,0.67730635,0.073318295
0.891987,0.020046707,0.69149065,0.076891676
0.91153616,0.02166015,0.67394483,0.07406302
0.92509776,0.021228932,0.66996735,0.07260957
0.91547227,0.020196436,0.6793666,0.07369736
0.9095171,0.022527063,0.66906357,0.07319937
0.9058008,0.019890351,0.68520665,0.07413343
0.8923101,0.019773774,0.69307256,0.07575775
0.9195091,0.022465281,0.6696806,0.07429415
0.92047673,0.02157568,0.6733477,0.07400773
0.90726537,0.020987961,0.6805164,0.07530261
0.89127266,0.02012393,0.69337845,0.07761168
0.9057523,0.020104805,0.68073165,0.07402356
0.9006422,0.020397289,0.68443775,0.07514374
0.9249057,0.020649493,0.6759749,0.073451966
0.8967167,0.020815043,0.6848486,0.07570483
0.90859824,0.020531096,0.68408793,0.07612319
0.90742284,0.020009805,0.68428963,0.07489136
0.9050355,0.020001886,0.6845286,0.075293556
0.9133343,0.021603068,0.67386967,0.07388506
0.90247697,0.02119183,0.6842501,0.076880015
0.906713,0.022952454,0.6691489,0.07481541
0.9213032,0.021076774,0.6709153,0.07196703
0.90449274,0.0207988,0.6806419,0.07450589
0.91095906,0.019260151,0.6849302,0.073961884
0.90876544,0.0217824,0.67479813,0.073959224
0.9020225,0.020833138,0.6809292,0.07471245
0.9140364,0.019830959,0.68214643,0.0737835
0.9270677,0.020671304,0.6766735,0.07377598
0.9081618,0.02062645,0.68278444,0.07489634
0.91467476,0.020382743,0.67864436,0.07219004
0.9128368,0.023820844,0.6627692,0.07242577
0.9131456,0.019681891,0.68445444,0.074692965
0.9109154,0.020329498,0.67870134,0.07292503
0.91513354,0.020677742,0.6792853,0.07395684
0.8913298,0.018392637,0.7032517,0.07750607
0.91179574,0.02004342,0.6808254,0.07283041
0.91133696,0.020652073,0.6770523,0.072912656
0.91373104,0.021712698,0.6748397,0.07373189
0.89768314,0.02029872,0.68715113,0.07541979
0.8945895,0.018869972,0.6959904,0.076787926
0.9071059,0.020312803,0.6830078,0.075125575
0.9047194,0.020627651,0.681153,0.07463619
0.89871323,0.019733286,0.6891004,0.07551139
0.90749836,0.02048894,0.6793468,0.07312728
0.9115472,0.021223476,0.67337704,0.072291344
0.8991782,0.0199125,0.68733656,0.07541006
0.902939,0.020087183,0.6848492,0.07403422
0.9122057,0.020117175,0.68216693,0.07374036
0.9072168,0.019918436,0.68564343,0.07594907
0.8991169,0.021583289,0.6780957,0.07405954
0.8917062,0.01984501,0.68975574,0.07540253
0.91130805,0.02144967,0.6709968,0.07269265
0.8989117,0.019744642,0.692432,0.07724756
0.8995906,0.01965455,0.6885386,0.0753435
0.9183209,0.021234581,0.6751975,0.07276284
