parameter_1,parameter_2,parameter_3,parameter_4,parameter_5
-2.890648,0.016582454,1.3583851,-0.41981494,0.6603755
-2.3988028,0.013707994,1.1323668,0.29233652,-0.019062802
-2.6876383,0.022505896,1.56896,0.30830792,-1.80999
-2.3974068,0.025587605,0.90204203,0.22347945,-0.05686164
-2.564484,0.069919005,0.99996233,0.28884,-0.9478022
-2.8038163,0.06387883,0.9301989,0.25276026,-0.87277436
-2.868953,0.04937607,1.1995813,-0.24505611,-2.0219817
-2.3937702,0.03720949,1.0332103,-0.18060717,-1.1062466
-1.85445,0.033440396,0.96126425,-0.2142127,-0.6113488
-1.0641387,0.050206188,-1.4521304,0.20992082,0.124457955
-2.3347478,0.07594875,0.9747381,0.3496134,-1.2877774
-2.393414,-0.10171919,1.2436042,0.44075826,-0.19153175
-0.42175588,0.006902865,-1.9888427,-0.2750623,-1.0545597
-1.5276854,0.036896538,-2.092548,-0.28731844,-0.17516261
-2.4417002,-0.004920253,1.0338358,-0.28544122,-0.8732831
-2.1323152,0.036934134,1.0848534,0.24456187,-1.4361367
-2.0563023,0.045679756,1.878188,-0.4478398,-1.8176851
-2.4214368,0.046828542,1.1332214,0.26715305,-1.4450983
-0.8412958,-0.07806517,1.5956734,-0.46033615,-2.2654908
-1.2200752,-0.009537716,1.111374,-0.23393793,-0.85482204
-0.8376249,-0.038653664,-1.3675601,0.32721648,-1.5267617
-2.2725427,0.060096357,-1.0422466,-0.24380812,-0.697593
-1.8615696,-0.045498323,-0.7732797,0.31419605,-0.17328614
-0.93294525,-0.031802554,-0.9769614,0.2216486,-1.4645802
-2.6547313,0.064795814,0.80482864,0.24342884,-0.60672927
-2.8587322,0.08091785,1.4620782,-0.43211615,-2.3442676
-2.3321443,0.039591745,0.78739405,0.302845,-1.1628145
-2.003189,0.031529926,-1.1445713,0.25580394,-0.2568876
-1.5941582,0.02323322,-0.9316094,0.17263316,-0.093811795
-1.015077,-0.024671502,1.5039549,-0.36311287,-2.4423323
-1.1493502,-0.05723008,1.448399,0.5473034,-2.330395
-2.3980527,0.03843314,-1.0415925,-0.27896136,-0.08296237
-2.8157017,0.06604094,-1.1532342,-0.33390447,-0.67149484
-2.3667648,0.03076392,1.4853809,0.26447335,-1.6060402
-2.7851324,0.111844055,1.2950959,0.5737737,-1.1837319
-2.5468898,0.05740934,-1.3147612,-0.30980328,-1.9956914
-1.433877,-0.02607672,1.6200562,-0.39671806,-2.183488
-1.8776271,0.0148633635,0.86693144,-0.18248826,-1.0288831
-1.8463054,0.040048696,-1.1524264,0.24904242,-0.8117642
0.56339407,-0.026376562,-2.0194404,-0.2826614,-0.53994626
-1.8951048,0.007975522,-1.2178005,-0.27843547,-1.3290969
-2.0011709,0.05057076,-0.9177785,-0.23344691,-0.6710555
-2.3325596,0.020106627,1.4153898,-0.2881619,-0.6568768
-2.1018066,-0.01031379,1.0861132,-0.28270715,-1.1224463
-2.1923418,0.015266843,-1.2556416,0.21370213,-0.20107377
-2.5788171,0.060281154,-0.8760898,-0.24506095,-1.0910443
-1.7438325,-0.0051907357,-1.1157421,-0.38434243,-1.4668031
-1.4768095,-0.020710493,-1.765298,-0.33938074,-1.3248857
-1.5006588,0.027538907,1.6077676,0.2950725,-1.7890251
-1.7089763,-0.0020555293,0.9814247,-0.26400468,-0.25204238
-1.5453176,0.12830879,-1.1414332,-0.32370177,0.15148479
-2.8151877,0.07475988,-1.1605947,-0.26689103,-1.4623346
-2.899095,0.061845876,-1.0045111,-0.20258258,-0.17992085
-2.0436249,0.019717619,-0.87382317,0.19636081,-1.2537303
-2.2040544,0.04018374,0.9962095,0.2905095,-0.21448609
-2.2948139,0.039188135,0.89728254,-0.23063405,-1.1170974
-2.1905522,0.15047759,-2.1821272,0.5751335,-1.9256378
-1.8307292,0.045980543,1.115093,0.32605892,-0.60598326
-2.9386194,0.02191541,-1.1532156,-0.31747335,-0.83082217
-2.9452684,0.083668254,1.205494,-0.31495747,-1.4779658
-1.1826504,0.010696289,2.046426,-0.346736,-1.5483226
-1.7376779,0.0131038,0.82953113,0.2188946,-0.9142779
-1.40379,0.026485909,1.3678687,0.4053326,0.7254789
-2.3539753,0.08114143,-1.0266026,-0.29566768,-1.2098266
0.30108586,-0.12874997,1.6471531,-0.45237792,-1.9947912
-1.5540276,-0.034384146,1.339305,-0.28953362,-0.45547658
-1.673844,0.00625953,-1.098256,-0.27162975,-2.1029274
-1.7755407,-0.028666237,-1.3073307,0.29927486,-1.4855045
-1.2124567,-0.013207176,1.5084522,-0.29550713,-1.7095952
-2.538646,0.080077104,-1.1195228,0.30015492,-1.1177748
-2.635177,0.012475721,-1.644726,0.38708404,-1.7262871
-2.5445428,0.05828628,1.5106225,-0.30785266,-2.2172205
-2.223137,0.060142756,-1.602369,-0.27244604,-1.0427268
-1.5775936,0.013126731,0.9223764,0.18200803,-1.2572607
-2.189457,0.056252263,1.1257142,0.2348652,-0.14214194
-2.8241138,0.081690274,0.97161055,-0.27069667,-1.4298967
-2.494114,0.05366754,1.172137,0.28332686,-1.8100605
-1.9704609,0.03466057,-1.0685562,-0.31102479,-1.2484746
-2.9993339,0.07793431,1.657455,0.3567319,-2.362009
-2.4280958,0.033600636,-0.96638334,-0.35259584,-0.66924673
-0.6506956,-0.03788063,1.4409649,0.34598318,-1.992197
0.8166632,-0.119972125,1.8611192,0.3971342,-1.8894603
-2.346535,0.031125253,-1.1404301,0.2580137,-1.2679348
-0.56923413,-0.18878242,-2.2704694,-0.7482941,-2.57912
-1.6423403,0.02678167,1.3140705,0.30648035,-1.7450455
-0.26665235,-0.033747513,-1.2883235,-0.23875631,-1.0387816
-2.487331,0.020722227,-1.3262165,-0.3350507,-1.5622708
