parameter_1,parameter_2,parameter_3
2.404981,1.0044575,-1.3722036
0.28711376,1.7712042,-1.0810369
2.55981,2.1200192,-1.9525439
0.8164761,1.3568329,-1.0397528
2.3482413,1.8055159,-1.7630122
1.8937653,0.45051974,-0.93501353
0.26646176,0.6215072,-0.43700045
0.3024944,1.6940633,-0.89786166
2.609973,2.4480531,-2.343512
1.1653275,0.90990865,-0.7988179
2.3711495,1.4382817,-1.7343522
1.3934859,0.95723385,-0.7981862
0.76206505,1.656484,-1.0225766
1.7935499,1.0612838,-1.3103527
1.2235186,1.5960778,-1.229401
1.2432564,0.906954,-0.9771013
1.6682066,2.5077224,-1.7737331
1.5685817,1.8811599,-1.5952828
0.55762255,0.9008165,-0.52098125
1.1234213,0.80203766,-0.7638739
0.27031785,1.1806564,-0.6226721
0.790178,1.3297839,-1.0236462
1.2822144,1.130671,-0.99538404
1.9598085,0.118182376,-0.79189765
1.9442734,0.9762479,-1.045044
0.7664092,1.105629,-0.75831616
1.9675764,1.6277909,-1.3996946
0.1588293,1.1397636,-0.44763896
1.2356462,1.1100707,-1.0473613
1.8558097,0.97257715,-1.0513821
1.9652693,1.5450116,-1.5043164
1.9706323,1.1697067,-1.3086048
2.207801,0.16333757,-0.8535281
2.2647343,2.4200034,-2.190994
2.2974179,2.291568,-1.998926
1.4403731,0.61682314,-0.82185423
0.88813937,1.1480325,-0.65294576
0.31208664,2.347064,-1.2493445
1.5689635,1.4278908,-1.312125
1.4596198,0.1838448,-0.59469664
2.3553038,1.9143434,-1.9267917
2.2756677,0.84192306,-1.2578044
1.995302,1.807418,-1.7532704
1.4325415,2.569019,-1.7202023
2.8831782,1.3730792,-1.8287237
0.76296145,1.3899744,-0.82131875
2.8714938,1.1322334,-1.6157523
1.0524633,1.1682941,-0.94307375
0.1534401,1.0032066,-0.5287155
2.1991038,2.7716775,-2.3334484
0.78158534,1.76831,-1.1036679
1.5583112,2.0191588,-1.4898599
2.2237267,0.43392122,-0.9482024
1.5132015,1.8656104,-1.5189663
2.718083,2.3721821,-2.3630795
0.72683644,1.76502,-1.1301908
2.09299,1.7952893,-1.737673
0.5467609,2.7886508,-1.5632833
1.6346956,1.7040468,-1.5089165
0.69249064,0.8915748,-0.6544554
1.4905022,1.416749,-1.245749
0.06348678,0.6178745,-0.1959129
0.29617888,2.9225683,-1.5255879
1.9340812,0.99897724,-1.2777867
2.931953,2.624759,-2.5067856
0.3691003,1.7988474,-1.1745399
2.1829088,0.7264293,-0.91168034
2.7393568,1.1987829,-1.6550214
0.6010453,2.1860106,-1.3273442
1.2024629,1.8510411,-1.3705612
2.7999468,0.59921217,-1.4778458
0.882957,1.9208251,-1.3649471
1.3533026,1.4628341,-1.2406468
1.3806286,0.49259496,-0.76516134
1.3559388,2.21122,-1.5929384
2.8680906,1.94118,-2.1421626
1.035277,0.4132461,-0.52609277
0.5277165,1.700487,-1.0576639
1.2671344,1.7242638,-1.3761652
1.9198399,0.5531523,-0.9516515
2.4133506,1.5727,-1.7837089
0.12796773,2.2753093,-1.1536663
1.1473842,0.81335366,-0.6944525
0.9919503,2.4921656,-1.6485232
2.3066077,1.6558526,-1.6617148
0.7086546,1.4867113,-0.8900944
1.2768123,0.9203183,-0.8831435
1.1543245,2.0624936,-1.3045549
2.6107848,2.3147721,-2.2216146
0.58886135,1.7557892,-1.1598048
1.3742782,1.1501995,-1.0725473
2.7215455,1.4197767,-1.8327495
2.1056135,0.52475077,-0.9756135
2.9867034,0.74733394,-1.5694947
1.3360646,2.9571478,-1.9307294
1.6909317,1.0508138,-0.88778186
0.5789031,1.6736726,-0.9666962
2.5589774,1.3303894,-1.6740099
2.4903417,1.1952633,-1.5108719
1.8139098,1.5817108,-1.4851265
0.7104766,1.9146929,-1.1332421
0.38818842,0.65072155,-0.4970123
2.3854268,0.41487002,-1.0940086
2.4011137,0.4365953,-1.2323306
2.854915,1.854446,-2.0968182
0.278802,2.459374,-1.0476345
2.9066732,1.0208075,-1.4748979
1.3527404,2.5648022,-1.786246
0.23433462,1.7733926,-0.9586102
0.13821264,0.9027973,-0.26230505
2.1981397,1.1024278,-1.1508569
1.6970196,0.9866381,-1.1875216
2.258219,0.9471164,-1.0360831
2.4749613,1.731177,-1.8205626
2.1326041,2.4122593,-1.9161925
1.6701468,1.8207413,-1.4969753
2.4929943,2.247514,-2.0615795
1.900785,2.783679,-2.1417198
1.1692215,2.9644618,-1.8320735
0.9771909,2.390735,-1.2913715
1.6841378,1.7974226,-1.5263646
1.5255182,2.1457784,-1.7099849
2.791287,1.7932996,-2.0578632
0.31011504,2.2435641,-1.1490072
0.9464672,2.0253294,-1.3887084
2.0657117,0.60034055,-1.0770956
1.000689,0.49742085,-0.61840177
2.4300601,2.5578656,-2.3433354
2.9277484,1.5832597,-1.8843247
1.0375531,1.9330994,-1.3656209
1.052968,0.87473696,-0.82302827
1.2553204,2.122373,-1.5437793
1.4105194,1.0102929,-1.011073
0.3567067,2.1861684,-1.1288886
2.2491336,2.7923827,-2.298961
2.2408834,1.1057273,-1.5147326
1.9495687,1.1596591,-1.4609213
2.2014894,1.4497609,-1.5798006
2.0127723,2.5581858,-2.104747
1.6230066,0.83534527,-0.9466305
0.42151898,1.0974913,-0.40277869
1.1526966,0.95085526,-0.9789942
0.6032185,1.4810656,-0.99713457
0.8804871,2.3545792,-1.4016062
0.29427072,0.7716271,-0.49708852
1.9646345,0.6639753,-0.984331
1.7600642,1.7689089,-1.5624595
1.5085883,0.86956394,-0.94137096
1.0872071,1.056139,-0.8274468
1.9837598,2.794298,-2.0750053
0.374539,1.0157646,-0.5592878
1.1791824,1.1758866,-0.78980374
2.7727232,1.7451645,-1.7747873
0.7959037,1.2376119,-0.8648454
1.3289897,0.4923056,-0.781139
0.15691152,1.0782802,-0.44194412
1.343921,0.9575168,-0.8878665
0.09299295,1.5004334,-0.831756
2.4374883,1.8886569,-1.84954
0.21384755,0.64323,-0.37901357
2.7403486,1.4668537,-1.7410504
0.5817619,1.6226873,-0.85481495
0.22139403,2.6082022,-1.2407795
0.56764406,0.44967085,-0.3220688
0.42924562,2.1175137,-1.1960161
1.3057481,1.3678063,-1.1929076
1.2684433,0.84852594,-0.9065317
1.0042408,1.0775042,-0.73120874
2.3264692,1.0867249,-1.3704824
2.6102743,0.30040354,-1.0283619
1.3587995,1.1372559,-1.0874541
1.9870305,1.665178,-1.6760216
0.53115195,0.53728545,-0.33445865
1.5992458,1.1336703,-1.21633
1.7483726,0.56581444,-0.943342
0.20558916,1.1789263,-0.50947624
0.21962981,1.2867553,-0.7039869
0.8441299,1.1596317,-0.8609859
2.3124766,0.6150284,-1.1053146
2.1815188,1.6153615,-1.6979697
0.09329416,1.817478,-0.8081215
0.9645313,0.9128912,-0.7037387
2.780841,0.19596769,-1.061465
1.1547312,1.8953273,-1.4139888
1.5417745,1.175303,-1.0099372
2.591877,2.6301994,-2.2384517
0.19316368,0.7120542,-0.3056259
1.7087765,0.25869498,-0.7932066
1.5060498,2.8234437,-2.1146595
1.0905145,2.8202412,-1.7437382
0.3130948,1.7209163,-0.9312202
2.5698845,2.5912957,-2.2251813
1.8845823,1.0465328,-1.2381321
2.4811158,1.245155,-1.5603689
2.111182,0.9848119,-1.1592352
0.6605879,1.9589121,-1.2484721
1.9428239,0.5645611,-0.840439
0.6866487,2.4014077,-1.5162004
2.0937407,1.6961287,-1.6235191
2.1160936,0.6549794,-1.1253967
0.38973257,1.6939081,-0.9157079
0.963579,1.6578358,-1.2447236
2.533375,1.2423232,-1.6220573
1.0383922,1.3215955,-0.9939368
2.6353343,1.6009195,-1.7861322
0.17221564,0.23942828,-0.14712837
2.0116618,0.54855627,-1.0520275
1.6148677,1.3946105,-1.2240993
2.8771055,2.5918128,-2.4375834
1.2678081,1.9758637,-1.4405923
2.5698996,1.2327648,-1.6507499
0.6838806,1.6552057,-1.1801865
1.4133208,1.8156031,-1.3375723
1.3233062,0.45178133,-0.6491811
0.91605663,0.8409455,-0.69821876
2.1342876,0.802357,-1.2932568
2.4654574,0.78767586,-1.3963556
0.18592134,1.4529827,-0.6634988
1.7939863,2.4340549,-1.911649
2.5944173,2.908561,-2.1720548
1.2354003,0.6017151,-0.60871744
1.4462821,1.0605879,-0.8704025
1.9618411,0.40814495,-0.84161836
0.038661435,1.5814731,-0.6261571
1.4044933,0.642326,-0.7832727
2.8068655,0.85906833,-1.409906
1.0083673,0.89744145,-0.68635
1.5663551,1.2532831,-1.1376487
0.6102508,1.0781324,-0.81238157
1.9061456,1.1759186,-1.3049272
2.0865242,1.2493013,-1.2884529
0.14159974,1.649719,-0.69867665
1.6904081,0.53383094,-0.8988811
0.2652054,2.4690182,-1.3300943
2.3829296,1.2749394,-1.619566
1.7572328,0.8713203,-0.97287583
1.0060725,2.0159204,-1.4358065
2.5029988,2.083234,-1.8251479
0.5222653,1.6723984,-1.1024284
0.6966276,1.9884199,-1.0822064
0.21499646,2.888047,-1.4028667
1.3436058,1.2453455,-0.99764556
