parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10
1.0733085,-3.4956126,-5.0118203,-3.8614883,-1.3320656,0.61695284,0.80718756,0.44884226,-0.79192334,-1.1820269
0.6874199,-2.9640667,-4.308356,-2.7518513,-0.6177973,0.5658059,0.87102956,0.7893858,-0.013813899,-1.4221747
1.39803,-2.3852918,-4.0731463,-2.7134485,-0.9510951,0.5076976,1.2679191,-0.29463437,-1.2674805,-1.22449
0.34922752,-2.1083665,-3.2635722,-3.0196297,-0.74468136,0.6298975,1.3011862,0.2457496,-0.44295275,-0.45974383
1.4631032,-2.603122,-4.0518813,-2.7399316,-0.3379553,1.133011,1.6864601,0.46446294,-0.6723239,-1.2916873
1.2006388,-1.878083,-3.283047,-2.472814,-1.1465344,0.34597778,0.48583916,0.36107844,-0.20863707,-0.8933288
1.2142935,-2.9403992,-4.569045,-3.5424976,-0.7573591,0.7633234,1.1661885,0.39396745,-0.1884574,-0.9162745
1.4214613,-2.3767076,-3.2618234,-2.3860433,-0.5885854,0.57232225,1.0672271,0.6262596,-0.034362335,-0.55985284
0.9787335,-1.7632837,-4.2189302,-2.948064,-1.1195004,0.34763226,1.3183706,0.3204971,-0.7973194,-0.6542361
0.66541654,-1.8965383,-3.1812131,-2.1796215,-0.8372097,0.047755513,0.67666095,0.15436587,-0.20256586,-0.55801076
0.71775585,-1.8318244,-2.7837539,-2.103305,-0.93542176,-0.26882747,0.3692623,0.2504721,-0.6773528,-0.7584028
0.8399795,-2.0281425,-3.099142,-2.474403,-0.82236755,0.45477742,1.1079757,0.3369044,-0.14553443,-0.6232854
0.6911161,-1.3841393,-2.6679704,-2.153,-0.6887469,0.6982256,0.92329717,0.09583765,-0.56516224,-0.3942815
0.4253848,-2.1097517,-3.9289649,-3.197394,-1.4773283,-0.0086370865,0.7591955,-0.22484423,-0.51788855,-1.0157776
0.5382576,-1.4743719,-2.7636168,-2.339057,-1.2219808,0.52475834,0.8167084,0.14370525,-0.0077073295,-0.52825284
0.9547695,-1.4498384,-2.6794436,-2.2300441,-0.7983307,0.08960168,0.31540647,-0.31348184,-0.94037324,-1.1756955
0.6636025,-2.3712096,-3.7297285,-2.6430163,-1.2205126,0.37632337,0.73391944,0.30919355,0.1616715,-1.0696447
1.4054347,-2.124862,-3.9077413,-3.0913684,-1.0103916,0.7287665,1.4228643,0.19471543,-0.58084244,-0.510881
1.4216217,-2.305896,-3.908231,-2.4593248,-0.9965066,0.6469376,0.89663243,0.116498284,-0.49830902,-0.61642987
0.17096652,-2.4343133,-4.8913345,-3.7171805,-0.8895093,0.8712991,1.2201834,0.40979367,-0.6151312,-0.8520269
1.275946,-2.2443943,-3.6025755,-2.2189803,-0.99798244,0.6899121,1.5727322,-0.00094349106,-0.5990837,-0.57806265
1.6824654,-2.1523643,-3.3735719,-3.2526255,-1.1692234,0.4808458,1.2503003,0.40494177,-0.16633777,-0.26164326
1.7728305,-2.7905369,-4.413055,-3.814222,-1.4949993,0.5611772,1.2954888,0.70824766,-0.47613442,-0.76007825
0.26603606,-1.4750748,-2.2984934,-1.8256972,-0.6627176,0.06599298,0.555082,0.1791253,-0.19858038,-0.3567499
0.53115726,-2.2938144,-3.719821,-3.0917015,-1.8416775,0.20538633,0.9658871,0.31217405,-0.5335974,-0.54176843
1.4501691,-1.5366405,-3.158616,-2.668235,-0.71707046,0.53535396,0.9195619,0.034042045,0.04254049,-0.2702371
1.117831,-1.7137678,-3.221248,-2.6280477,-1.3211931,0.073006675,1.2675613,0.28374332,-0.043017793,-0.7987084
0.8167153,-2.0666556,-2.8666408,-2.837686,-1.3323551,-0.06295929,0.6161367,0.55478925,0.10997343,-1.1984107
1.1372756,-1.693323,-3.6753259,-2.9100332,-0.76383686,0.740935,1.0699741,0.29240632,-0.26309443,-0.66772103
0.68758255,-1.9729631,-3.0662706,-2.3263059,-0.3342743,0.8736943,1.1477389,0.25758857,-0.4560392,-0.95201576
0.6389524,-1.5064653,-3.1327665,-2.7538629,-0.9008279,0.561877,0.7709932,-0.17641535,-0.014368439,-0.6366361
0.77146643,-1.930743,-3.3934162,-2.6083786,-0.82273495,0.7120954,0.7454997,0.48125127,-0.08225499,-0.54559344
