parameter_1,parameter_2,parameter_3,parameter_4,parameter_5
-0.31983787,2.6042714,-1.3443297,-1.8339815,2.6522307
-1.485378,0.4057221,1.6883696,2.5520027,1.5754851
-2.3640757,0.46956372,-1.3662666,1.9886932,1.497406
-2.3859735,-0.93253076,1.6076212,-2.3418682,2.208586
0.41058916,2.2973943,1.9646178,-2.1186242,2.4127738
-1.7452198,0.75458723,-1.2945749,1.7817503,1.9606605
-2.7279508,-1.3032701,-1.2371854,-1.6202092,2.3441212
-0.5700716,1.9785935,1.9566019,2.7979605,2.7503924
-1.25494,1.5080869,1.4654382,2.0988507,2.2547705
-1.9236726,-0.1712829,-1.1744267,-1.5181938,1.7161092
-1.2402892,0.62328637,1.2471738,-1.657605,1.9602101
-0.39901274,1.1962595,1.3084368,1.9377481,0.9179581
-0.7274831,1.6812075,-1.2569562,-1.7218732,1.6206034
-2.5887966,-0.7643379,1.9979706,2.5501175,2.9085548
-2.669007,-0.7848722,1.3168306,1.8109739,2.1717134
-1.632822,1.1173882,-1.5920511,2.291538,1.5629038
-1.2619467,1.0410485,1.4906993,-2.3029888,2.0754437
-2.0476415,0.37890658,1.3499864,-1.7734016,1.0934556
-1.4181987,0.831412,1.918818,-2.1489873,2.169908
-1.7540026,1.0678592,-1.7485806,-2.5023787,1.8851454
-0.37676257,2.885013,-1.4181818,1.9046674,2.669818
-1.4921819,0.681472,1.5668188,2.077115,2.5220435
-1.3541403,0.77026474,-1.4177532,1.5531113,1.7788298
-1.2144266,1.0547351,-1.1645851,-1.4928943,2.2977047
-2.5097804,-0.9145209,1.4591255,-2.1816416,2.549069
-1.8270274,0.4958228,1.6231762,-1.7345383,1.2157575
-2.456622,-0.878912,-1.6703875,2.2738576,2.807938
-0.32225576,1.8327082,1.6069465,2.07237,1.8526928
-1.8017571,0.5279207,-1.3624423,1.8707992,2.4389486
-1.3661602,0.7868993,1.150203,1.5452698,2.2238998
-2.5999646,-1.1094306,1.7274208,-2.1249506,2.9221282
-2.3789885,-0.40291065,1.4061085,1.7937587,2.759104
-0.8279211,2.043596,1.6360018,-2.4362538,2.4995697
-2.0012255,-0.21819924,1.9111118,-2.5369675,2.812463
-1.4915464,0.45237416,-1.2833208,-1.8166324,2.1630967
-2.6723464,-1.5967053,-1.3528854,-1.7485261,2.2531397
-0.54682183,2.0556655,1.6336042,-2.2691498,2.456576
-1.8626577,-0.9597576,1.1219561,-1.5593042,0.79147387
-2.0070984,-0.49751914,-1.2990944,-1.4257377,1.2104871
-0.7219597,1.0134838,1.407671,-1.7789183,1.2253076
-0.588961,0.55435014,1.5842733,-1.8965119,1.3070025
-0.41558522,2.9835806,1.8751211,-2.6070242,2.859847
-2.3794582,1.411352,-1.666855,2.3866622,1.476298
-1.0541601,1.3828576,1.635771,-2.1263788,2.6974454
-1.3732433,1.1579858,-1.3394833,1.6901463,2.3059983
-0.2728696,1.9632411,-2.1703124,-2.0916586,-0.45854044
-1.8916317,0.34307325,-1.28725,-1.8347588,2.3858244
-2.4369364,-1.63558,-1.4994268,1.839429,1.6455612
-1.057339,1.263116,1.4316788,-1.715405,1.5272726
-1.4015541,1.5585449,1.4635901,-2.3483102,2.0115125
-2.214731,-1.8721632,1.5343738,1.7159386,1.5417441
-1.6842616,1.3348323,1.4254901,1.6826873,0.854789
-1.423951,2.3738742,-1.7184004,2.8047314,2.4488003
-2.2726502,-0.15482743,1.7877548,2.252306,1.7709535
-0.643652,0.46002555,-1.8894992,2.3497872,1.4436939
-1.7671539,0.24210006,-1.5952795,2.0967147,2.929768
-0.14436291,2.66729,-1.5411787,2.0029821,2.0335624
-0.48808917,1.7884444,1.2704132,-1.6827456,1.5734107
-2.1282241,-0.6280782,1.0807197,1.350542,1.2483974
-1.2251326,1.0634907,1.5086945,-1.964258,2.62853
-1.8439583,0.45481387,1.1790838,1.6101176,1.7501256
-1.8346715,0.35887745,-1.6879207,2.249111,2.9604955
-1.08719,0.464992,-1.8036865,-1.745479,0.32778287
-2.54946,2.3702292,1.819047,-1.7958473,0.63821405
-0.61436605,1.8647568,1.9667869,-2.621385,2.9680283
-0.5250284,2.8083446,-1.683081,-2.2713292,2.8172648
-1.3717965,0.9538149,1.3635534,1.889258,2.3092923
-0.48968512,2.2134986,1.9018065,2.5818553,2.4637055
-2.3591516,-0.6569085,1.4177775,-1.8315122,2.3778367
-1.8984588,0.25287092,1.4572176,1.8149447,2.1041007
-0.9879953,1.8276578,1.3612113,1.911963,1.6604507
-1.7732592,0.5240817,1.5346932,-1.9771556,2.2868538
-1.4556625,0.70438546,-1.3049767,-1.6749169,2.338113
-2.2469695,-0.52819115,1.5589979,1.9703563,2.1343355
-1.3974788,0.94970345,-1.2787768,-1.6598252,2.531492
-2.0275521,-0.37789053,-1.0530591,1.8312482,1.4506754
-2.129966,-0.6543096,-1.0913031,1.641663,1.1673317
-1.5323986,-0.56307256,-1.2485499,-1.7515495,1.2134035
-1.007546,1.541923,-1.7902225,2.486072,2.5157235
-1.9522226,0.5266738,-1.4140899,1.8762959,2.3889909
-1.5582633,0.36342835,1.444401,1.8136249,2.4163795
-2.5941932,-1.4960513,-1.5885171,1.9360751,2.17995
-1.357855,0.9158283,1.4214628,1.9204289,2.2530398
-2.9422078,-1.904043,1.7819982,-2.28256,2.6675396
-2.7343059,-2.0761638,-1.3580977,-1.8226324,2.1613214
-0.51016474,2.809423,1.2376962,-1.5431343,1.5943326
-2.7323928,-1.4606435,-1.7091289,2.2806566,2.605219
-2.4986985,-1.1803145,-1.5975347,-2.1364965,2.8282986
-2.2757592,-0.93578136,-1.5118258,2.0141783,2.3223603
-2.275478,-0.6410713,-1.2842579,-1.5295655,1.3535683
-1.9228104,-0.0012962294,1.3768206,1.756692,1.9382141
-1.9621549,-0.6263254,1.1723022,-1.5826236,1.8428544
-0.8508126,1.9567947,-1.5464838,2.2104871,2.8744078
-2.0302694,-0.231037,1.4298053,1.796597,1.4193358
-1.6228266,-0.36992663,-1.095344,1.7336185,1.8431113
-2.1074934,-0.8708841,-1.1246479,-1.6458243,1.960647
-0.7539723,2.371977,-1.5584177,-2.220284,2.5604165
-2.1630957,-1.1524017,1.9937134,2.2352564,2.1212208
-1.8292162,0.84083885,-1.5456009,2.1513617,2.6219914
-1.3811865,0.63704,1.1807541,-1.583772,2.4060812
-1.4570976,2.4990294,-1.4906547,2.4282935,1.8117913
-2.8009338,-1.9683104,-1.4483142,-1.7400011,0.9921428
-2.944834,-2.339869,1.3524301,-2.068913,1.5994297
-1.75737,0.82353437,1.2697608,-1.6662663,2.0292535
-2.060852,0.16084388,-1.1070521,-1.3903145,1.9484951
-0.58068466,0.6144066,1.553832,1.6258307,0.4632097
-1.4086635,1.797444,-1.4202864,2.008902,1.7773962
-2.2996032,-0.98022795,1.5088401,-2.028687,2.8769126
-0.9423522,2.2511213,1.5815709,-2.322783,2.811053
-1.3113327,1.6495451,-1.1833214,1.7018785,1.9019763
-2.7336464,-2.1727023,1.4209412,-1.8842067,2.035988
0.3617329,1.2584256,1.6083316,-1.8671656,1.3789088
-2.798562,-2.194804,-1.7961175,-2.3927772,1.6672662
-2.69765,-1.7185764,-2.3510513,2.7459605,2.828967
-2.3088822,-0.795666,1.2727475,1.7099289,2.1478477
-2.323952,-0.5195453,-1.5220311,1.8211855,1.7570529
-2.6205947,-0.9957048,1.4119203,-1.9518613,1.7365689
-0.85581636,1.9621469,-1.8940963,2.809639,2.925025
-2.4159,-0.92805314,-1.3839103,1.8978245,1.6117674
-2.3214989,0.83743376,-1.6708165,-2.3255305,0.13571367
-1.7523006,-1.3218966,-1.7182965,-2.3063507,2.090489
-1.621022,0.72276247,1.4673682,-1.7969996,2.0563576
-1.2953366,0.29567564,-1.3140144,1.7961419,1.3582804
-2.2255626,-0.74072653,-1.4062431,-1.9595003,2.5453746
-1.2547116,1.0393535,1.0650959,-1.439207,2.0750287
-1.8373762,-0.20272483,-1.631451,2.0806642,2.4413886
-0.35012162,1.666127,1.3775806,1.7082124,2.0352988
-1.2878232,0.84352523,1.6262798,1.9359947,1.7395295
-2.2153423,-1.907538,1.2898813,-2.0334651,1.8438654
-2.0608149,-0.7232785,-1.3963405,-2.2050507,2.0816467
-2.3928924,-0.87310135,1.7245677,2.2615833,2.7232108
-1.6403829,-0.22384287,-0.93154764,1.6460285,1.1066945
-1.9349947,-1.1866869,1.8172597,2.3080304,2.0100915
-0.85182285,2.502921,1.4935513,1.9527637,2.0625067
-2.2126467,-0.4883443,1.4636136,2.0130198,2.1154132
-2.9540558,-2.1878593,1.4077488,1.8321826,2.067649
-1.3918185,1.148762,1.6240935,-2.1017895,2.4260256
-1.5040812,1.391047,-2.2462204,2.4752052,1.5037198
-1.0981207,1.0824544,-1.9936624,2.8632603,2.7485151
-1.5881318,1.2085142,2.0117545,2.4887335,2.1018815
-0.24759188,2.9304116,1.1657163,-1.5559249,1.9799773
-0.5592103,1.6219177,-1.2254851,-1.4900433,1.206066
-2.919348,-1.723493,1.4698269,1.6627216,0.87630343
-1.6765634,0.16176459,1.15482,-1.6661419,1.9400417
-2.0326784,-0.14745407,-1.5276954,-2.121449,2.5464272
-2.0092452,-0.942559,-1.5308652,-1.9181094,1.7415906
-1.6166979,0.42497587,1.3703159,1.7606766,2.609886
-1.4895424,0.44663256,-1.2310473,-2.038394,0.28658196
-2.097947,0.28601557,1.6437421,-1.827406,1.2498639
-1.5405853,0.46904653,-1.2935958,-1.7015414,1.8896016
-1.3348684,1.1770291,-1.3467865,-1.8654912,2.302985
-2.432812,-1.242941,1.1302326,1.5299475,1.9467663
-1.5882795,1.4633127,1.3452334,-2.0048864,1.7611095
-2.492713,0.12051547,1.7208166,-2.1839614,1.5515499
-2.993677,-1.0629829,1.4588194,1.986589,1.5533364
-1.3530743,0.2933221,1.3346825,1.8489423,2.0635095
-2.122328,-0.50222707,1.4630479,1.89863,1.988394
-1.1078224,0.61814755,-1.5163865,-2.0367484,2.0151796
-2.1084144,0.099275835,1.281392,1.5371581,1.4975685
-2.3303347,-0.9665531,-1.3051414,1.701455,1.7238884
-2.5543675,-1.0586293,1.2541825,-2.1270301,1.8876066
-2.1718788,-0.49921304,-1.2510294,1.6323122,1.7383331
-2.2884583,-0.32662356,-1.4426057,1.8986083,2.6485455
-1.79826,0.46694556,-1.3969371,-1.8123829,2.6565244
-2.1765363,-0.6892634,1.7757205,2.7276418,2.494903
-2.4108067,2.7233443,1.299386,-1.9656379,-0.3587451
-1.4101899,1.56012,-1.6839541,2.300953,2.7959173
-0.33344042,2.8411322,-1.2760826,1.8377439,2.1612492
-1.3731495,1.035202,1.4428416,1.9198459,1.5490565
-2.320735,-0.7722811,-1.2103295,1.5888307,1.9712445
-2.6622632,-1.1890392,-1.7963226,-2.3012877,2.5742693
-1.7691936,0.6021779,1.4229778,-2.002216,2.7423863
-2.309683,-0.20007025,1.6678972,2.1927814,2.017425
-2.6422267,-0.9412772,-1.8878012,-2.564032,2.443537
-2.1335614,-0.16993466,1.80634,-2.3468475,2.9329462
-2.8493116,-2.109643,-1.1825752,1.6730669,2.456606
-2.8558984,-1.0853741,1.4032227,1.8404797,1.9541787
-2.414827,-2.8115287,2.1641212,-2.961497,0.6639857
-1.9036396,-0.06995669,1.4121922,1.793684,1.684982
-2.1862962,-0.26951993,-1.4436672,-1.9199672,2.2594285
-0.79161555,1.4990331,-1.5871083,2.2689922,2.5569944
-1.0585423,1.19282,1.3605103,-1.7279388,2.9670942
-1.3932605,1.0496589,-1.3144423,-1.8830525,2.3112369
-1.7501107,-0.78862447,-1.116413,-1.4313655,0.6662953
-1.4943264,1.0643308,-1.5271872,-2.1364262,0.40009433
-2.3093102,-0.63546103,-1.3172237,2.0107365,2.0918074
-1.2881027,0.25109783,1.4574928,1.9281417,2.0162244
-2.4239728,-0.89936334,-1.4196405,-1.967122,2.2144327
-1.3160187,-0.2272161,1.1866673,1.3705847,1.2313548
-1.555603,0.7590783,1.580952,-2.1633666,2.9498487
-2.926278,-1.948474,1.4284171,2.0131996,2.4353328
-1.0751889,2.3210628,1.7896928,2.317085,2.533009
-0.84487367,1.7968141,2.1067219,2.2756658,2.3881795
-1.909123,0.77917325,1.4110506,-1.5540937,1.0532247
-1.061616,1.2299495,1.4997402,-1.9180698,2.9765983
-2.663944,-1.5062227,-1.9544132,2.5004811,1.9129162
-0.4287714,1.9786705,1.2675196,-1.566219,1.6504135
-0.603292,1.853012,-1.3417864,1.748695,2.442861
-0.65065944,1.6512733,1.9754276,2.873369,2.7964482
-1.2040653,1.5401605,1.4663554,-2.1420076,2.4333327
-2.7128873,-1.1693981,-1.4255056,1.7426708,1.9689894
-1.6974797,-0.8960571,-1.5854136,1.4485993,0.21890831
-2.7935905,1.0292907,-1.9278486,-1.8174311,0.8123608
-0.7600229,2.5572407,1.3967307,-2.1812658,2.498532
-2.0832975,-1.2008994,-1.1705594,-1.9569706,0.7526101
-2.7734618,-1.8420587,-1.2426705,-1.7581507,2.2070687
-2.716064,-1.3588344,-2.0909288,-2.6302042,2.8953083
-1.5351207,1.0452842,1.2247006,1.898049,1.8773192
-1.5306718,0.11549845,1.849187,-2.4095821,2.0969648
-1.0962901,1.7504717,1.6336125,-2.2227151,2.84103
-2.7382991,-2.9477284,-1.2648892,-2.1203003,1.6043029
-1.7270135,0.025238097,1.8720767,-2.6854837,1.3532931
-2.8965,-1.8397266,-2.239499,2.7732162,2.942681
-2.652126,1.328502,-1.7590222,-2.0892897,1.1775197
-2.6959076,-1.8123387,1.3062782,-1.665752,1.894432
-1.493937,-0.89284396,1.3413129,1.7023526,1.5573807
-1.9258916,0.3164649,-1.4211671,1.8346014,1.3767556
-1.22579,1.9869109,-2.0239818,2.694422,2.5443761
-0.73934746,1.7622709,-1.381904,-1.8658655,2.163656
-0.23037368,0.4683101,-1.6999426,-2.2589984,1.1333913
-1.9419135,-0.04537381,1.2791208,-2.3892062,1.729186
-2.022063,-0.002940001,1.2830485,1.6983913,2.0655794
-2.301365,-1.325801,1.3025178,-1.7640611,1.1329848
-2.9721518,-1.512824,-1.765592,-2.4438791,2.6496613
-1.7646965,0.1947342,1.3467658,-1.75514,1.64363
-1.5273823,1.0267205,-1.6057662,2.055116,2.9706821
-1.263465,-0.34817386,-1.9482708,2.2144063,2.033381
-1.704818,0.21093518,1.4293852,1.9612525,2.4653964
-0.39401817,2.8910882,-1.7831024,-2.4437015,2.4750645
-2.6203535,-0.068902545,-1.5953138,2.1038382,1.3353909
-2.1181943,-0.2985542,-1.721248,2.213908,2.8268156
-1.3173131,1.2870517,2.0914989,-2.944565,2.8332152
-1.4629467,0.99025285,1.3272538,-1.9173118,1.9779661
-1.8085912,0.56721205,-1.3888919,-1.8742898,2.1322308
-1.0054512,0.63143593,-2.1321123,2.9154928,1.7951263
-2.3370957,1.0420969,-1.5165256,-1.7597661,1.342134
-1.1293833,1.3737547,1.3163451,-1.7749687,2.0445418
-1.622264,0.14950578,1.2704628,-1.7150737,2.1542754
-1.6324761,0.7101533,1.6523588,2.1642344,1.7781396
-1.3623517,0.84580106,1.2484654,-1.5801599,2.2641947
-2.603415,-1.2989364,-1.3686324,1.8234707,1.867348
-1.8638933,-0.44464865,1.2147558,1.6696949,2.4433908
-1.3440099,0.85093194,-1.6956286,2.1410277,2.7850041
-0.7622647,1.8822145,-1.5724249,2.047473,2.6698773
-1.1128601,1.0016657,1.6856575,-2.0536506,2.7445061
-2.7161553,-2.2196681,1.2929732,-2.0533605,1.4085913
-1.8001124,0.70190954,1.0588928,-1.4174476,1.1978514
-1.8687998,-0.0007096833,-1.4108073,2.0052674,2.2070067
-2.7128656,-0.3009062,-1.3830956,-1.7753514,1.5681294
-1.3131177,0.13460517,-1.3929398,2.0661151,1.7303267
-2.2884538,2.067089,1.6614609,-2.5593534,1.2092288
-2.6585457,-1.5954436,1.4856467,2.2081335,2.3062084
-1.455128,-0.015591445,-1.7457271,2.560175,2.3460922
-2.6087534,-1.3918579,1.4944673,-2.0687006,2.2209575
-0.68998355,1.9159713,1.5930524,-2.2101395,2.2141807
-1.6783003,-0.7693965,1.2758602,-1.7594724,1.9477589
-1.242263,0.59400266,-1.987708,-2.558408,2.418151
-2.832751,-0.86471957,1.3876694,1.7720209,1.6942828
-1.0561666,0.43770668,1.3941383,1.9306719,1.2222722
-1.5065448,0.77081233,1.2273334,1.7442666,2.1992218
-2.1424818,-0.27582568,-1.5716677,-1.9726661,2.2974143
-1.3840604,1.3201169,1.7137266,-2.22348,2.1973388
-0.3856254,2.2972295,-1.7075346,2.355891,2.9246209
-1.6230028,0.11677695,-1.2000872,-1.5706447,0.70504665
-1.6484877,0.90683985,1.3804666,1.7861582,1.870957
-2.4357157,-1.2769245,1.4863148,1.8424658,2.1531467
-1.4405832,0.8326651,-1.1868571,1.5391834,1.056515
-2.9413342,-1.3837628,1.2650504,-1.638422,1.400419
-2.0850973,-2.3947008,1.1824476,1.7693005,1.2459229
