$\alpha$,$\beta$,$\gamma$,$\delta$
1.1661072,0.21004304,0.5361933,0.026353871
1.178492,0.21112692,0.5321139,0.025996778
1.2053947,0.21783431,0.52722406,0.025149893
1.1332912,0.1938069,0.5493159,0.02662725
1.1940695,0.21387018,0.5290909,0.025763523
1.1122677,0.18708019,0.55943656,0.02771612
1.1674969,0.2126041,0.5357856,0.026365805
1.2138425,0.20989837,0.532418,0.024360862
1.1512593,0.1807839,0.5619014,0.026058324
1.1663549,0.19074844,0.5476646,0.026542317
1.2015673,0.21749258,0.52945685,0.025391094
1.2195452,0.21598141,0.5227429,0.024515772
1.2373425,0.23894334,0.5079463,0.023977133
1.1461394,0.20108053,0.53966594,0.027049128
1.1479225,0.20114893,0.54464746,0.027291426
1.2042973,0.21577887,0.5227433,0.024843913
1.2203661,0.21489795,0.52551,0.02442116
1.2187661,0.21998233,0.52295625,0.024497839
1.1697105,0.19226998,0.54791206,0.02614601
1.1769744,0.21236293,0.53385246,0.027099982
1.1434739,0.18277337,0.5602218,0.027335793
1.2421021,0.23409809,0.51191765,0.023799663
1.1574003,0.21742757,0.52885854,0.027397228
1.16377,0.19478033,0.5470645,0.02788865
1.1778296,0.1993381,0.5433632,0.026434332
1.1952103,0.21262836,0.5297593,0.024804672
1.2276512,0.22694215,0.51339406,0.023810925
1.1861655,0.2118665,0.53190017,0.026281588
1.1784842,0.19808105,0.53990275,0.02615111
1.1795589,0.19962905,0.54079896,0.02557368
1.1950427,0.21878032,0.52645206,0.02506048
1.2224118,0.20635915,0.53265953,0.02424623
1.1945876,0.21765462,0.52546597,0.026100693
1.1848952,0.19504444,0.54697186,0.025362138
1.2046628,0.21742186,0.5240593,0.024474377
1.1082604,0.17581645,0.5707851,0.028504197
1.1599253,0.19210109,0.5533317,0.026372306
1.2426338,0.23013367,0.51249474,0.024161091
1.1749815,0.2030806,0.5374913,0.02669561
1.1829987,0.2143346,0.5282264,0.02705185
1.2035582,0.20761108,0.5333435,0.025450338
1.2148738,0.21128108,0.5261423,0.024030993
1.2090981,0.20940883,0.5331826,0.0251846
1.1594663,0.20345111,0.53679454,0.026762752
1.1303512,0.18901493,0.55618924,0.02838427
1.2340436,0.22612165,0.5166113,0.02384643
1.1520709,0.19198921,0.5487777,0.02789377
1.129496,0.18474483,0.5624391,0.028165873
1.214076,0.2138483,0.5270509,0.025167415
1.1886882,0.21707788,0.5266367,0.025681162
1.1861821,0.20091833,0.53802115,0.025576076
1.15436,0.19393744,0.5472871,0.026955208
1.1368132,0.18820526,0.5547048,0.027334306
1.1613016,0.20210809,0.54040045,0.027272843
1.2030799,0.2299999,0.51268554,0.02538454
1.173902,0.20555814,0.53468657,0.026020223
1.1344395,0.18915242,0.555757,0.027501127
