parameter_1,parameter_2,parameter_3
0.29722616,2.0688703,-1.0341443
0.5235111,1.2878437,-0.8765437
2.9587498,2.3209224,-2.5635896
1.2009541,1.7076038,-1.4407508
1.2359467,1.9838405,-1.5767436
2.105626,0.08601362,-0.7931934
1.7017192,1.0328557,-1.0772887
1.6825631,1.0414468,-1.1960152
2.8970928,0.4184645,-1.4664953
1.2393819,2.0297542,-1.618483
1.0015383,1.3441256,-1.1258643
2.5250745,0.65688103,-1.3441691
1.6740351,2.1671472,-1.9160136
2.5924416,2.9671376,-2.561167
2.8536499,2.1380196,-2.2564487
2.3272436,2.6103034,-2.380029
0.3213774,1.1207755,-0.6210046
2.8952794,2.201633,-2.2429373
0.8584566,2.331454,-1.5647405
2.826506,2.4416268,-2.6527402
0.52579063,0.54598665,-0.37798694
1.8375105,2.5024278,-2.0663261
2.8467908,1.1659343,-1.7271202
2.0079107,2.20283,-2.1262631
1.3439173,0.9741604,-0.9311737
2.835956,2.6104367,-2.5483024
2.1766126,0.6279676,-1.2740897
2.721162,1.6372434,-2.018096
0.14870368,0.7544443,-0.40559453
1.6460569,1.9830959,-1.6239223
1.2054802,0.70467436,-0.81801635
0.033475984,1.1024438,-0.58432245
2.8189857,0.83306104,-1.4931443
0.17275643,0.85668594,-0.46179628
2.746718,2.314843,-2.2035887
1.8434733,1.9388946,-1.7171375
1.5099814,1.9652942,-1.6627876
2.700094,0.8106997,-1.548481
2.2644475,2.495993,-2.3163238
1.271812,0.77183163,-0.9242371
0.37781614,1.2517059,-0.75293076
1.7863946,1.1208904,-1.1726516
2.2739727,0.45832604,-1.2513548
2.4877865,1.9044093,-2.0372584
1.2056054,2.581248,-1.8288713
2.8076298,2.411568,-2.172742
0.5495043,0.41193315,-0.4358292
1.9323126,1.0677811,-1.3592314
0.49874198,2.1292512,-1.37146
2.8827317,1.0982163,-1.6309355
2.0260623,1.4968677,-1.5948565
2.3932178,1.0798391,-1.5795257
2.5594223,1.8725927,-1.9849541
1.7903703,1.5420984,-1.4916145
0.8833889,1.6554852,-1.1377356
0.7019478,1.5671563,-1.0431366
1.204238,0.556548,-0.79979146
1.8478789,1.3750691,-1.4632773
2.1467457,0.5848614,-1.1912105
0.3948961,1.2912732,-0.74544215
2.835998,2.841314,-2.716772
1.8220676,0.299603,-0.92279935
2.0238252,0.4848949,-1.0643822
2.0806892,0.6876779,-1.1407121
0.82338774,2.9234865,-1.7957991
2.8018785,1.2163067,-1.7984159
1.2720037,0.85607094,-0.836166
1.2485759,0.52417785,-0.6314392
1.5325918,1.718573,-1.4912457
0.3547324,0.94199306,-0.61434907
0.53985155,1.3955455,-0.86338055
1.6237195,1.2125225,-1.2979103
2.4025831,2.1441681,-2.1434367
0.6808346,0.6817426,-0.670635
1.5909176,2.2339807,-1.7463248
0.76832545,0.913357,-0.7219959
