$\alpha$,$\beta$,$\gamma$,$\delta$
1.5911993,0.057589162,1.0845109,0.09536399
1.6151425,0.062248975,1.0652827,0.09537759
1.6306938,0.06397215,1.0547749,0.092335366
1.6345484,0.058654804,1.0685836,0.09273602
1.619417,0.06025491,1.0700153,0.0939987
1.6410362,0.063539244,1.053539,0.09196938
1.5795274,0.055672407,1.1042427,0.10133153
1.553466,0.05825685,1.1034744,0.10262272
1.5812831,0.05720313,1.0926269,0.097167
1.5913652,0.05986989,1.0779299,0.09603568
1.6079314,0.05449317,1.0919924,0.09446446
1.5450155,0.05455202,1.11532,0.102165416
1.590542,0.060590163,1.0814167,0.09897097
1.6012186,0.061196346,1.0773729,0.09841397
1.6288162,0.061661437,1.0593735,0.09133015
1.6077334,0.061293025,1.0729635,0.09651084
1.6090661,0.06086147,1.0702721,0.09474855
1.5930158,0.06098697,1.0742304,0.09484447
1.645124,0.064292714,1.0453948,0.08812368
1.600195,0.06161638,1.0751066,0.09841047
1.6230196,0.059861355,1.0716059,0.09565788
1.6234666,0.064883,1.0540656,0.093140826
1.5832565,0.05478888,1.1047835,0.10098185
1.5824231,0.057620913,1.0885679,0.09667859
1.6134231,0.060199212,1.0674744,0.09223992
1.5834068,0.054864943,1.0969106,0.096650034
1.5870215,0.057702135,1.0882647,0.097295776
1.6014805,0.054728,1.0955118,0.097269475
1.577152,0.060099673,1.088647,0.100834586
1.5939065,0.06198632,1.0741837,0.097266786
1.6136094,0.05994199,1.0689192,0.0929508
1.5811651,0.056624,1.092265,0.09642503
1.6158762,0.063041724,1.061091,0.09397775
1.5979434,0.055889294,1.0913439,0.09653307
1.6109396,0.05600311,1.0864189,0.09528946
1.6292617,0.061414585,1.0656619,0.09529837
1.5805527,0.059025593,1.0853846,0.09707116
1.5857694,0.057875477,1.0894446,0.09808593
1.5881134,0.058312755,1.0916704,0.10067518
1.5926416,0.05609351,1.0931659,0.097365625
1.6170704,0.063232385,1.0664585,0.09768075
1.6515008,0.059663627,1.0620193,0.0913173
1.6091987,0.05537708,1.0879676,0.09534764
1.6121846,0.058514275,1.0776309,0.095078684
1.5649805,0.054571453,1.1073836,0.10081706
1.599354,0.05809386,1.0830907,0.09568922
1.616764,0.058466513,1.0742456,0.09322556
1.5959684,0.06272939,1.076828,0.10030817
1.6139444,0.059043553,1.0782104,0.096019015
1.6397042,0.06247074,1.0570936,0.09289787
1.5883422,0.05524451,1.0962762,0.09621538
1.6599427,0.06068056,1.0489151,0.08587377
1.5917289,0.054092232,1.1018976,0.098487884
1.613612,0.06180326,1.063596,0.09319029
1.6148642,0.060916126,1.0690951,0.0952976
1.6043272,0.059234012,1.0748614,0.09463463
1.5959951,0.062042635,1.0744025,0.09822121
1.6142894,0.061931174,1.0606468,0.091566585
1.6532352,0.06397511,1.0482633,0.090445206
1.5767405,0.059420027,1.0899853,0.099874906
