$\beta$,$\gamma$
0.7962284,0.11592182
0.7847027,0.11213223
0.78963554,0.12044973
0.7876918,0.11805459
0.7704617,0.12350948
0.77676326,0.10832709
0.7809115,0.1219132
0.7843254,0.12118174
0.7836517,0.11440276
0.7729322,0.11808603
0.7784781,0.11596273
0.77496547,0.11310658
0.7787838,0.11784357
0.7755909,0.1193288
0.79249185,0.12355431
0.785201,0.11878836
0.77738804,0.12819801
0.77998245,0.12236912
0.7734044,0.1151694
0.7935286,0.1253518
0.7793616,0.12339184
0.78399575,0.11284465
0.79636437,0.117514014
0.776441,0.11868967
0.77924967,0.12085225
0.782467,0.120455936
0.7862555,0.11994193
0.7783693,0.112725936
0.7817897,0.11701552
0.7814248,0.11337297
0.79089427,0.11659393
0.77765495,0.11456676
0.7819295,0.110983655
0.77620375,0.11963385
0.7792211,0.11670801
0.780341,0.11846342
0.78541917,0.118889846
0.7822101,0.12629144
0.7826286,0.11678483
0.7744112,0.12434654
0.7778927,0.110738344
0.78052735,0.11642181
0.7753606,0.11241608
0.7796097,0.123435415
0.7900201,0.11935338
0.7751625,0.121142976
0.7840019,0.123779245
0.7840884,0.11929605
0.79236317,0.11886134
0.77394,0.11717594
0.7813013,0.1163102
0.7792406,0.113984495
0.777019,0.11756894
0.77004224,0.11506982
0.76789564,0.11645441
0.7810961,0.11987037
0.782488,0.118221134
0.778355,0.11851028
0.78443927,0.12160459
0.78555137,0.11975762
0.78955215,0.11558135
0.78509474,0.11203517
0.7688897,0.11902264
0.77600735,0.11363901
0.78236574,0.11415943
0.7837008,0.1193227
0.78650975,0.11496222
0.7851283,0.1144014
0.783545,0.11905141
0.7825921,0.12583894
0.78277177,0.12241592
0.77920175,0.11879949
0.7823345,0.113874674
0.78356344,0.116851285
0.78307116,0.11609112
0.7742363,0.10974836
0.78025347,0.11977199
0.7768735,0.11812504
0.7698901,0.11744156
0.7613183,0.11912035
0.7726974,0.12147304
0.7771413,0.12202275
0.78397363,0.11457694
0.7896915,0.12135244
0.77278894,0.115495406
0.7769039,0.1178182
0.7825776,0.1126333
0.7782486,0.114468575
0.78353375,0.11545378
0.76826125,0.12059544
0.7889711,0.12218455
0.77297425,0.11660435
0.7898219,0.1212919
0.765003,0.114539936
0.7823987,0.11967488
0.7704054,0.11941403
0.78154176,0.12320717
0.7852251,0.12197883
0.7741113,0.11643958
0.7726022,0.12036992
0.7886755,0.11711036
0.7829157,0.118025124
0.78250504,0.12066294
0.7874456,0.124847084
0.78697044,0.12303832
0.78755295,0.117703535
0.7818732,0.11057039
0.77675724,0.11987409
0.7790303,0.12050048
0.7841555,0.1160858
0.7796282,0.11656349
0.78978777,0.11560235
0.771377,0.1155616
0.7743405,0.121299505
0.7762317,0.12196763
0.7747217,0.117314644
0.7871277,0.122317664
0.7878888,0.11874362
0.7834997,0.122789934
0.7849507,0.1108993
0.77887213,0.11025161
0.78326637,0.11542447
0.77623326,0.12296457
0.78461564,0.118017614
0.7749342,0.1195064
0.77372766,0.11100972
0.77867234,0.11579506
0.786331,0.12573232
0.7612701,0.11392519
0.7790231,0.11796754
0.7784399,0.114392236
0.78587013,0.115605906
0.77693135,0.12186938
0.77363306,0.11408365
0.7855497,0.119730815
0.7861757,0.111964196
0.78549445,0.10818723
0.773097,0.11559742
0.7746194,0.113522194
0.7860211,0.11877774
0.7699584,0.116951175
0.7862502,0.10985046
0.7767766,0.116967544
0.78379935,0.12068084
0.7768188,0.11723828
0.7721735,0.12101708
0.77823913,0.11263701
0.7889314,0.11556066
0.7719559,0.122224875
0.7799698,0.12133974
0.7640628,0.122471504
0.7820374,0.1122211
0.78955656,0.120727405
0.78157514,0.11701742
0.79481566,0.11085772
0.76764935,0.11951067
0.78018904,0.11709989
0.7762584,0.123052314
0.7860158,0.11978392
0.7834102,0.11235534
0.77782476,0.11764431
0.7767473,0.11377728
0.78727025,0.11181593
0.77094376,0.11620507
0.7732758,0.111469656
0.7759753,0.11869411
0.7847604,0.12422798
0.7805531,0.12079967
0.7685922,0.11729923
0.77600175,0.1187019
0.7796659,0.11755605
0.77235967,0.115126185
0.7718465,0.113363266
0.78327423,0.11999582
0.7755937,0.118426904
0.7675369,0.11588352
0.7810933,0.122234575
0.786546,0.1223396
0.77088755,0.1140244
0.7898735,0.11778017
0.7719255,0.114450976
0.7811226,0.11330606
0.7720746,0.11515298
0.77598506,0.12008978
0.77529263,0.111836694
0.77672863,0.11281458
0.7875067,0.11515622
0.77260864,0.110835254
0.7905778,0.119552284
0.772624,0.11033786
0.7669746,0.116175756
0.78361416,0.11809121
0.7769705,0.118937284
0.7816696,0.12124127
0.78513116,0.12272587
0.7628097,0.11864234
0.7809682,0.12325867
0.78700024,0.11837926
0.7826977,0.11484738
0.7762862,0.114243776
0.7751097,0.12260379
0.7715857,0.117605664
0.7709752,0.115367025
0.77168673,0.11907103
0.7800154,0.11422869
0.78869605,0.12209853
0.78605783,0.12753288
0.78075624,0.11297457
0.7884409,0.11493969
0.7796492,0.11340592
0.7856811,0.115315706
0.78349906,0.12140288
0.77188075,0.1184491
0.77812487,0.10921285
0.7871262,0.118814416
0.77354753,0.12177806
0.7828518,0.11678678
0.78154886,0.1199689
0.77851355,0.11259059
0.78385484,0.12057055
0.7808758,0.113419145
0.7857194,0.12156453
0.77361006,0.11678349
0.77079767,0.11946723
0.7948282,0.117639765
0.7769471,0.11158059
0.7854269,0.11460867
0.77302116,0.11062915
0.78017575,0.11550898
0.778853,0.117168926
0.78736526,0.116928734
0.77094173,0.1173563
0.7713108,0.11604471
0.7865201,0.1211141
0.7923231,0.115047656
0.77902555,0.1309678
0.77636576,0.12215728
0.78898114,0.114569135
0.79715556,0.116867274
0.7753789,0.1286118
0.7880025,0.11611946
0.773299,0.11945367
0.7781164,0.11305896
0.78024304,0.11912072
0.7771655,0.113751374
0.77752435,0.11370089
0.7704557,0.11713962
0.7794752,0.1246858
0.7824588,0.1284965
0.780524,0.120232165
0.78999484,0.11955276
0.7769872,0.114600524
0.7831074,0.116676934
0.76878536,0.117025286
0.7782546,0.1172401
0.77974874,0.11789733
0.77350044,0.11669245
0.78000873,0.122788936
0.7813354,0.11692327
0.7684884,0.118318476
0.7727134,0.117912196
0.7861243,0.11899523
0.78258145,0.11841507
0.7785226,0.11842804
0.78580666,0.11702947
0.7710004,0.11224516
0.78890145,0.11890422
0.782403,0.11989004
0.7858631,0.1197478
0.79557526,0.11768288
0.7764391,0.11965796
0.78560513,0.11575023
