parameter_1,parameter_2
-0.4094484,-0.88496196
0.8035205,0.4238183
-0.4379456,-0.8547045
-0.4218382,-0.88220525
0.9231843,0.31164882
-0.4445773,-0.7969575
0.89279145,0.28701764
0.77874404,0.44153482
0.7657388,0.43409544
0.9142293,0.3375819
0.76896757,0.43206424
0.75006944,0.4195344
0.91358984,0.2975911
-0.40707135,-0.8968766
-0.29346964,-0.8963306
0.9086552,0.33530635
-0.44271103,-0.8234017
-0.2910152,-0.8802095
-0.32938847,-0.9173385
-0.3839492,-0.90074503
-0.43572807,-0.72692025
-0.42224473,-0.8724881
-0.38318664,-0.904419
0.8400649,0.41734925
0.8482537,0.42411163
-0.41521883,-0.89323676
-0.377639,-0.9173756
-0.41196564,-0.8786769
0.9138448,0.32196844
0.92070794,0.31744647
-0.39583737,-0.89544123
0.86016035,0.44624126
0.81022763,0.43577376
-0.3307391,-0.92616737
-0.36534062,-0.9023366
0.9055793,0.36609185
0.9094778,0.3226499
-0.4360904,-0.84757704
0.86126405,0.43063003
-0.447575,-0.8343805
0.9170847,0.33089706
-0.4162382,-0.76338863
-0.43365324,-0.7961559
0.91758704,0.31542042
0.81951797,0.42444524
-0.42180073,-0.7642076
-0.44544223,-0.7730421
-0.42431575,-0.7488645
-0.44662422,-0.8173978
-0.28312236,-0.87819463
0.9004387,0.40192264
-0.31027687,-0.91863704
-0.43059826,-0.7734853
-0.41214138,-0.7529779
-0.4399452,-0.7704822
0.7970176,0.44108057
0.7823107,0.43986034
0.798646,0.43539658
0.77338284,0.43565863
-0.4344845,-0.79540527
-0.4369253,-0.77425647
-0.4456699,-0.81638753
-0.37792957,-0.8936597
0.81710273,0.4276511
0.7567632,0.41959152
0.8403445,0.43064874
0.86443454,0.4300223
0.89805156,0.29064482
-0.4227894,-0.734235
0.8871813,0.3654103
0.84044623,0.4606417
-0.3925997,-0.9119966
-0.4104765,-0.87225646
0.8423366,0.44354874
0.92060584,0.36823064
-0.44542447,-0.8639524
0.9117888,0.3575493
0.75794584,0.4377628
0.9073666,0.30370754
0.7457022,0.4355573
-0.44900084,-0.8508922
-0.34894603,-0.91920656
0.8811556,0.41450116
0.7757015,0.43008256
-0.4244365,-0.7411266
-0.3438206,-0.910439
-0.44141936,-0.8022826
-0.4344166,-0.83407205
0.91682565,0.3335445
0.8084078,0.44421208
0.84168226,0.4398958
-0.3820767,-0.9322834
-0.43768474,-0.8385024
0.8078327,0.4407878
0.9262515,0.31585175
-0.44029343,-0.77455115
0.91665846,0.30602795
-0.41671473,-0.8885636
-0.433101,-0.82369
-0.43600947,-0.7988723
0.92082775,0.38155153
-0.4396149,-0.8419585
-0.46060103,-0.83727056
-0.37420255,-0.9109058
0.75237775,0.44920126
0.8173549,0.4245737
0.9051106,0.30172834
0.8258326,0.44729078
0.8926977,0.38747168
0.8100953,0.4428197
0.8341335,0.45225692
-0.42568797,-0.819182
-0.44615743,-0.80722594
-0.4082036,-0.9008471
-0.28883868,-0.8707903
-0.26939002,-0.8921515
-0.44394755,-0.78003204
0.77712125,0.4448442
-0.4245996,-0.855571
0.88548034,0.30113345
0.86671555,0.41923293
-0.43469906,-0.86916566
0.8741704,0.40439692
0.7581686,0.42432532
0.9310719,0.35150036
0.9055337,0.36606824
-0.37387198,-0.9136993
-0.28894767,-0.88856554
0.7598101,0.41381896
-0.2762817,-0.88797104
-0.32532418,-0.8902594
0.7329689,0.42791462
-0.40953016,-0.885926
0.8823268,0.43020743
-0.43993962,-0.77301943
-0.40266326,-0.89063215
0.77508366,0.44424877
-0.39856216,-0.895887
-0.4512108,-0.8065497
0.8990116,0.37755993
-0.43142188,-0.7939937
-0.44523662,-0.80423445
0.8377148,0.44429982
-0.42355388,-0.8391778
0.9126243,0.3556152
-0.36787313,-0.8948228
-0.44622284,-0.75644153
0.9047468,0.36435091
-0.44485295,-0.7646078
-0.36365885,-0.91768247
0.9058993,0.37863323
0.7607065,0.41703218
0.8076719,0.44250068
0.76365316,0.4165771
-0.40983784,-0.8810077
0.8358304,0.45059317
0.75407887,0.42585254
0.8028124,0.454158
-0.45538014,-0.8315186
-0.41150257,-0.8903115
-0.4332925,-0.78942883
-0.44524354,-0.74741906
0.86129355,0.4243851
0.8609401,0.42299834
-0.4409508,-0.7449232
0.759317,0.43586332
0.82351613,0.43098345
-0.4249801,-0.86525005
-0.41995198,-0.8730069
0.76563436,0.43315667
-0.3079134,-0.9030107
0.91341674,0.31102407
-0.42358613,-0.82329714
-0.44165468,-0.81658375
0.8992089,0.30123568
-0.39288706,-0.8685778
0.9188586,0.35975796
0.9138888,0.37483713
-0.45183152,-0.76502126
0.90677035,0.3566191
-0.34855762,-0.9097549
-0.433522,-0.80301607
-0.45874068,-0.7860302
0.8209244,0.4420599
0.9015247,0.2657979
0.92163,0.36318985
-0.3542662,-0.9052067
-0.43225068,-0.8415132
0.8604751,0.44029123
0.80824596,0.4506597
0.9157616,0.30971527
0.8764206,0.42607367
0.85436594,0.4444389
-0.44973344,-0.84679264
-0.32481223,-0.92099434
0.8524414,0.4459334
-0.4394572,-0.80053747
0.7846061,0.4426322
0.7541697,0.41681874
0.90536237,0.36469638
0.75301164,0.4222334
0.82146823,0.44605982
-0.4215474,-0.84314084
0.782689,0.4424764
-0.40361708,-0.89092296
0.849257,0.41950727
-0.44800985,-0.8339331
0.90865284,0.3421499
0.79312015,0.44971514
0.897774,0.42978904
-0.35976788,-0.88498735
-0.40088826,-0.8932647
0.7521234,0.43412226
0.898662,0.29196945
-0.29646686,-0.8804066
0.9204463,0.32285276
0.8406993,0.4179614
-0.4102436,-0.8879304
-0.43248048,-0.78460217
0.8819959,0.4119588
0.8942859,0.38379118
0.79403365,0.4421258
0.85707414,0.41691923
-0.35850105,-0.90020275
0.88426137,0.2815018
0.874304,0.41984707
-0.42096198,-0.75892794
0.90480244,0.39633763
0.8708729,0.42545265
-0.3992966,-0.8912437
-0.34224612,-0.91333276
-0.43071026,-0.8532317
-0.28774163,-0.8801669
0.8980487,0.39335185
-0.43062797,-0.741251
-0.427715,-0.83184606
-0.42812586,-0.8704051
-0.41922158,-0.7384499
0.8799836,0.3992303
-0.3912521,-0.9049967
0.9053227,0.41058457
0.9060733,0.40298384
0.8365066,0.43169138
